EJNMMI Physics;EJNMMI Physics Nuclear Medicine Imaging Radiology Applied and Technical Physics Computational Mathematics and Numerical Analysis Engineering general;
EJNMMI Radiopharmacy and Chemistry;EJNMMI Radiopharmacy and Chemistry Nuclear Medicine Imaging Radiology Nuclear Chemistry Pharmacotherapy Molecular Medicine;
EJNMMI Research;EJNMMI Research Nuclear Medicine Imaging Radiology Orthopedics Cardiac Imaging Oncology;
EPJ Data Science;EPJ Data Science Computer Appl in Social and Behavioral Sciences Datadriven Science Modeling and Theory Building Complexity;
EPJ Nonlinear Biomedical Physics;EPJ Nonlinear Biomedical Physics Systems Biology Systems Biology Complex Systems;
EPJ Quantum Technology;EPJ Quantum Technology Quantum Physics Quantum Information Technology Spintronics Nanotechnology and Microengineering;
EPJ Techniques and Instrumentation;EPJ Techniques and Instrumentation Measurement Science and Instrumentation Atomic Molecular Optical and Plasma Physics Spectroscopy and Microscopy Biological and Medical Physics Biophysics Biomaterials Characterization and Evaluation of Materials;
EPJ direct;EPJ direct Physics general Particle and Nuclear Physics Nuclear Physics Heavy Ions Hadrons Particle Acceleration and Detection Beam Physics Nuclear Fusion AtomicMolecular Structure and Spectra;
EPMA Journal;EPMA Journal Biomedicine general MedicinePublic Health general;EPMA Journal is a journal of predictive preventive and personalized medicine PPPM The journal provides expert viewpoints and research on medical innovations and advanced healthcare using predictive diagnostics targeted preventive measures and personalized patient treatments The journal is indexed by PubMed Embase and Scopus The only journal in the field of predictive preventive and personalized medicine PPPM High visibility for your research Official journal of the European Association for Predictive Preventive Personalised Medicine
ERA Forum;ERA Forum Public International Law European Integration Political Science;ERA Forum is a quarterly legal journal published by the Academy of European Law in keeping with its mission to build understanding and promote good practice of European law Distinct aspects of European law are highlighted either by selecting one or more thematic focal points for a regular issue or by publishing a special issue Articles published in the journal are drawn primarily from the most outstanding presentations delivered at ERAs conferences The conference provides a market test ensuring the journals quality and relevance Frequently cited in other journals ERA Forum is thoroughly European from the composition of its editorial and advisory boards to the selection of its contributors Most articles are published in English however articles in French and German are also included with English summaries Officially cited as ERA Forum Advances the Academy of European Laws mission to promote understanding and good practice of European law Highlights distinct areas of European law in regular issues and special thematic issues Publishes articles drawn primarily from outstanding presentations delivered at ERAs conferences Frequently cited in other journals
EURASIP Journal on Advances in Signal Processing;EURASIP Journal on Advances in Signal Processing Signal Image and Speech Processing Quantum Information Technology Spintronics;
EURASIP Journal on Audio Speech and Music Processing;EURASIP Journal on Audio Speech and Music Processing Signal Image and Speech Processing Mathematics in Music Acoustics Engineering Acoustics;
