IIC International Review of Intellectual Property and Competition Law;IIC International Review of Intellectual Property and Competition Law IT Law Media Law Intellectual Property;The International Review of Intellectual Property and Competition Law IIC is a peerreviewed academic journal published by the Max Planck Institute for Innovation and Competition Founded in 1970 IIC is one of the most respected journals in the fields of intellectual property and competition law presenting contributions with the highest standards of academic research IIC publishes research on the most significant developments in IP and competition law from around the world Our aim is to provide a European perspective on these important topics to an international audience The journal adopts a multidisciplinary approach and offers a platform for opposing ideas providing for rich debate on a host of current IP and competition law issues The journals central feature is highquality authored materials including articles editorials opinions reports case notes and book reviews We also translate and publish the leading decisions from jurisdictions worldwide including many nonmainstream jurisdictions The quality of IIC is grounded on a more than 50year history of publication Each volume builds on this tradition of academic excellence Our established foundation provides a unique platform upon which our readers are able to research and explore emerging developments in IP and competition law in the decades to come A European legal perspective on all major developments in IP and competition law occurring around the world A unique network of international contributors An over 50year history of publication Articles opinions and reports on national EU and international legal developments Translations of leading decisions from countries around the world Case notes and comments on national EU and international decisions Contributions and case law not only from mainstream jurisdictions
IIE Transactions;IIE Transactions Mechanical Engineering;
IMA Fungus;IMA Fungus Mycology;
IMF Economic Review;;
IPSJ Transactions on Computer Vision and Applications;IPSJ Transactions on Computer Vision and Applications Computer Imaging Vision Pattern Recognition and Graphics Image Processing and Computer Vision User Interfaces and Human Computer Interaction Artificial Intelligence Robotics and Automation;
ISSS Journal of Micro and Smart Systems;ISSS Journal of Micro and Smart Systems Nanotechnology and Microengineering;This interdisciplinary journal explores the relationships between smart materials structures and systems serving a as a primary communication conduit for scientists investigating the areas of micro and smart structures systems and properties of smart engineering materials Coverage spans a wide spectrum of disciplines and topics including Multiphysics Bionanotechnology Smart Materials Sensing and actuation Fabrication technologies Electronics RF MEMS MOEMS Energy harvesting Smart Structures Structural Health Monitoring Controls and Applications The journal is a technical publication of the Institute of Smart Structures Systems Peer Review Information This journal follows a single blind peer review process Explores the relationships of smart materials structures and systems Provides a conduit for investigation of micro and smart structures and systems and smart engineering materials A publication of the Institute of Smart Structures Systems
IST International Surface Technology;IST International Surface Technology ChemistryFood Science general;The international Edition of JOT Germanys Leading Magazine For Surface Technology
IZA Journal of Development and Migration;IZA Journal of Development and Migration Population Economics Labor Economics Migration Demography;
IZA Journal of European Labor Studies;IZA Journal of European Labor Studies Labor Economics Population Economics European Integration;
IZA Journal of Labor Development;IZA Journal of Labor Development Labor Economics Population Economics Development Economics;
