JA Clinical Reports;JA Clinical Reports Anesthesiology Pain Medicine Intensive Critical Care Medicine Emergency Medicine;
JBIC Journal of Biological Inorganic Chemistry;JBIC Journal of Biological Inorganic Chemistry Biochemistry general Microbiology;This Publication of the Society of Biological Inorganic Chemistry SBIC covers advances in the understanding of systems of metals in biology at the biochemical molecular and cellular levels Synthetic analogues mimicking function structure and spectroscopy of naturally occurring biological molecules are also of interest to the journal The journal publishes original articles minireviews reports and commentaries on debated issues Benefits for Authors No Page Charges No Fees for Online and Print Color Images Optional Gold Open Access through Springer Open Choice Green Open Access in line with major funder mandates Share your article freely through SharedIt Official journal of the Society of Biological Inorganic Chemistry since 1996 JBIC seeks to promote the field of biological inorganic chemistry internationally in order to understand biological function at the atomic level JBIC ranks 9 th 2019 in the category Chemistry Inorganic Nuclear Q1
JETP Letters;JETP Letters Particle and Nuclear Physics Atomic Molecular Optical and Plasma Physics Solid State Physics Quantum Information Technology Spintronics Biological and Medical Physics Biophysics;JETP Letters is an international peer reviewed journal for rapid publication of short communications describing the basic theoretical and experimental research in all fields of physics from solid state to elementary particles The journal has 24 issues per year and welcomes manuscripts from all countries TOPICS COVERED All topics of experimental and theoretical physics including gravitation field theory elementary particles and nuclei plasma nonlinear phenomena condensed matter superconductivity superfluidity lasers and surfaces PEER REVIEW JETP Letters is a peer reviewed journal We use a single blind peer review format We use a single blind peer review format The average period from submission to first decision is 10 days The average rejection rate for submitted manuscripts is 60 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Timely and topical short papers emphasizing fundamental theoretical and experimental research in all field of physics Highquality and prompt peerreview process and editorial handling Firsthand reports of the current state of physics research in the former Soviet Union and other countries
JGZ Tijdschrift voor jeugdgezondheidszorg;JGZ Tijdschrift voor jeugdgezondheidszorg Maternal and Child Health;
JMST Advances;JMST Advances Mechanical Engineering Vibration Dynamical Systems Control Industrial and Production Engineering;The aim of scope of the JMST Advances is to provide an international forum for the dissemination of original work that contributes to the understanding and discovery in mechanical engineering and technology The journal offers rapid publication of new experimental and theoretical papers reporting applications of materials science mechanics thermodynamics mechatronics and robotics fluid mechanics and structural analysis and multidisciplinary micronanobio engineering systems Topics of interest include but not limited to Bio Engineering Dynamics Vibration and Sound Engineering Materials and Technology Fluids Engineering MicroNano Engineering and Technology Production Engineering Robotics and Control Solid Mechanics and Design Thermal and Power Engineering Manuscripts fall into two categories They are letters for concise and new findings in engineering and review articles for current trends and visions of futurity
JOM;JOM Engineering general ChemistryFood Science general Physics general Environment general Earth Sciences general;Editors Choice Awarded to fewer than 5 of articles published in the journal each year Editors Choice articles are free to read Review the journals full list of Editors Choice articles here JOM is a technical peerreviewed journal devoted to exploring the many aspects of materials science and engineering within the broad topical areas of light metals structural materials functional materials extraction and processing and materials processing and manufacturing JOM strives to balance the interests of the laboratory and the marketplace by reporting academic industrial and governmentsponsored work from around the world JOM is a monthly journal of The Minerals Metals and Materials Society TMS that seeks to Explore the full range of materials science and engineering Report on stateoftheart processing fabrication design and application of metals plastics composites and other materials Cover a broad scope of topics including extraction characterization industrial and manufacturing developments resource and supply chain issues and lifecycle and sustainability practices Cover specific areas including additive manufacturing biomaterials composite materials computational materials science and engineering corrosion electrometallurgy and pyrometallurgy electronic packaging and interconnection materials energy conversion and storage hightemperature alloys hydrometallurgy integrated computational materials engineering magnetic materials nanomaterials nuclear materials powder materials recycling and environmental technologies refractory materials surface engineering and thin films and interfaces Other coverage includes education highlights interviews opinion and TMS news
JOT Journal fr Oberflchentechnik;JOT Journal fr Oberflchentechnik ChemistryFood Science general;Kurzcharakteristik JOT berichtet praxisnah und anwenderorientiert ber smtliche Themen der Oberflchentechnik Nasslackieren Pulverbeschichten Reinigen Vorbehandeln Entlacken Coil Coating Galvanisieren dnne Schichten Emaillieren Strahlen Schleifen Umwelttechnik LackeChemikalien MessenPrfen und Frdertechnik Zielgruppe Entscheider aus allen Bereichen der Industrie in denen Oberflchentechnik zum Einsatz kommt
JPC Journal of Planar Chromatography Modern TLC;JPC Journal of Planar Chromatography Modern TLC Chromatography Pharmacy Laboratory Medicine MonitoringEnvironmental Analysis;JPC Journal of Planar Chromatography Modern TLC is an international journal devoted exclusively to the publication of research papers on analytical and preparative planar chromatography The journal covers all fields of planar chromatography on all kinds of stationary phase paper layer gel and with various modes of migration of the mobile phase capillary action or forced flow
Jahresbericht der Deutschen MathematikerVereinigung;Jahresbericht der Deutschen MathematikerVereinigung Mathematics general;The Jahresbericht is a showcase of mathematics Its review articles and research reports are intended to inform as many readers as possible on current and important developments in mathematics in the most accessible and interesting format possible Historical articles should among other things recognize and honor the achievements of outstanding mathematicians They may also uncover rather unfamiliar historical relations or contribute to discussions on historical mathematical developments In the Book Reviews section selected recently released monographs are critically evaluated The Jahresbericht first appeared in 1890 Presently it is edited by Alexander Zimmermann in collaboration with Thomas Bartsch Igor Burban Leif Dring Christiane Helzel Anke Pohl Benjamin Sambale Guido Schneider Sibylle Schroll and Uwe Semmelmann Please send your Manuscripts directly to Alexander Zimmermann and your Book Reviews to Thomas Bartsch Der Jahresbericht der Deutschen MathematikerVereinigung DMV versteht sich als ein Schaufenster fr Mathematik In bersichtsartikeln und Berichten aus der Forschung soll fr mglichst viele Leserinnen und Leser mglichst verstndlich und interessant ber aktuelle und wichtige Entwicklungen der Mathematik berichtet werden Historische Beitrge sollen ua Leistungen herausragender mathematischer Persnlichkeiten wrdigen aber auch wenig bekannte historische Bezge aufdecken oder der Auseinandersetzung mit historisch bedenkenswerten Entwicklungen dienen In der Rubrik Buchbesprechungen werden ausgewhlte neu erschienene Monographien kritisch gewrdigt Erstmalig erschien der Jahresbericht im Jahr 1890 und wird gegenwrtig von Alexander Zimmermann unter Mitwirkung von Thomas Bartsch Igor Burban Leif Dring Christiane Helzel Anke Pohl Benjamin Sambale Guido Schneider Sibylle Schroll und Uwe Semmelmann herausgegeben Manuskripte bitte direkt an Alexander Zimmermann senden Fr Buchbesprechungen ist Thomas Bartsch zustndig Bcher von denen eine Besprechung erfolgen soll werden bei den Verlagen angefordert
Japan Journal of Industrial and Applied Mathematics;Japan Journal of Industrial and Applied Mathematics Applications of Mathematics Computational Mathematics and Numerical Analysis;Japan Journal of Industrial and Applied Mathematics JJIAM is intended to provide an international forum for the expression of new ideas as well as a site for the presentation of original research in various fields of the mathematical sciences Consequently the most welcome types of articles are those which provide new insights into and methods for mathematical structures of various phenomena in the natural social and industrial sciences those which link realworld phenomena and mathematics through modeling and analysis and those which impact the development of the mathematical sciences The scope of the journal covers applied mathematical analysis computational techniques and industrial mathematics Offers new insight into mathematical structures of phenomena in natural social and industrial sciences Presents research impacting the development of mathematical sciences Journal of the Japan Society for Industrial and Applied Mathematics
Japanese Journal of Mathematics;Japanese Journal of Mathematics Mathematics general History of Mathematical Sciences;The official journal of the Mathematical Society of Japan the Japanese Journal of Mathematics is devoted to authoritative research survey articles that will promote future progress in mathematics It encourages advanced and clear expositions giving new insights on topics of current interest from broad perspectives andor reviewing all major developments in an important area over many years An eminent international mathematics journal the Japanese Journal of Mathematics has been published since 1924 It is an ideal resource for a wide range of mathematicians extending beyond a small circle of specialists The official journal of the Mathematical Society of Japan Devoted to authoritative research survey articles that will promote future progress in mathematics Gives new insight on topics of current interest from broad perspectives andor reviews all major developments in an important area over many years
Japanese Journal of Ophthalmology;Japanese Journal of Ophthalmology Ophthalmology;The Japanese Journal of Ophthalmology JJO was inaugurated in 1957 as a quarterly journal published in English by the Ophthalmology Department of the University of Tokyo with the aim of disseminating the achievements of Japanese ophthalmologists worldwide JJO remains the only Japanese ophthalmology journal published in English In 1997 the Japanese Ophthalmological Society assumed the responsibility for publishing the Japanese Journal of Ophthalmology as its official Englishlanguage publication Currently the journal is published bimonthly and accepts papers from authors worldwide JJO has become an international interdisciplinary forum for the publication of basic science and clinical research papers We encourage authors to submit original papers in all fields of ophthalmology This is the official international journal of Japanese Ophthalmological Society JOS the largest Japanese society in the fields of ophthalmology
