Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Market interaction structure and equilibrium price heterogeneity in monopolistic competition","NETNOMICS: Economic Research and Electronic Networking","","22","2 - 3","10.1007/s11066-022-09155-5","Tamás SebestyénBalázs Szabó","2021","http://link.springer.com/article/10.1007/s11066-022-09155-5","Article"
"Unobserved preferences and dynamic platform pricing under positive network externality","NETNOMICS: Economic Research and Electronic Networking","","21","1 - 3","10.1007/s11066-020-09140-w","Hannu HuukiRauli Svento","2020","http://link.springer.com/article/10.1007/s11066-020-09140-w","Article"
"BidPacket: trading bandwidth in public spaces","NETNOMICS: Economic Research and Electronic Networking","","17","3","10.1007/s11066-016-9109-z","Bernardo A. HubermanSitaram Asur","2016","http://link.springer.com/article/10.1007/s11066-016-9109-z","Article"
"Adoption rate forecasts and rollout strategies","NETNOMICS: Economic Research and Electronic Networking","","8","1 - 2","10.1007/s11066-008-9014-1","Kjell StordahlNils Kristian Elnegaard","2007","http://link.springer.com/article/10.1007/s11066-008-9014-1","Article"
"Asymmetric competition and collection rates differentials: determinants of prices in international telephone service markets","NETNOMICS: Economic Research and Electronic Networking","","11","3","10.1007/s11066-009-9042-5","Alberto NucciarelliMassimo GastaldiNathan Ghiron Levialdi","2010","http://link.springer.com/article/10.1007/s11066-009-9042-5","Article"
"Value of digital information networks: a holonic framework","NETNOMICS: Economic Research and Electronic Networking","","12","1","10.1007/s11066-011-9057-6","António MadureiraNico BakenHarry Bouwman","2011","http://link.springer.com/article/10.1007/s11066-011-9057-6","Article"
"New approaches in transportation planning: happiness and transport economics","NETNOMICS: Economic Research and Electronic Networking","","11","1","10.1007/s11066-009-9037-2","André DuarteCamila GarciaGrigoris GiannarakisSusana LimãoAmalia PolydoropoulouNikolaos Litinas","2010","http://link.springer.com/article/10.1007/s11066-009-9037-2","Article""Forum COVID-19: Geistes- und sozialwissenschaftliche Perspektiven","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","2","10.1007/s00048-020-00251-x","Karen Nolte","2020","http://link.springer.com/article/10.1007/s00048-020-00251-x","Article"
"Andrew Mangham 2020: The Science of Starving in Victorian Literature, Medicine, and Political Economy und Elizabeth A. Williams 2020: Appetite and Its Discontents. Science, Medicine, and the Urge to Eat, 1750–1950","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","1","10.1007/s00048-021-00312-9","Nina Mackert","2022","http://link.springer.com/article/10.1007/s00048-021-00312-9","Article"
"Veronika Settele 2020: Revolution im Stall. Landwirtschaftliche Tierhaltung in Deutschland und Paul R. Josephson 2020: Chicken. A History from Farmyard to Factory","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","","","10.1007/s00048-022-00344-9","Ulrike Heitholt","2022","http://link.springer.com/article/10.1007/s00048-022-00344-9","Article"
"Katharina Kreuder-Sonnen 2018: Wie man Mikroben auf Reisen schickt. Zirkulierendes bakteriologisches Wissen und die polnische Medizin 1885–1939 (Historische Wissensforschung, Bd. 9).","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","3","10.1007/s00048-021-00309-4","Elzbieta Kassner","2021","http://link.springer.com/article/10.1007/s00048-021-00309-4","Article"
"Petra Terhoeven und Dirk Schumann 2021: Strategien der Selbstbehauptung. Vergangenheitspolitische Kommunikation an der Universität Göttingen (1945–1965) (= Veröffentlichungen des Zeitgeschichtlichen Arbeitskreises Niedersachsen, Bd. 36) und Christa Klein 2020: Elite und Krise. Expansion und „Selbstbehauptung“ der Philosophischen Fakultät Freiburg 1945–1967 (= Wissenschaftskulturen. Reihe III: Pallas Athene, Bd. 54)","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","","","10.1007/s00048-021-00320-9","Alexander Mayer","2021","http://link.springer.com/article/10.1007/s00048-021-00320-9","Article"
"„Alexander Kraft 2019: Berliner Blau. Vom frühneuzeitlichen Pigment zum modernen Hightech-Material“ und „Bettina Bock von Wülfingen (Hg.) 2019: Science in Color. Visualizing Achromatic Knowledge“","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","4","10.1007/s00048-021-00311-w","André Karliczek","2021","http://link.springer.com/article/10.1007/s00048-021-00311-w","Article"
"Sammelbesprechung","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","3","10.1007/s00048-022-00326-x","Annette Imhausen","2022","http://link.springer.com/article/10.1007/s00048-022-00326-x","Article"
"Pietro Daniel Omodeo 2019: Political Epistemology. The Problem of Ideology in Science Studies und Monika Wulz, Max Stadler, Nils Güttler und Fabian Grütter (Hg.) 2021: Deregulation und Restauration. Eine politische Wissensgeschichte","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","3","10.1007/s00048-022-00329-8","Fabian Link","2022","http://link.springer.com/article/10.1007/s00048-022-00329-8","Article"
"Coreen McGuire 2020: Measuring difference, numbering normal. Setting the standards for disability in the interwar period und Jaipreet Virdi 2020: Hearing Happiness. Deafness Cures in History.","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","31","1","10.1007/s00048-021-00321-8","Robert Stock","2023","http://link.springer.com/article/10.1007/s00048-021-00321-8","Article"
"Berichtigung zu Heft 16/1","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","16","2","10.1007/s00048-008-0306-1","Ursula Klein","2008","http://link.springer.com/article/10.1007/s00048-008-0306-1","Article"
"Special Section: Technical Infrastructures, Transnational Protest Movements and the Use of Counter-Expertise","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","3","10.1007/s00048-022-00339-6","Maria BuckKira J. Schmidt","2022","http://link.springer.com/article/10.1007/s00048-022-00339-6","Article"
"Cocooning: Umwelt und Geschlecht. Einleitung","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","1","10.1007/s00048-020-00284-2","Susanne SchmidtLisa Malich","2021","http://link.springer.com/article/10.1007/s00048-020-00284-2","Article"
"COVID-19 und seine Umwelt: Von einer Geschichte der Humanmedizin zu einer ökologischen Medizingeschichte?","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","2","10.1007/s00048-021-00299-3","Leander Diener","2021","http://link.springer.com/article/10.1007/s00048-021-00299-3","Article"
"Gegenwissen. Die Neuen Sozialen Bewegungen in der Bundesrepublik und die Grundlagen ihrer Wirkung","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","4","10.1007/s00048-022-00349-4","Alexander von Schwerin","2022","http://link.springer.com/article/10.1007/s00048-022-00349-4","Article"
"Vergesellschaftung unter Ansteckenden – für eine Körpergeschichte der Seuche","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","2","10.1007/s00048-020-00253-9","Fritz Dross","2020","http://link.springer.com/article/10.1007/s00048-020-00253-9","Article"
"The Politics of Radiation Protection","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","2","10.1007/s00048-022-00332-z","Maria Rentetzi","2022","http://link.springer.com/article/10.1007/s00048-022-00332-z","Article"
"Visualizations of the Heavens Before 1700 as a Concern of the History of Science, Medicine and Technology","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","3","10.1007/s00048-020-00266-4","Sonja BrentjesDagmar Schäfer","2020","http://link.springer.com/article/10.1007/s00048-020-00266-4","Article"
"COVID-19 und die Geschichte der sozialwissenschaftlichen Katastrophenforschung","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","2","10.1007/s00048-020-00254-8","Cécile Stephanie Stehrenberger","2020","http://link.springer.com/article/10.1007/s00048-020-00254-8","Article"
"Pandemie- und Seuchengeschichte als Pflegegeschichte?","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","2","10.1007/s00048-020-00252-w","Karen Nolte","2020","http://link.springer.com/article/10.1007/s00048-020-00252-w","Article"
"Die „historische Studie“ SOLIDARITY als Antwort der Forschung auf die Sars-CoV-2 Pandemie","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","2","10.1007/s00048-020-00257-5","Mariacarla Gadebusch BondioMaria Marloth","2020","http://link.springer.com/article/10.1007/s00048-020-00257-5","Article"
"Subjekt, Statistik, Wissenschaft: Epistemologische Positionierungen und Evidenzpraktiken in der klinischen Medizin seit 1949","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","4","10.1007/s00048-021-00317-4","Hans-Georg HoferVolker Roelcke","2021","http://link.springer.com/article/10.1007/s00048-021-00317-4","Article"
"Die Pestarztmaske im Deutschen Medizinhistorischen Museum Ingolstadt","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","2","10.1007/s00048-020-00255-7","Marion Maria Ruisinger","2020","http://link.springer.com/article/10.1007/s00048-020-00255-7","Article"
"“Self-testimony of a Past Present”: Reuses of Historical Film Documents","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","2","10.1007/s00048-021-00300-z","Anja Sattelmacher","2021","http://link.springer.com/article/10.1007/s00048-021-00300-z","Article"
"Health Physics (보건 물리학) in South Korea: Building a Research Community in a Post-Colonial Society, 1959–early 1970s","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","2","10.1007/s00048-022-00334-x","John P. DiMoia","2022","http://link.springer.com/article/10.1007/s00048-022-00334-x","Article"
