ROBOMECH Journal;ROBOMECH Journal Robotics and Automation Mechatronics Artificial Intelligence Control and Systems Theory Computational Intelligence;
Race and Social Problems;Race and Social Problems Social Work Personality and Social Psychology;An Official Journal of the Center for Race and Social Problems at the University of Pittsburgh Selected for coverage in Social Sciences Citation Index Journal of Citation Reports Social Sciences Edition Current Contents Social and Behavioral Sciences Race and Social Problems RASP provides a multidisciplinary forum for issues germane to race and its enduring relationship to psychological socioeconomic political and cultural problems The Journal publishes original empirical studies reviews of past research theoretical studies and invited essays that advance the understanding of the complexities of race and its relationship to social problems Submissions from the fields of social work anthropology communications criminology economics history law political science psychology public health and sociology are welcome Your article in Race and Social Problems Submit your article online via httpwwweditorialmanagercomrasp Presents empirical studies reviews theoretical studies and invited essays Includes anthropology communications criminology economics history law political science psychology public health
Radiation Detection Technology and Methods;Radiation Detection Technology and Methods Nuclear Physics Heavy Ions Hadrons Particle Acceleration and Detection Beam Physics Nuclear Energy;Radiation detection technology and methods is a peerreviewed international and interdisciplinary research journal that focuses on all aspects of radiation detection technology and methods Columns include electronics and system design computer and control techniques detection technology and methods data processing and imaging It presents an attractive mix of authoritative and comprehensive reviews original articles on cuttingedge research and brief communications The journal offers rapid review and publication of articles Radiation Detection Technology and Methods RDTM publishes articles that focus on but are not limited to the following areas Detection technology and methods Computer technology applications Particle acceleration technology Electronics and system design Synchrotronradiation based techniques and methods Astroparticle technology Focuses on current and developing methods and technology for detecting nuclear radiation Presents authoritative and comprehensive reviews original articles on cuttingedge research and brief communications Published in partnership with the Institute of High Energy Physics Chinese Academy of Sciences and the Nuclear Electronics and Nuclear Detection Society
Radiation Oncology;Radiation Oncology Cancer Research Oncology Radiotherapy Imaging Radiology;
Radiation and Environmental Biophysics;Radiation and Environmental Biophysics Biological and Medical Physics Biophysics Effects of RadiationRadiation Protection Environmental Physics MonitoringEnvironmental Analysis Ecosystems;Contributions may include those on radiobiology health and medical physics environmental protection risk estimation and applied radiation research Coverage includes biophysics of ionizing radiation biological effects of radiation and risk assessment Focuses on fundamental issues in radiation research and biophysics Presents theoreticalmathematical and experimental material as well as new techniques relevant for the study of these issues 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Radiochemistry;Radiochemistry Nuclear Chemistry ChemistryFood Science general;Radiochemistry is an international peerreviewed journal that covers the theoretical and applied aspects of radiochemistry including basic nuclear physical properties of radionuclides chemistry of radioactive elements and their compounds the occurrence and behavior of natural and artificial radionuclides in the environment nuclear fuel cycle radiochemical analysis methods and devices production and isolation of radionuclides synthesis of labeled compounds new applications of radioactive tracers radiochemical aspects of nuclear medicine radiation chemistry and aftereffects of nuclear transformations The journal welcomes manuscripts from all countries PEER REVIEW Radiochemistry is a peer reviewed journal We use a single blind peer review format The average period from submission to first decision is 30 days The average rejection rate for submitted manuscripts is 16 The final decision on the acceptance of an article for publication is made by the EditorinChief Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Covers the theoretical and applied aspects of radiochemistry Topics include chemical aspects of fundamental nuclear physical properties of radionuclides devices and methods for radiochemical analysis and much more Examines historical philosophical and educational aspects of radiochemistry Presents book reviews and reviews of radiochemical conferences Founded in 1959
Radioelectronics and Communications Systems;Radioelectronics and Communications Systems Communications Engineering Networks;Radioelectronics and Communications Systems covers urgent theoretical problems of radioengineering results of research efforts leading experience which determines directions and development of scientific research in radio engineering and radio electronics publishes materials of scientific conferences and meetings information on scientific work in higher educational institutions newsreel and bibliographic materials Journal publishes articles in the following sections Antennafeeding and microwave devices Vacuum and gasdischarge devices Solidstate electronics and integral circuit engineering Optical radar communication and information processing systems Use of computers for research and design of radioelectronic devices and systems Quantum electronic devices Design of radioelectronic devices Radar and radio navigation Radio engineering devices and systems Radio engineering theory Medical radioelectronics PEER REVIEW Radioelectronics and Communications Systems is a peer reviewed journal We use a double blind peer review format The average rejection rate for submitted manuscripts is 30 The final decision on the acceptance of an article for publication is made by the Editorial Board or the EditorinChief Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Explores advanced issues in radio engineering and electronics Features articles on computerassisted device design and their applications as well as many other topics Official Journal of Izvestiya vuzov Radioelektronika
Radiological Physics and Technology;Radiological Physics and Technology Imaging Radiology Nuclear Medicine Radiotherapy Medical and Radiation Physics;Radiological Physics and Technology covers multiple disciplines involved in basic research and clinical applications in radiological sciences The multidisciplinary research in medical physics and radiological technology as well as the promotion of research efforts in new scientific fields will be facilitated by the journals editorial policy which will also aim to promote translational research in this field Manuscripts submitted to Radiological Physics and Technology will be reviewed by editors and reviewers not only with an emphasis on scientific quality but also with an educational policy to encourage and nurture new investigators Reviewers follow guidelines prepared by the EditorinChief to provide comments that will assist authors who are nonnative English speakers especially young researchers with little experience in publishing in English to develop the competence in writing good scientific papers Quarterly publication since 2017 Provides an ideal forum for sharing new knowledge related to research and development in radiological science and technology Contributes to progress and improvement in medical practice and patient health care The official journal of the Japanese Society of Radiological Technology JSRT the Japan Society of Medical Physics JSMP and the AsiaOceania Federation of Organizations for Medical Physics AFOMP
Radiophysics and Quantum Electronics;Radiophysics and Quantum Electronics Astronomy Observations and Techniques Quantum Optics Theoretical Mathematical and Computational Physics Astrophysics and Astroparticles Nuclear Physics Heavy Ions Hadrons Optics Lasers Photonics Optical Devices;Radiophysics and Quantum Electronics reports on topics such as radio astronomy plasma astrophysics ionospheric atmospheric and oceanic physics radiowave propagation quantum radiophysics physics of oscillations and waves physics of plasmas statistical radiophysics electrodynamics vacuum and plasma electronics acoustics and solidstate electronics Radiophysics and Quantum Electronics is a translation of the peerreviewed Russian journal Izvestiya VUZ Radiofizika published by the Radiophysical Research Institute and NI Lobachevsky State University at Nizhnii Novgorod Russia Covers radio astronomy plasma astrophysics ionospheric atmospheric and oceanic physics radiowave propagation quantum radiophysics physics of oscillations and waves and more Published in connection with the Radiophysical Research Institute and NI Lobachevsky State University 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Railway Engineering Science;Railway Engineering Science Automotive Engineering Geoengineering Foundations Hydraulics RegionalSpatial Science;Railway Engineering Science is an international peerreviewed and free openaccess journal that publishes original research articles and comprehensive reviews related to fundamental engineering science and emerging technologies in rail transit systems focusing on the cuttingedge research in highspeed railway heavyhaul railway urban rail transit maglev system hyperloop transportation etc The main goal of the journal is to maintain high quality of publications serving as a medium for railway academia and industry to exchange new ideas and share the latest achievements in scientific research technical innovation and industrial development in railway science and engineering The topics include but are not limited to Design theory and construction technology System dynamics and safety Electrification signaling and communication Operation and maintenance System health monitoring and reliability Environmental impact and sustainability Cuttingedge technologies The publication costs for Railway Engineering Science are fully covered by Southwest Jiaotong University so authors do not need to pay any articleprocessing charges Research on fundamental engineering and emerging technologies in rail transit systems Topics include highspeed railway heavyhaul railway urban rail transit and more Publication costs are fully covered by Southwest Jiaotong University
