AAPPS Bulletin;AAPPS Bulletin Atomic Molecular Optical and Plasma Physics Astronomy Astrophysics and Cosmology Particle and Nuclear Physics;AAPPS Bulletin is the flagship publication of the Association of Asia Pacific Physical Societies AAPPS The journal publishes highquality cuttingedge research articles reviews in all areas of physics which all will be reviewed In addition it also publishes research highlights news and views about AAPPS and its member societies contributed by members of or authors invited by the members of the editorial board Back issues could be found at aappsbulletinorg Research areas covered in the journal include Applied physics Astrophysics Gravitation Condensed matter Particle HEP Plasma physics Accelerator Science Quantum information Optics Photonics Laser AMO Nuclear physics Statistical physics Biological physics Soft Matter Publishing highquality cuttingedge research articles reviews in all areas of physics Flagship publication of the Association of Asia Pacific Physical Societies AAPPS High visibility for your work with open access
AAPS Open;AAPS Open Pharmaceutical SciencesTechnology PharmacologyToxicology;
AAPS PharmSciTech;AAPS PharmSciTech PharmacologyToxicology Biotechnology Biochemistry general Pharmacy;AAPS PharmSciTech an official journal of the American Association of Pharmaceutical Scientists publishes papers that focus on the research development and evaluation of pharmaceutical dosage forms and delivery systems Innovative in its content and practices AAPS PharmSciTech an onlineonly journal uses technologicallydriven tools and methods by which the scientific community can more efficiently disseminate their research The premier journals of the American Association of Pharmaceutical Scientists have established a position of leadership among pharmaceutical scientists and successfully disseminate expert highquality content to the pharmaceutical sciences community AAPS PharmSciTech produces papers that focus on the research development and evaluation of pharmaceutical dosage forms and delivery systems Innovative in its content and practices the journal uses technologicallydriven tools and methods through which the scientific community can more efficiently disseminate their research There are several notable features for AAPS PharmSciTech Has an 89 overall satisfaction score from Springer Nature surveys Administers fast peer review Less than 1 day from submission to editor review Average first decision time is 30 days for manuscripts selected for peer review Average time from submission to final decision is 89 days includes time for revisions Response to inquiries within one business day and direct access to the EditorinChief Distinguished teams of international Editors and Editorial Advisory Board International readership with nearly 500000 downloads per year Accepted manuscripts are published online within an average of 30 days includes time for proof approval by authors Uses the continuous publishing model so articles can be cited immediately upon publication Fulltext articles available at more than 8000 institutions worldwide Does not levy submission or publication charges unless author chooses Open Choice Free color publication and supplemental files including video
ADHD Attention Deficit and Hyperactivity Disorders;ADHD Attention Deficit and Hyperactivity Disorders Psychiatry;
AI SOCIETY;AI SOCIETY Artificial Intelligence Computer Science general Engineering Economics Organization Logistics Marketing Control Robotics Mechatronics Performing Arts Methodology of the Social Sciences;AI Society Knowledge Culture and Communication is an International Journal publishing refereed scholarly articles position papers debates short communications and reviews of books and other publications Established in 1987 the Journal focuses on societal issues including the design use management and policy of information communications and new media technologies with a particular emphasis on cultural social cognitive economic ethical and philosophical implications AI Society has a broad scope and is strongly interdisciplinary We welcome contributions and participation from researchers and practitioners in a variety of fields including information technologies humanities social sciences arts and sciences This includes broader societal and cultural impacts for example on governance security sustainability identity inclusion working life corporate and community welfare and wellbeing of people Coauthored articles from diverse disciplines are encouraged AI Society seeks to promote an understanding of the potential transformative impacts and critical consequences of pervasive technology for societies Technological innovations including new sciences such as biotech nanotech and neuroscience offer a great potential for societies but also pose existential risk Rooted in the humancentred tradition of science and technology the Journal acts as a catalyst promoter and facilitator of engagement with diversity of voices and overthehorizon issues of arts science technology and society AI Society expects that in keeping with the ethos of the journal submissions should provide a substantial and explicit argument on the societal dimension of research particularly the benefits impacts and implications for society This may include factors such as trust biases privacy reliability responsibility and competence of AI systems Such arguments should be validated by critical comment on current research in this area Curmudgeon Corner will retain its opinionated ethos The journal is in three parts a full length scholarly articles b strategic ideas critical reviews and reflections c Student Forum is for emerging researchers and new voices to communicate their ongoing research to the wider academic community mentored by the Journal Advisory Board Book Reviews and News Curmudgeon Corner for the opinionated Papers in the Main Paper Section are underpinned by theoretical methodological conceptual or philosophical foundations The Open Forum Section may also include strategic ideas critical reviews and potential implications for society of current research Network Research Section papers make substantial contributions to theoretical and methodological foundations within societal domains These will be multiauthored papers that include a summary of the contribution of each author to the paper Main Open Forum and Network papers are peer reviewed The Student Forum Section may include theoretical methodological and application orientations of ongoing research including case studies as well as contextual action research experiences Papers in this section are normally singleauthored and are also formally reviewed Curmudgeon Corner is a short opinionated column on trends in technology arts science and society commenting emphatically on issues of concern to the research community and wider society The Curmudgeon Corner articles are reviewed by the Editorial Board Normal word length Main and Network Articles 10k Open Forum 8k Student Forum 6k Curmudgeon 1k The exception to the coauthor limit of Main and Open Forum 4 Network 10 Student 3 and Curmudgeon 2 articles will be considered for their special contributions Please do not send your submissions by email but use the Submit manuscript button NOTE TO AUTHORS The Journal expects its authors to include in their submissions a An acknowledgement of the preacceptprepublication versions of their manuscripts on noncommercial and academic sites b Images obtain permissions from the copyright holderoriginal sources c Formal permission from their ethics committees when conducting studies with people d i Academic academic status eg Prof Dr Postdoc PhD Candiate Master Student ii Affiliation departmentschooluniversity or organisationprofessional status iii Proposed reviewers academic status eg Dr Professor Ms Mr email addresses and affiliations of all reviewers proposed by authors AI Society is a top rated Springer Nature journal It Focuses on societal issues including the design use management and policy of information communications and new media technologies Seeks to promote an understanding of the potential transformative impacts and critical consequences of pervasive technology for societies 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
AI Perspectives;AI Perspectives Advances Engineering general;
AI and Ethics;AI and Ethics Artificial Intelligence Ethics;AI and Ethics seeks to promote informed debate and discussion of the ethical regulatory and policy implications that arise from the development of AI It will focus on how AI techniques tools and technologies are developing including consideration of where these developments may lead in the future The journal will provide opportunities for academics scientists practitioners policy makers and the public to consider how AI might affect our lives in the future and what implications benefits and risks might emerge Attention will be given to the potential intentional and unintentional misuses of the research and technology presented in articles we publish Examples of harmful consequences include weaponization bias in face recognition systems and discrimination and unfairness with respect to race and gender First international multidiscipline AI and Ethics journal in the field Will attract authors and readers interested in technology governance law society and public policy The journal will be accessible and valued by public policy makers and developers as well as technologists scientists and academics Welcomes all article types including original research reviews and opinion piecescommentaries Welcomes proposals for topical collections of essays and articles click on Journal Updates for more information
AI in Civil Engineering;AI in Civil Engineering Civil Engineering Artificial Intelligence;AI in Civil Engineering AICE is an international journal for publishing original research papers reviews comments and perspectives on AI applications in civil engineering The scope of the journal includes the basic research and engineering applications of advanced AI technologies such as machine learning deep learning computer vision natural language processing enhanced display big data blockchain cloud computing and the Internet of things in all different domains of civil engineering including structural engineering geotechnical engineering bridge engineering infrastructure construction engineering disaster mitigation etc AICE is dedicated to advancing the frontiers of AIenabled knowledge discovery and technology innovation in civil engineering It is an Open Access publication and an articleprocessing charge APC is levied on articles that are accepted for publication by the Editors The APC for this journal is covered by Tongji University Publishing original research on AI applications in civil engineering Covering topics such as machine learning deep learning computer vision and more The APC for this journal is covered by Tongji University
AIDS Research and Therapy;AIDS Research and Therapy Infectious Diseases Virology;
AIDS and Behavior;AIDS and Behavior Public Health Health Psychology Infectious Diseases;AIDS and Behavior provides an international venue for the scientific exchange of research and scholarly work on the contributing factors prevention consequences social impact and response to HIVAIDS The journal publishes original peerreviewed papers addressing all areas of AIDS behavioral research including individual contextual social economic and geographic factors that facilitate HIV transmission interventions aimed to reduce HIV transmission risks at all levels and in all contexts mental health aspects of HIVAIDS medical and behavioral consequences of HIV infection including healthrelated quality of life coping treatment and treatment adherence and the impact of HIV infection on adults children families communities and societies The journal publishes original research articles brief research reports and critical literature reviews An international venue for the scientific exchange of research and scholarly work on HIVAIDS 92 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
AMB Express;AMB Express Microbiology Microbial Genetics and Genomics Biotechnology;
AMS Review;AMS Review Business and Management general Marketing Social Sciences general;The AMS Review is positioned to be the premier journal in marketing that focuses exclusively on conceptual contributions across all subdisciplines of marketing It publishes articles that advance the development of market and marketing theory The AMS Review is receptive to different philosophical perspectives and levels of analysis that range from micro to macro We welcome marketingfocused manuscripts that integrate research and theory from marketing as well as nonmarketing disciplines such as management sociology economics psychology geography anthropology Examples of suitable manuscripts include those incorporating conceptual and organizing frameworks or models those extending comparing or critically evaluating existing theories and those suggesting new or innovative theories Comprehensive and integrative syntheses of research literatures including quantitative and qualitative metaanalyses are encouraged as are paradigmshifting manuscripts Manuscripts that focus on purely descriptive literature reviews proselytize research methods or techniques or report empirical research findings will not be considered for publication The AMS Review does not publish manuscripts focusing on practitioner advice or marketing education
