CABI Agriculture and Bioscience;CABI Agriculture and Bioscience Agriculture;
CATTECH;CATTECH Catalysis Physical Chemistry Industrial ChemistryChemical Engineering;
CCF Transactions on High Performance Computing;CCF Transactions on High Performance Computing Computer Systems Organization and Communication Networks Computer Hardware;CCF Transactions on High Performance Computing CCF THPC is dedicated to publishing rigorously peerreviewed highquality articles covering all aspects of supercomputing and high performance computing HPC Bringing together insights on innovations in and implementations of HPC the journal serves as an academic publication and communication platform and welcomes contributions from researchers professionals and industrial practitioners The journal publishes original research and review articles on all aspects of high performance computing from design service and theory to its practical use and applications In addition it addresses interdisciplinary topics like operating systems networking and software engineering This journal is published on behalf of the China Computer Federation CCF and is supported by the CCF technical committee on High Performance Computing and CCF technical committee on Computer Architectures and Information Storage Technology Specific topics of interest include four major research tracks 1 Architectures on HPC 2 Supercomputing systems 3 Storage and 4 Applications of HPC An official CCF publication powered by CCF TC on HPC and CCF TC on Computer Architectures and Information Storage Technology Covers four major areas 1 Architectures on HPC 2 Supercomputing systems 3 Storage 4 Applications of HPC Offers rapid reviewing process and publication workflow
CCF Transactions on Networking;CCF Transactions on Networking Computer Communication Networks Computer Systems Organization and Communication Networks Communications Engineering Networks;
CCF Transactions on Pervasive Computing and Interaction;CCF Transactions on Pervasive Computing and Interaction User Interfaces and Human Computer Interaction;CCF Transactions on Pervasive Computing and Interaction CCF TPCI is dedicated to publishing rigorously peerreviewed highquality scientific articles covering all aspects of humancomputer interaction and pervasiveubiquitous computing Computing technology is becoming increasingly pervasive and enables more advanced interactions among humans machines and the environment To foster the developments in the area CCF TPCI provides a publication and communication platform and welcomes contributions from researchers professionals and industrial practitioners This journal is published on behalf of the China Computer Federation CCF and it is powered by the CCF technical committees on Pervasive Computing and Human Computer Interaction An official CCF publication powered by CCF technical committees on Pervasive Computing and Human Computer Interaction Covers all aspects of humancomputer interaction and pervasiveubiquitous computing as well as interdisciplinary topics Offers a rapid reviewing process and publishing workflow
CEAS Aeronautical Journal;CEAS Aeronautical Journal Aerospace Technology and Astronautics;The CEAS Aeronautical Journal is dedicated to publishing results and findings in all areas of aeronautical science and technology as well as new developments in digital design and manufacturing of aircraft rotorcraft and unpiloted aerial vehicles Of interest are also indepth reviews of the status of development in specific areas of relevance to aeronautics and descriptions of the potential way forward Typical disciplines of interest include flight physics and aerodynamics aeroelasticity and structural mechanics aeroacoustics structures and materials flight mechanics and flight control systems engineering flight guidance air traffic management communication navigation and surveillance aircraft and aircraft design rotorcraft and propulsion A key aspect of growing importance is the mitigation of the aviationrelated climate impact The Journal publishes peerreviewed original articles invited reviews and short communications The CEAS Aeronautical Journal has been created under the umbrella of CEAS to provide an appropriate platform for excellent scientific publications submitted by scientists and engineers from all over the world The German Aerospace Center DLR and the European Space Agency ESA support the Journal
CEAS Space Journal;CEAS Space Journal Aerospace Technology and Astronautics;The CEAS Space Journal is devoted to new developments and results in all areas of spacerelated science and technology including important spinoff capabilities and applications as well as groundbased support systems and manufacturing advancements Of interest are also invited indepth reviews of the status of development in specific areas of relevance to space and descriptions of the potential way forward Typical disciplines of interest include mission design and space systems satellite communications aerothermodynamics including physical fluid dynamics environmental control and life support systems materials operations space debris optics optoelectronics and photonics guidance navigation and control mechanisms propulsion power robotics structures testing thermal issues and small satellites The Journal publishes peerreviewed original articles invited reviews and short communications The CEAS Space Journal has been created by the CEAS Space Branch to provide an appropriate platform for the excellent scientific publications submitted by scientists and engineers from all over the world Under the umbrella of CEAS the German Aerospace Center DLR and the European Space Agency ESA support the Journal Created by the CEAS Space Branch to provide an appropriate platform for excellent scientific publications Publishes new developments and results in all areas of spacerelated science and technology Typical disciplines of interest include mission design and space systems satellite communications aerothermodynamics including physical fluid dynamics environmental control and life support systems materials operations space debris optics optoelectronics and photonics guidance navigation and control mechanisms propulsion power robotics structures testing and thermal issues
CEN Case Reports;CEN Case Reports Nephrology Urology;Clinical and Experimental Nephrology CEN Case Reports is a peerreviewed onlineonly journal officially published by the Japanese Society of Nephrology JSN The journal publishes original case reports in nephrology and related areas The purpose of CEN Case Reports is to provide clinicians and researchers with a forum in which to disseminate their personal experience to a wide readership and to review interesting cases encountered by colleagues all over the world from whom contributions are welcomed Submitted manuscripts will be reviewed by two experts CEN Case Reports operates a singleblind peerreview system where the reviewers are aware of the names and affiliations of the authors but the reviewer reports provided to authors are anonymous Peer review is conducted using Editorial Manager supported by a database of international experts This database is shared with the journal Clinical and Experimental Nephrology Onlineonly collection of original case reports in nephrology and related areas An Official Publication of the Japanese Society of Nephrology Contributes to clinical education by facilitating publication of clinical case reports
CHANCE;CHANCE Probability Theory and Stochastic Processes Computational Mathematics and Numerical Analysis Statistical Physics and Dynamical Systems Statistics general;
CME;CME General Practice Family Medicine Internal Medicine Primary Care Medicine Cardiology Gastroenterology Diabetes;Kontinuierliche Fortbildung ist ein zentraler und mittlerweile gesetzlich verankerter Punkt im Alltag des Hausarztes Die Zeitschrift CME bietet dem Leser die Mglichkeit sich das erforderliche Wissen bequem und mit geringem Zeitaufwand anzueignen Kernstck jeder Ausgabe sind jeweils 2 didaktisch besonders aufbereitete Beitrge die die wichtigsten Themen aus der tglichen Praxis umfassend und leicht verstndlich darstellen Zur Dokumentation des erworbenen Wissens knnen die Teilnehmer Fragen zur Zertifizierung beantworten Referate aktueller klinischer Studien interessante Interviews und Kasuistiken komplettieren das Journal fr den Hausarzt
CNS Drugs;CNS Drugs Neurology Psychopharmacology Pharmacotherapy Neurosciences Psychiatry;CNS Drugs provides researchers and healthcare professionals with essential information on the most important aspects of drug therapies used for the management of neurological and psychiatric disorders Via a program of reviews and original research articles the journal addresses major issues relating to drug therapy of these disorders including the pharmacology efficacy and adverse effects of the major classes of drugs information on newly developed drugs and drug classes the therapeutic implications of latest research into the aetiology of neurological and psychiatric disorders and the practical management of specific clinical situations As a hybrid journal CNS Drugs does not charge authors to publish using the traditional subscriptionbased publishing route but does offer the option to publish accepted articles open access if authors so wish or if their funders require This is achieved via the Springer Open Choice initiative More information about this optional route to open access and the associated article processing charge can be found by clicking on the How to publish with us including Open Access link below CNS Drugs offers a range of additional features designed to increase the visibility readership and educational value of the journals content Each article is accompanied by a Key Points summary giving a timeefficient overview of the content to a wide readership Articles may be accompanied by plain language summaries to assist readers who have some knowledge of but not indepth expertise in the area to understand the scientific content and overall implications of the article The journal also provides the option to include various types of digital features including animated abstracts video abstracts slide decks audio slides instructional videos infographics podcasts and animations All additional features are peer reviewed to the same high standard as the article itself Peer review is conducted using Editorial Manager supported by a database of international experts This database is shared with other Adis journals
