GEM International Journal on Geomathematics;GEM International Journal on Geomathematics Applications of Mathematics Earth Sciences general Computational Science and Engineering;As in many areas of science mathematics has also gained an unprecedented importance in geosciences The complexity of the processes within the Earth at its surface and in the atmosphere can only be described modelled mapped and understood by means of modern mathematical methodologies GEM The International Journal on Geomathematics encourages interdisciplinary research in this respect It publishes high quality peerreviewed mathematical papers which are also relevant in Earth sciences This includes all kinds of mathematical methodologies algebraic analytic computational numerical operatortheoretic optimizationbased statistical stochastic etc in every possible discipline of geosciences such as but not exclusively climatology exploration fractured porous media modelling geodynamics geology geomagnetics hydrology oceanography satellite data analysis seismology solid Earth physics and time series analysis but also planetary sciences and cosmology While GEM is a mathematical journal we also welcome research papers from applied scientists who present innovations or enhancements for the mathematical techniques in their expertise Moreover we interpret geomathematics in the broader sense that also mathematical novelties for other applications but with applicability in Earth sciences are appreciated There are numerous areas of applied mathematics with strong interrelations with geomathematics such as fluid dynamics and medical imaging just to mention a few Furthermore we also strongly encourage the submission of survey articles which build bridges between geosciences and mathematics
GPS Solutions;GPS Solutions GeophysicsGeodesy Atmospheric Sciences Space Sciences including Extraterrestrial Physics Space Exploration and Astronautics Automotive Engineering Electrical Engineering;GPS Solutions is a quarterly scientific journal covering system design issues and a full range of current and emerging applications of global navigation satellite systems GNSS such as GPS GLONASS Galileo BeiDou and various augmentations Prime interest is devoted to novel innovative or highly demanding uses Areas of application include aviation surveying and mapping forestry and agriculture maritime and waterway navigation public transportation time and frequency comparisons and dissemination space and satellite operations law enforcement and public safety communications meteorology and atmospheric science geosciences monitoring global change technology and engineering GIS geodesy and more GPS Solutions addresses the latest developments in GNSS infrastructure mathematical modeling algorithmic developments data analysis user hardware and general issues that impact the user community Contributions from the entire spectrum of GNSS professionals are represented including university researchers scientists from government laboratories receiver industry GPS Solutions other commercial developers public officials and business leaders Information on Open Research Funding and Support may be found here httpswwwspringernaturecomgpopenresearchinstitutionalagreements If you are a corresponding author affiliated with a German university or research institution you are entitled to publish open access in our journals with fees covered by the German DEAL agreement More than 900 German institutions are eligible to participate in the agreement between Springer Nature and Projekt DEAL meaning that corresponding authors affiliated with these institutions are eligible to publish their articles open access without being invoiced by Springer Nature The agreement includes more than 2000 hybrid journals across the Springer Nature portfolio from January 2020 and more than 500 fully OA journals from August 2020
GSTF Journal of Advances in Medical Research JAMR;GSTF Journal of Advances in Medical Research JAMR MedicinePublic Health general;
GSTF Journal of BioSciences JBio;GSTF Journal of BioSciences JBio Life Sciences general;
GSTF Journal of Chemical Sciences JChem;GSTF Journal of Chemical Sciences JChem ChemistryFood Science general;
GSTF Journal of Engineering Technology JET;GSTF Journal of Engineering Technology JET Engineering general;
GSTF Journal of General Philosophy JPhilo;GSTF Journal of General Philosophy JPhilo Philosophy general;
GSTF Journal of Geological Sciences JGS;GSTF Journal of Geological Sciences JGS Earth Sciences general;
GSTF Journal of Law and Social Sciences JLSS;GSTF Journal of Law and Social Sciences JLSS Law general;
GSTF Journal of Mathematics Statistics and Operations Research JMSOR;GSTF Journal of Mathematics Statistics and Operations Research JMSOR Mathematics general;
GSTF Journal of Music JMusic;GSTF Journal of Music JMusic Music;
GSTF Journal of Nursing and Health Care JNHC;GSTF Journal of Nursing and Health Care JNHC Nursing;
GSTF Journal of Physics and Applications JPA;GSTF Journal of Physics and Applications JPA Physics general;
GSTF Journal of Psychology JPsych;GSTF Journal of Psychology JPsych Psychology general;
GSTF Journal of Veterinary Science JVet;GSTF Journal of Veterinary Science JVet Veterinary MedicineVeterinary Science;
GSTF Journal on Agricultural Engineering JAE;GSTF Journal on Agricultural Engineering JAE Engineering general;
GSTF Journal on Aviation Technology JAT;GSTF Journal on Aviation Technology JAT Computer Science general;
GSTF Journal on Business Review GBR;GSTF Journal on Business Review GBR Business and Management general;
GSTF Journal on Computing JoC;GSTF Journal on Computing JoC Computer Science general;
GSTF Journal on Education JEd;GSTF Journal on Education JEd Language and Literature;
GSTF Journal on Media Communications JMC;GSTF Journal on Media Communications JMC Multimedia Information Systems;
GZ Psychologie;GZ Psychologie Health Psychology Clinical Psychology;GZPsychologie is een onafhankelijk tijdschrift en richt zich geheel op de snelgroeiende beroepsgroep van gzpsychologen waarvan er inmiddels meer dan 15000 zijn GZPsychologie wil de identiteit en de positie van de gzpsychologen versterken en een brug slaan tussen wetenschap en praktijk Het bevat wetenschappelijke artikelen over diagnostiek indicatiestelling en behandelingen informatie over de praktische uitoefening van het vak zoals de opleiding profielen en richtlijnen en een aantal vaste rubrieken zoals nieuws en agenda
Gastric Cancer;Gastric Cancer Surgical Oncology Oncology Abdominal Surgery Gastroenterology Cancer Research;Gastric Cancer a joint official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association publishes significant studies related to stomach neoplasms The journal welcomes original articles case reports short communications and technical notes which will be peerreviewed by the editorial board Letters to the Editor commenting on articles published in the journal or expressing views on topics concerning gastric cancer are also welcomed Review articles are in principle solicited by the Editor Meeting reports will include summaries of symposia or consensus achieved in the congresses of related associations Why publish with us Our journal is a worldwide forum for surgeons medical oncologists epidemiologists and basic scientists to investigate problems in gastric cancer We cover all areas of treatment and biology relevant to gastric cancer including genetic biochemical and cellular aspects Our supportive and expert editorial team helps provide high levels of author satisfaction with over 90 of our published authors reporting that they would definitely or probably publish in the journal again
GastroNews;GastroNews Gastroenterology Internal Medicine Hepatology Colorectal Surgery;Die Fachzeitschrift GASTRONEWS ist eine unabhngige und praxisnahe Fortbildungszeitschrift zu allen Aspekten der Gastroenterologie und Hepatologie Anspruch der Publikation ist es Leserinnen und Lesern einen schnellen aber fundierten berblick ber alles Neue und aktuell Wissenswerte zu den Erkrankungen der Verdauungsorgane zu vermitteln Den Schwerpunkt der Zeitschrift bilden von Expertinnen und Experten kommentierte Referate der wichtigsten 50 bis 70 Publikationen des aktuellen Jahres hinzu kommen Fortbildungsbersichten Kasuistiken und Berichte von den wichtigsten Fachkongressen Jede Ausgabe enthlt auerdem einen zertifizierten Fortbildungsbeitrag
