LEndocrinologo;LEndocrinologo MedicinePublic Health general Endocrinology Metabolic Diseases Internal Medicine;Rivista fondata da Aldo Pinchera LEndocrinologo organo ufficiale della Societ Italiana di Endocrinologia SIE LEndocrinologo dedicato alla formazione e allaggiornamento continuo dello specialista in endocrinologia e malattie del metabolismo La rivista ha un orientamento prevalentemente clinico ma basato su solide evidenze della medicina e delle scienze biomediche di base I temi proposti che spaziano dalla neuroendocrinologia allendocrinologia della riproduzione dal diabete alle malattie della tiroide dallobesit e dalle dislipidemie allipertensione endocrina e ai disordini del ricambio idrosalino ecc sono scelti di volta in volta per attualit importanza clinica interesse scientifico e culturale stata anche avviata una rubrica di autovalutazione nellambito di un discorso di formazione permanente sempre pi indispensabile nel settore medico Societ Affiliate Societ Italiana di Andrologia e Medicina della Sessualit SIAMS Societ Italiana di Endocrinologia e Diabetologia Pediatrica SIEDP Societ Italiana dellObesit SIO Associazione Italiana della Tiroide AIT Associazione Medici Endocrinologi AME Associazione delle Unit di Endocrinochirurgia Italiane Club delle UEC Societ Italiana di Farmacologia SIF
L1Educational Studies in Language and Literature;L1Educational Studies in Language and Literature Language Education Psycholinguistics;
LO SCALPELLOOTODI Educational;LO SCALPELLOOTODI Educational Orthopedics Conservative Orthopedics Surgical Orthopedics Rheumatology Traumatic Surgery;
La Lettre de mdecine physique et de radaptation;La Lettre de mdecine physique et de radaptation MedicinePublic Health general Rehabilitation Rehabilitation Medicine Orthopedics Neurology;
La Matematica;La Matematica Mathematics general;La Matematica is an international peerreviewed journal featuring highquality research from all areas of the mathematical sciences It is dedicated to publishing research papers describing novel mathematical ideas and tools survey articles on current trends that appeal to a wide range of readers short communications and reviews La Matematica seeks to encourage innovation engagement and interdisciplinary research collaboration As the flagship journal of the Association for Women in Mathematics our goal is to support the flourishing of all mathematicians by adopting equitable practices in STEM publishing La Matematica seeks to publish a variety of article types in all fields of mathematics pure applied and computational We will include work on a wide spectrum of topics ranging from mathematics education and the history of mathematics to mathematicallygrounded work in data science computer science and statistics Occasionally we will also publish special thematic issues Publication of high quality research from a broad range of the mathematical sciences Selfcontained articles accessible to mathematicians outside the field Doublyanonymous review process Constructive reviews Quick reviewer turnaround time
La Rivista Italiana della Medicina di Laboratorio Italian Journal of Laboratory Medicine;La Rivista Italiana della Medicina di Laboratorio Italian Journal of Laboratory Medicine Laboratory Medicine;
La Rivista del Nuovo Cimento;La Rivista del Nuovo Cimento 19691970 Physics general;
La Rivista del Nuovo Cimento;La Rivista del Nuovo Cimento Physics general;La Rivista del Nuovo Cimento is a monthly journal of long review articles It deals with topics of particular scientific interest and with uptodate issues pertaining to different fields of physics These reviews which illustrate the state of the art of specific topics of relevant importance in modern physics usually are invited papers which are peerreviewed before publication
La Rivista del Nuovo Cimento 19711977;La Rivista del Nuovo Cimento 19711977 Physics general;
La radiologia medica;La radiologia medica Imaging Radiology Diagnostic Radiology Interventional Radiology Neuroradiology Ultrasound;La Radiologia Medica founded in 1914 is the official journal of the Italian Society of Medical and Interventional Radiology It is a peerreviewed journal intended as a medium for the communication of results and developments in the field of radiology particularly on advances in diagnostic imaging and its allied sciences The journal presents original contributions on both basic and clinical aspects of modern radiology with special emphasis placed on diagnostic and interventional imaging techniques including clinical implications of radiotherapy nuclear medicine radiobiology and health physics and artificial intelligence Contents include original articles review articles editorials short reports and letters to the editor The Journal aims at being a forum for the international radiological community Covers the field of radiology particularly advances in diagnostic imaging and its allied sciences Emphasizes modern and interventional imaging techniques including clinical implications of radiotherapy nuclear medicine radiobiology health physics and artificial intelligence Official Journal of the Italian Society of Medical and Interventional Radiology
Laboratory Animal Research;Laboratory Animal Research Life Sciences general;
Landscape Ecology;Landscape Ecology Landscape Ecology Ecology Nature Conservation LandscapeRegional and Urban Planning Sustainable Development Environmental Management;Landscape Ecology is the flagship journal of a wellestablished and rapidly developing interdisciplinary science that focuses explicitly on the ecological understanding of spatial heterogeneity Landscape Ecology draws together expertise from both biophysical and socioeconomic sciences to explore basic and applied research questions concerning the ecology conservation management designplanning and sustainability of landscapes as coupled humanenvironment systems Landscape ecology studies are characterized by spatially explicit methods in which spatial attributes and arrangements of landscape elements are directly analyzed and related to ecological processes All manuscripts must show a keen awareness of the current literature and an immediate relevance to at least one of the following key topics 1 Flows and redistributions of organisms materials and energy in landscape mosaics 2 Landscape connectivity and fragmentation 3 Ecosystem services in dynamic landscapes especially tradeoffs and synergies 4 Landscape history and legacy effects 5 Landscape and climate change interactions particularly mitigation and adaptation 6 Landscape sustainability and resilience eg relationships between ecosystem services and human wellbeing in changing landscapes 7 Mechanisms and ecological impacts of land use change 8 Scaling relations and hierarchical linkages of patterns and processes across landscapes 9 Innovative methods in landscape analysis and modeling and 10 Accuracy assessment and uncertainty analysis of landscape studies A valuable resource for both researchers and practitioners in ecology conservation ecosystem management and landscape planning and design Landscape Ecology is currently one of the leading journals across these fields EditorinChief Jianguo Jingle Wu Arizona State University Journal of the International Association for Landscape Ecology US and World Covers relationships among landscape pattern ecological processes and scale Explores the nature and ecological consequences of land use and land cover change Reviews the effects of landscape heterogeneity on population dynamics ecosystem processes and ecosystem services Examines landscape fragmentation on biodiversity and ecosystem functioning 94 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Landscape and Ecological Engineering;Landscape and Ecological Engineering Landscape Ecology Nature Conservation Civil Engineering Environmental Management LandscapeRegional and Urban Planning Plant Ecology;Landscape and Ecological Engineering is published by the International Consortium of Landscape and Ecological Engineering with the aim of protecting and improving the environment in the face of biodiversity loss desertification global warming and other environmental conditions The journal presents original papers reports reviews and technical notes on all aspects of conservation restoration and management of ecosystems Its scope is not limited to purely scientific approaches but welcomes technological and design approaches that provide useful and practical solutions to todays environmental problems The coverage is relevant to students and researchers at universities and institutes while its emphasis on the practical application of research will interest all decision makers dealing with landscape planning and management problems For submission after 1 Jan 2018 the journal will not ask for page charges any longer Presents original papers reports reviews and technical notes on all aspects of ecosystem conservation restoration and management Aims to protect and improve the environment in the face of biodiversity loss Journal of the International Consortium of Landscape and Ecological Engineering ICLEE
Landslides;Landslides Natural Hazards Geography general Agriculture Civil Engineering;As catastrophic events landslides can cause human injury loss of life and economic devastation and destroy construction works and cultural and natural heritage The journal Landslides is the common platform for publication of integrated research on all aspects of landslides The journal publishes research papers news of recent landslide events and information on the activities of the International Consortium on Landslides Coverage includes landslide dynamics mechanisms and processes volcanic urban marine and reservoir landslides related tsunamis and seiches hazard assessment and mapping modeling monitoring GIS techniques remedial or preventive measures early warning and evacuation and a global landslide database Landslides has been accepted at Thompson ISI for coverage in Science Citation Index Expanded Current ContentsPhysical Chemical and Earth Sciences and Current ContentsEngineering Computing and Technology The common platform for publication of integrated research on all aspects of landslides Presents research papers news of recent landslide events and more Provides information on the activities of the International Consortium on Landslides EditorinChief Kyoji Sassa Prof Emeritus Kyoto University Japan 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
