NETNOMICS Economic Research and Electronic Networking;NETNOMICS Economic Research and Electronic Networking Economic TheoryQuantitative EconomicsMathematical Methods Data Structures and Information Theory IT in Business Economic Growth eCommerceebusiness;We regret to inform you that NETNOMICS Economic Research and Electronic Networking will not be published by Springer beyond 2021 For this reason we are no longer receiving submissions for the journal If you have a paper in peerreview you will be informed about the next steps If you are preparing a revision of a former submission please get in contact with the EditorinChief All articles published in the journal during its time with Springer will remain fully searchable through our websites The journal Netnomics is intended to be an outlet for research in electronic networking as well as in network economics As more and more transactions are carried out electronically important economic issues and problems arise A networkbased realtime macroeconomy has emerged with its own set of economic characteristics creating a wealth of opportunities for economic research as well as important linkages to information systems Topics that could be addressed are pricing schemes for electronic services electronic trading systems data mining and highfrequency online data as well as big data realtime forecasting filtering economic software agents distributed database applications electronic money and tickets and many more Evidently this is only the tip of the iceberg Moreover we attempt to disclose important research questions in the field of network economics This may reflect networks in their widest sense regarding for instance telecommunications electronic networks supply chain networks networks in traffic and transportation such as the airline and maritime shipping industries or even electricity networks and smart grids Papers of Netnomics describe cutting edge research and applications in these areas Officially cited as Netnomics Addresses new economic issues and problems that are arising as more and more transactions are conducted electronically Explores the emerging networkbased realtime macroeconomy with its own set of economic characteristics Covers such topics as pricing schemes for electronic services electronic trading systems data mining and highfrequency data realtime forecasting filtering etc
NTM Zeitschrift fr Geschichte der Wissenschaften Technik und Medizin;NTM Zeitschrift fr Geschichte der Wissenschaften Technik und Medizin History of Science MedicinePublic Health general Physics general History of Mathematical Sciences Engineering general;NTM ist die grte Zeitschrift fr Wissenschafts Technik und Medizingeschichte im deutschen Sprachraum Sie bietet ein internationales Forum fr Forschungsbeitrge Debatten und Rezensionen aus dem Gesamtgebiet der Wissenschafts Technik und Medizingeschichte in allen Epochen und unterschiedlichen Regionen Wir verffentlichen innovative Beitrge die an neuere theoretische und methodische Anstze und Debatten anknpfen neues empirisches Material erschlieen oder neue Forschungsfelder erffnen Neben der Geschichte der Naturwissenschaften der Technik und der Medizin sind auch Beitrge zur Geschichte der Geistes Sozial und Kulturwissenschaften willkommen NTM erscheint vierteljhrlich Neben dem klassischen individuellen Forschungsartikel und Buchrezensionen publiziert NTM als weitere Textgattungen das Forum das Fundstck sowie Essay Reviews Provokative oder auch kontroverse Beitrge stoen im Forum Debatten und Fragen an die unser Feld kommend prgen werden Das Fundstck erschliet vergessene Objekt Bild oder Schriftquellen von hoher historischer Relevanz Essay Reviews bieten entlang von Literaturbesprechungen einen kritischen berblick ber ein entstehendes Forschungsfeld Auerdem erscheinen Themenhefte 46 Artikel sowie Special Sections 34 Artikel die ein neues Forschungsfeld abstecken bzw dessen Potential exemplarisch aufzeigen NTM wird seit 2018 von der Gesellschaft fr die Geschichte der Wissenschaften der Medizin und der Technik GWMT herausgegeben wwwgwmtde Zuvor war NTM das wissenschaftliche Organ der DGGMNT Deutsche Gesellschaft fr Geschichte der Medizin Naturwissenschaft en und Technik e V Die Zeitschrift hat eine lange Tradition und wurde 1960 von Gerhard Harig und Alexander Mette in Leipzig gegrndet Doppelt anonymes Begutachtungsverfahren Mischung aus unterschiedlichen Textgattungen Artikel Fundstck Forum Essay Reviews Rezensionen Publikationssprachen Deutsch Englisch und Franzsisch VolltextZugriff fr alle Institutionen des DEAL Konsortiums ab 2020 Weitere Informationen zu DEAL unter httpswwwspringernaturecomgpopenresearchinstitutionalagreementsoaforgermanyde NTM is the largest and most comprehensive journal for history of science technology and medicine in the Germanspeaking world It offers an international forum for research articles debates and reviews in the entire field of history of science technology and medicine in all epochs and various regions The journal focuses on innovative theoretical and methodological approaches and discussions which make new empirical material or areas of research accessible Contributions to the history of science technology and medicine but also to the history of the social sciences and the humanities are welcome NTM appears four times a year Aside from classic individual research articles and book reviews NTM publishes as additional text genres the Forum the Lost Found and also Essay Reviews In the Forum provocative or controversial contributions encourage debates and questions that are set to shape the future of our field Lost Found aims at exploring forgotten objects and other sources of great historical relevance Essay Reviews provide a critical overview of emerging research fields along literature reviews Moreover NTM publishes Special Issues 46 articles as well as Special Sections 34 articles are aiming at defining new research fields or demonstrating their potential NTM has been published under the auspices of the Gesellschaft fr die Geschichte der Wissenschaften der Medizin und der Technik GWMT wwwgwmtde since 2008 Before NTM used to be the scientific body of the DGGMNT Deutsche Gesellschaft fr Geschichte der Medizin Naturwissenschaft en und Technik e V The journal has a long tradition and was founded in 1960 by Gerhard Harig and Alexander Mette in Leipzig Doubleblind peer review process Mixture of different text genres articles lost found forum essay reviews reviews Papers are accepted for publication in German English and French Open access to the fulltext version under countryspecific conditions Bibliographie NTM Zuerst erschienen 1960 first published in 1960 Namensnderung ab 112008 renamed in 2008 1 Volumen pro Jahr 4 Hefte pro Volumen 1 Volume per year 4 issues per volume ca 500 Seiten pro Volumen 500 pages per volume Format 155 x 235 cm ISSN 00366978 print ISSN 14209144 electronic
Nano Convergence;Nano Convergence Nanotechnology Nanoscale Science and Technology Nanotechnology and Microengineering;
Nano Research;Nano Research Nanotechnology Materials Science general AtomicMolecular Structure and Spectra Condensed Matter Physics Biotechnology Biomedicine general;Nano Research is a peerreviewed international and interdisciplinary research journal that focuses on all aspects of nanoscience and nanotechnology Submissions are solicited in all topical areas ranging from basic aspects of the science of nanoscale materials to practical applications of such materials All research results published in Nano Research from 2008 to 2010 are freely available online Nano Research publishes articles that focus on but are not limited to the following areas Synthesis characterization and manipulation of nanomaterials Nanoscale physics electrical transport quantum physics Scanning probe microscopy and spectroscopy Nanofluidics Nanosensors Nanoelectronics and molecular electronics Nanooptics nanooptoelectronics and nanophotonics Nanomagnetics Nanobiotechnology and nanomedicine Nanoscale modeling and simulations Nano Research offers readers an attractive mix of authoritative and comprehensive Reviews original cuttingedge research in Communication and Full Paper formats Rapid review to ensure quick publication is a key feature of Nano Research Covers all aspects of nanoscience and nanotechnology ranging from basic aspects of the science of nanoscale materials to practical applications of such materials Presents an attractive mix of authoritative and comprehensive reviews original articles on cuttingedge research and brief communications Offers rapid review and publication of articles
NanoMicro Letters;NanoMicro Letters Nanotechnology and Microengineering Nanotechnology Nanoscale Science and Technology;NanoMicro Letters is a peerreviewed international interdisciplinary and openaccess journal published under the SpringerOpen brand that focus on science experiments engineering technologies and applications of nano or microscale structure and system in physics chemistry biology material science pharmacy and their expanding interfaces with at least one dimension ranging from a few subnanometers to a few hundreds of micrometers Especially emphasize the bottomup approach in the length scale from nano to micro since the key for nanotechnology to reach industrial applications is to assemble to modify and to control nanostructure in micro scale The aim is to provide a publishing platform crossing the boundaries from nano to micro and from science to technologies NanoMicro Letters publishes articles that focus on but are not limited to the following areas Synthesis characterization manipulation of nanomaterials Quantum physics nanoscale electrical transport Nanoscale modeling and simulations Microdevices based on nanomaterials or nanostructures MEMS NEMS Nanosensors Nanoelectronics Nanomagnetics Nano or microfluids Nanobiology biotechnology bioengineering Nanomedicine Solar cell based on nanostructures and nanomaterials Applications related with nano and micromaterials devices and systems Article types NanoMicro Letters publishes Research articles Reviews Communications Perspectives Commentaries Highlights Research articles Reports of original research work that has not been published previously not normally more than 8500 words 10 journal pages Papers on nanoand microscale theories technologies engineering and applications should include some representative results Claims for originality or novelty of researches should be clearly stated in the abstracts Reviews These are intended to summarize accepted practice and report on recent progress in selected areas not normally more than 15000 words 15 journal pages Reviews must be high quality authoritative stateoftheart accounts of the selected research field including historical reviews recent advances and perspectives for future development Reviews should not contain unpublished original research All cited figurestables should have copyrights Communications Brief urgent announcements of significant advances or preliminary accounts of new work not more than 3500 words 4 journal pages The most important criteria for acceptance of a Rapid communication are novelty and significance For these articles authors must state briefly in a covering letter exactly why their works merit rapid publication Perspectives Articles are short readable articles covering current areas of interest including the latest developments viewpoints on recent progress Perspectives are personal reviews of a field or area and they are focused rather than comprehensive Perspectives should not exceed 4000 words total They should have a title an abstract a few references and one or two tables and figures Commentaries Commentaries present a more indepth analysis or a new insight into a previously published material They should be of around 1500 3000 words total A title an abstract a few references and one or two tables and figures should be included in a commentary Highlights Articles are short readable articles that highlight important new developments covering developments made over the past year or so They should explain the significance of these developments and may also identify where further works will be urgently required or where challenges are still faced The journal is owned by Shanghai Jiao Tong University which covers the publishing costs so authors do not need to pay an articleprocessing charge The journal operates a singleblind peerreview system where the reviewers are aware of the names and affiliations of the authors but the reviewer reports provided to authors are anonymous Reports on nano or microscale science technology engineering and application Affiliated with Shanghai Jiao Tong University Offers rapid peer review process and great visibility with open access
NanoBiotechnology;NanoBiotechnology Nanotechnology Biotechnology Materials Science general;
NanoEthics;NanoEthics Ethics Nanotechnology Philosophy of Science Philosophy of Technology;Nanoscale technologies are surrounded by both hype and fear Optimists suggest they are desperately needed to solve problems of terrorism global warming clean water land degradation and public health Pessimists fear the loss of privacy and autonomy grey goo and weapons of mass destruction and unforeseen environmental and health risks Concern over fair distribution of the costs and benefits of nanotechnology is also rising Introduced in 2007 NanoEthics Ethics for Technologies that Converge at the Nanoscale provides a needed forum for informed discussion of ethical and social concerns related to nanotechnology and a counterbalance to fragmented popular discussion While the central focus of the journal is on ethical issues discussion extends to the physical biological and social sciences and the law NanoEthics provides a philosophically and scientifically rigorous examination of ethical and societal considerations and policy concerns raised by nanotechnology Provides a forum for ethical and social concerns related to nanotechnology Counterbalances fragmented opinionated public discussion Discussion is informed by the physical biological and social sciences and the law
Nanobiotechnology Reports;Nanobiotechnology Reports Nanotechnology Industrial and Production Engineering Manufacturing Machines Tools Processes;Nanobiotechnology Reports is an international peerreviewed journal that publishes interdisciplinary research on fundamental aspects of the structure and properties of nanoscale objects and nanomaterials polymeric and bioorganic molecules and supramolecular and biohybrid complexes as well as articles that discuss technologies for their preparation and processing and practical implementation of products devices and naturelike systems based on them The journal publishes original articles and reviews that meet the highest scientific quality standards in the following areas of science and technology studies selforganizing structures and nanoassemblies nanostructures including nanotubes functional and structural nanomaterials polymeric bioorganic and hybrid nanomaterials devices and products based on nanomaterials and nanotechnology nanobiology and genetics and omics technologies nanobiomedicine and nanopharmaceutics nanoelectronics and neuromorphic computing systems neurocognitive systems and technologies nanophotonics natural science methods in a study of cultural heritage items metrology standardization and monitoring in nanotechnology The journal welcomes manuscripts from all countries PEER REVIEW Nanobiotechnology Reports is a peer reviewed journal We use a single blind peer review format The average period from submission to first decision is 14 days The average rejection rate for submitted manuscripts is 25 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge
Nanomanufacturing and Metrology;Nanomanufacturing and Metrology Nanotechnology and Microengineering Nanotechnology Manufacturing Machines Tools Processes;This international interdisciplinary research journal offers the first forum dedicated to research in nanomanufacturing and nanometrology Nanomanufacturing and Metrology presents original articles cuttingedge communications timely review papers technical reports and case studies The journal will also publish special issues devoted to developments in important topics in nanomanufacturing and metrology Coverage spans the field including topics related to Manufacturing and metrology at the micro nano and atomic levels Physics chemistry and materials used in micro nano and atomic manufacturing and metrology Tools and processes for nanomanufacturing and nanometrology Provides a dedicated forum for nanomanufacturing and nanometrology Explores physics chemistry materials tools and processes High visibility for your work with free APC and Open Access
Nanotechnology for Environmental Engineering;Nanotechnology for Environmental Engineering Environmental Science and Engineering Nanotechnology and Microengineering Environment general;This journal indexed in Scopus presents articles reviews and minireviews on research into such topics as applications of nanotechnology for substantial benefits to the environment emerging bionanotechnology based concepts including green chemistry molecular biology methods and chemical processes environmental engineering policy regarding safety and sustainability and technoeconomical aspects of environmental engineering and nanotechnology processes Areas of subject specialization include physics chemistry biotechnology pharmaceutical science nanobiochemical science and environmental engineering The journal reaches a crossdisciplinary readership of scientists professionals and researchers from academia and industry in the field of environmental bionanotechnology nanoengineering for environmental application nanomaterials emerging contaminants environmental monitoringdetection science nanoelectronics in process and environmental engineering Publishes articles reviews and minireviews on nanotechnology and environmental engineering Covers nanotechnology applications that benefit the environment emerging concepts including green chemistry molecular biology methods and chemical processes and more Reaches a crossdisciplinary readership of scientists professionals and researchers from academia and industry
