Qualitas;Qualitas MedicinePublic Health general;QUALITAS ist die Zeitschrift fr Qualitt und Entwicklung in Gesundheitseinrichtungen mit den Themenschwerpunkten Qualittsmanagement Risikomanagement Organisations und Personalentwicklung Fhrung und Projektmanagement Wissensmanagement und Managementsysteme sowie Kommunikation in Einrichtungen des Gesundheitswesens Gesundheitswirtschaft
Qualitative Sociology;Qualitative Sociology Sociology general Social Sciences general Cross Cultural Psychology Personality and Social Psychology;The journal Qualitative Sociology is dedicated to the qualitative interpretation and analysis of social life The journal offers both theoretical and analytical research and publishes manuscripts based on research methods such as interviewing participant observation ethnography historical analysis content analysis and others which do not rely primarily on numerical data All papers are reviewed Focuses on the qualitative interpretation and analysis of social life Presents research using methods which do not rely primarily on numerical data
Qualitative Theory of Dynamical Systems;Qualitative Theory of Dynamical Systems Mathematics general Dynamical Systems and Ergodic Theory Difference and Functional Equations;Please note this journals peer review system has changed it now uses Snapp Springer Natures Article Processing Platform See the journal updates page for more information Qualitative Theory of Dynamical Systems QTDS publishes highquality peerreviewed research articles on the theory and applications of discrete and continuous dynamical systems The journal addresses mathematicians as well as engineers physicists and other scientists who use dynamical systems as valuable research tools The journal is not interested in numerical results except if these illustrate theoretical results previously proved Bibliographic Data Qual Theory Dyn Syst 1 volume per year 4 issues per volume approx 1600 pages per volume Format 155 x 235 cm ISSN 15755460 print ISSN 16623592 electronic AMS Mathematical Citation Quotient MCQ 046 2021
Quality Quantity;Quality Quantity Methodology of the Social Sciences Social Sciences general;Quality and Quantity constitutes a point of reference for European and nonEuropean scholars to discuss instruments of methodology for more rigorous scientific results in the social sciences In the era of biggish data the journal also provides a publication venue for data scientists who are interested in proposing a new indicator to measure the latent aspects of social cultural and political events Rather than leaning towards one specific methodological school the journal publishes papers on a mixed method of quantitative and qualitative data Furthermore the journals key aim is to tackle some methodological pluralism across research cultures In this context the journal is open to papers addressing some general logic of empirical research and analysis of the validity and verification of social laws Thus The journal accepts papers on science metrics and publication ethics and their related issues affecting methodological practices among researchers Quality and Quantity is an interdisciplinary journal which systematically correlates disciplines such as data and information sciences with the other humanities and social sciences The journal extends discussion of interesting contributions in methodology to scholars worldwide to promote the scientific development of social research This journal has occasional calls for papers please refer to the updates section at the bottom of the page for more information 96 of authors who answered a survey reported that they would definitely or probably publish in the journal again
Quality and User Experience;Quality and User Experience Communications Engineering Networks User Interfaces and Human Computer Interaction Behavioral Sciences Cognitive Psychology Media Research Signal Image and Speech Processing;This journal presents research on the human experience and quality perception of digital media telecommunication and Information Communications Technology ICT products and interactive services Coverage includes mobile and pervasive applications augmented and virtual reality gaming video conferencing telepresence and videoondemand An example goal would be to develop a new metric based on subjective or objective analysis Tactics described here can be human centered eg to characterize user perceptions or technology centered to guide product development The journal promotes integration of knowledge by assembling a range of disciplinary perspectives on experience quality quality of experience QoE user experience UX quality management usability engineering humancentered design cognitive processes subjective audio video quality assessment and humancomputer interaction The journal encourages and enables first class research from any scientific discipline that contributes to and shows relevance to quality of experience and user experience Examples include development of a new metric based on subjective or objective analysis taxonomies and models to define and explain quality of experience and user experience relationship to other concepts such as user acceptance or value systems lab or situated studies delivering insights to specific experience aspects discussion of influence factors on UX and QoE and their relationships the significance of time for the dynamics of user experience and quality of experience relevant insights from different disciplines such as design psychology social sciences or material science research in contextual experiences to capture specific situations including specific domain aspects tools and frameworks towards the development of next generation experiences methods to capture analyze design and evaluate user experience and quality of experience user experience research relate d to special user groups special needs as well personal differences insights on the design of experiences from the constructive as well as from the process perspective experience design approaches and methods viewpoints on the meaning of experience design and experience design for specific application domains Presents research on human experience and digital media Explores humancentered and technologycentered approaches Examines a range of perspectives on quality of experience
Quality of Life Research;Quality of Life Research Quality of Life Research Sociology general Public Health Quality of Life Research;Quality of Life Research is an international multidisciplinary journal devoted to the rapid communication of original research theoretical articles and methodological reports related to the field of quality of life in all the health sciences The journal also offers editorials literature book and software reviews correspondence and abstracts of conferences Quality of life has become a prominent issue in biometry philosophy social science clinical medicine health services and outcomes research The journals scope reflects the wide application of quality of life assessment and research in the biological and social sciences All original work is subject to peer review for originality scientific quality and relevance to a broad readership This is an official journal of the International Society of Quality of Life Research Why publish with us We are an official journal of the International Society for Quality of Life Research ISOQOL a leading society in the field of healthrelated quality of life research Our journal is ranked in the top quartile of the health policy and services category of the JCR Social Science Citation Index The journal promotes the rapid communication of original research articles and methodological reports on quality of life research and assessment in the biological and health sciences
Quantitative Biology;Quantitative Biology Bioinformatics Computational BiologyBioinformatics Computer Appl in Life Sciences Mathematical and Computational Biology;
Quantitative Marketing and Economics;Quantitative Marketing and Economics Marketing Economic TheoryQuantitative EconomicsMathematical Methods Statistics for Business Management Economics Finance Insurance;Quantitative Marketing and Economics QME publishes research in the intersection of Marketing Economics and Statistics Our focus is on important applied problems of relevance to marketing using a quantitative approach We define marketing broadly as the study of the interface between firms competitors and consumers This includes but is not limited to consumer preferences consumer demand and decisionmaking strategic interaction of firms pricing promotion targeting product designpositioning and channel issues We embrace a wide variety of research methods including applied economic theory econometrics and statistical methods Empirical research using primary secondary or experimental data is also encouraged Officially cited as Quant Mark Econ
Quantitative Microbiology;Quantitative Microbiology Environmental EngineeringBiotechnology;
Quantum Frontiers;Quantum Frontiers Physics general Quantum Physics Condensed Matter Physics;Quantum Frontiers is a peerreviewed and open access journal that publishes the finest research on quantum science especially focused on the interface between condensed matter physics and quantum information science The journal will try to develop and encourage global academic communications among those scientists who are active at the frontiers of quantum science APC fully covered by Shanghai Jiao Tong University Publishing in condensed matter physics and quantum information science APC fully covered by Shanghai Jiao Tong University High visibility for your work with open access
