TBV Tijdschrift voor Bedrijfs en Verzekeringsgeneeskunde;TBV Tijdschrift voor Bedrijfs en Verzekeringsgeneeskunde Occupational MedicineIndustrial Medicine;TBV tijdschrift en online platform TBV ht vakblad voor bedrijfs en verzekeringsartsen brengt nieuws en achtergronden met betrekking tot arbeid en gezondheid TBV wordt uitgegeven onder auspicin van de Stichting tot Bevordering der Bedrijfs en Verzekeringsgeneeskunde SBBV daarin zijn de NVAB en NVVG vertegenwoordigd
TEST;TEST Statistics general Statistical Theory and Methods Statistics for Business Management Economics Finance Insurance;TEST is an international journal of Statistics and Probability sponsored by the Spanish Society of Statistics and Operations Research wwwseioes Its scope includes both established and emerging areas and English is the journals official language TEST focuses on papers containing original theoretical contributions that demonstrate potential value for applications andor novel and innovative statistical methodology for solving realworld problems in a wide range of challenging disciplines Methodological content is crucial for publication in the journal as is detailed coverage of practical implications In addition to the regular contributions each issue of TEST features an invited paper covering a current and challenging topic authored by an internationally recognized statistician One volume is published annually in four issues Officially cited as Test Focuses on papers containing original theoretical contributions that demonstrate potential value for applications andor novel and innovative statistical methodology for solving realworld problems in a wide range of challenging disciplines Covers both established and emerging areas in Statistics and Probability Features an invited paper in each issue covering a current and challenging topic authored by an internationally recognized statistician
TOP;TOP Operations ResearchDecision Theory Optimization Statistics for Business Management Economics Finance Insurance Industrial and Production Engineering Economic TheoryQuantitative EconomicsMathematical Methods;TOP is the official journal of the Spanish Society of Statistics and Operations Research httpwwwseioes TOP publishes original papers that significantly contribute to the theory and methodology of Operations Research or to the practice of Data Driven Decision Making through innovative applications of Operations Research TOP considers the following types of papers for publication Invited Reviews describing the state of the art as well as future lines of research for a broad and timely Operations Research OR topic Multiple discussants with leading expertise in the topic are invited to write a short piece with comments on the review which are published alongside a rejoinder written by the authors Innovative Applications of OR describing novel ways to solve real life Data Driven Decision Making problems Theory and Methodology Papers presenting original research results contributing to the methodology of OR and to its theoretical foundations When submitting such a paper for consideration the authors will need to choose from one of the following six fields and pick a comprehensive list of Keywords Continuous Optimization Discrete Optimization Heuristics Production Manufacturing and Logistics Stochastics and Statistics Interfaces with Other Disciplines Officially cited as Top Publishes original findings in operations research and management sciences Official Journal of the Spanish Society of Statistics and Operations Research Explores mathematical issues or applications to realworld decisionmaking problems Features reviews in addition to original research papers 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
TSG Tijdschrift voor gezondheidswetenschappen;TSG Tijdschrift voor gezondheidswetenschappen Health Promotion and Disease Prevention Public Health;TSG is het enige Nederlandstalige tijdschrift dat multidisciplinaire informatie bevat op het gebied van de volksgezondheid maatschappij en zorg Naast de multidisciplinaire orintatie is de combinatie van wetenschap beleid en praktijk uniek Een onmisbaar tijdschrift Wat heeft TSG u te bieden Wetenschappelijke artikelen bijdragen over beleid en over de praktijk opinirende beschouwingen en commentaren TSG is met ingang van 2019 een Open Access en Online Only tijdschrift
TVZ Verpleegkunde in praktijk en wetenschap;TVZ Verpleegkunde in praktijk en wetenschap Nursing;Het vakblad TvZ belicht de verpleegkundige praktijk n wetenschap De diepgaande en wetenschappelijke artikelen gaan over onderzoek opinie beleid en management TvZ staat bovendien boordevol kwalitatief hoogwaardige EBP artikelen Met TvZ houdt u uw kennis op niveau en heeft u een overstijgende blik op het vak
Tandartspraktijk;Tandartspraktijk Dentistry;TandartsPraktijk informeert u over de belangrijkste ontwikkelingen in de tandheelkunde en tandtechniek door praktisch toepasbare klinische artikelen en herkenbare casustiek toegelicht aan de hand van duidelijke kleurenfotos rntgenfotos en tekeningen TandartsPraktijk neemt een standpunt in het volgt het gevoerde beleid van overheid verzekeraars en beroepsorganisaties kritisch en is niet bang voor een opinirende stellingname De juiste mix van goed beschreven casussen congresverslagen en onderwerpen van sociaal maatschappelijke aard maken Tandartspraktijk een veelgelezen tijdschrift onder algemeen practici TandartsPraktijk is een vaktijdschrift dat zich ten doel stelt te fungeren als intermediair bij de ducation permanente van de tandarts algemeen practicus De redactie is onafhankelijk Hoewel TandartsPraktijk geen wetenschappelijke of sociale richting heeft dient alle aangeboden kopij wetenschappelijk verantwoord te zijn en binnen Nederlandse normen sociaal aanvaardbaar
Targeted Oncology;Targeted Oncology Oncology Biomedicine general;Targeted Oncology is a pragmatic tool for all physicians and scientists committed to oncology and cancer research Recently a better understanding of the genetics and biology of cancer have provided important clues to the pathology of the disease and to new therapeutic strategies Innovative treatments including small molecule inhibitors and biologicals targeting oncogenic pathways and immune checkpoints have emerged and are currently revolutionizing the way we treat cancer patients Despite these breakthroughs significant work remains in understanding these new compounds and identifying markers of treatment success Targeted Oncology focuses on Original Research Articles on both preclinical and clinical aspects of molecularly targeted agents and on comprehensive narrative Review Articles discussing clinically established as well as emerging agents and pathways The journal also publishes Systematic Reviews that use explicit systematic methods as outlined by the PRISMA statement and Adis Drug Reviews of the properties and place in therapy of both newer and established targeted drugs in oncology As a hybrid journal Targeted Oncology does not charge authors to publish using the traditional subscriptionbased publishing route but does offer the option to publish accepted articles open access if authors so wish or if their funders require This is achieved via the Springer Open Choice initiative More information about this optional route to open access and the associated article processing charge can be found by clicking on the How to publish with us including Open Access link below Targeted Oncology offers a range of additional features designed to increase the visibility readership and educational value of the journals content Each article is accompanied by a Key Points summary giving a timeefficient overview of the content to a wide readership Articles may be accompanied by plain language summaries to assist readers who have some knowledge of but not indepth expertise in the area to understand the scientific content and overall implications of the article The journal also provides the option to include various types of digital features including animated abstracts video abstracts slide decks audio slides instructional videos infographics podcasts and animations All additional features are peer reviewed to the same high standard as the article itself Peer review is conducted using Editorial Manager supported by a database of international experts This database is shared with other Adis journals All manuscripts are subject to peer review by international experts Letters to the Editor are welcomed and will be considered for publication
Taylors Business Review TBR;Taylors Business Review TBR Economics general;
Teaching Business Ethics;Teaching Business Ethics Ethics Management Philosophy of Education;
TechTrends;TechTrends Educational Technology Learning and Instruction;TechTrends is a leading journal for professionals in the educational communication and technology field It provides a vehicle that fosters the exchange of important and current information among professional practitioners Articles published in the journal contribute to the advancement of knowledge and practice in the field Among the topics addressed are the management of media and programs the application of educational technology principles and techniques to instructional programs and corporate and military training Contributes to the advancement of knowledge and practice in educational communication and technology Addresses such topics as management of media and programs application of educational technology principles and techniques to instructional programs and corporate and military training Fosters the exchange of important and current information among professional practitioners
