WIRTSCHAFTSINFORMATIK;WIRTSCHAFTSINFORMATIK IT in Business Information Systems and Communication Service Business and Management general Database Management;
WMU Journal of Maritime Affairs;WMU Journal of Maritime Affairs Public International Law Environmental LawPolicyEcojustice Marine Freshwater Sciences Offshore Engineering;WMU Journal of Maritime Affairs Aims and Scope The WMU Journal of Maritime Affairs JOMA is an internationally peerreviewed journal that covers such subject areas as maritime safety maritime energy maritime administration management and operations and marine environment protection and gives special attention to human factors impacts of technology and policymaking in this context JOMA is for academics researchers and professionals in the maritime industry It aims at serving the international maritime community by presenting current thinking and evidencebased arguments on those subjects of topical interest reporting on relevant research findings and addressing interrelationships among those subjects in a multidisciplinary manner to improve the efficacy of maritime transport The Journal accepts articles and book reviews for publication Articles should be conceptually reasoned andor empirically datadriven Articles reviewing relevant literature in a systematic manner are also considered for publication Reviewing recently published books in the field is welcomed for publication JOMA has a section dedicated to the activities of the International Association of Maritime Universities IAMU The IAMU Section is focused on maritime education and training MET Articles and book reviews to be accepted for publication in the IAMU Section follow the Journals guidelines Issues of Contemporary Interest Reports and Comments in the field of MET are not always covered by traditional research however valuable lessons could be learned from best practices or critical discussions from a perspective of practitioners IAMU and JOMA encourage experts in the field to submit their views to the IAMU Section Authoritative voices and leading figures in the Journal domains are occasionally invited to submit an article as an Invited Paper A well prepared proposal for a Special Issue is also welcome More can be obtained from the editorinchief
Waste Disposal Sustainable Energy;Waste Disposal Sustainable Energy Waste ManagementWaste Technology Renewable and Green Energy Engineering Thermodynamics Heat and Mass Transfer;Waste Disposal Sustainable Energy WDSE publishes highquality papers that advance waste disposal and sustainable energy It broadly encompassed various traditional waste disposal and new sustainable energy sources related topics The invention of instrumentation and newmethods on waste characterization and collection are also included It emphasizes the application of waste disposal and sustainable energy technology to environmental and earth issues It provides a platform not only for basic research but also for industrial interests This journal is published quarterly since 2019 Advances our knowledge of waste disposal and highlight new approaches for waste disposal research and new technologies for pollution control Presents cuttingedge studies of waste disposal science and stateof art instrumentation to bridge the gap between basic science and industrial applications Publishes newmethods and advanced technologies that focus on sustainable energy utilization environmental assessments and energy recovery
Waste and Biomass Valorization;Waste and Biomass Valorization Engineering general Environment general Renewable and Green Energy Industrial Pollution Prevention Waste ManagementWaste Technology Environmental EngineeringBiotechnology;Until the 1990s technology was the main driver when dealing with waste and residues the objective being the treatment of waste for landfill disposal storage and in some cases sorting In the 1990s depletion of raw materials and socioeconomical concerns supported the direct recycling of waste and residues However the direct recycling approach is limited when wasteresidues contain significant amounts of pollutants such as heavy metals and organics VOC PAH and when the treatment process to removestabilize or destruct the pollutant generates emissions Due to depletion of natural resources increasing greenhouse emissions and awareness of the need for sustainable development in terms of safely reusing waste and biomass the transformation of wastebiomass to valuable materials and energy ie valorization is emerging as a strong trend Waste Biomass Valorization is the first journal dedicated solely to waste and biomass valorization As such an opportunity exists for a new journal dedicated to the valorization via chemical thermal biological or electrochemical treatments of waste and biomass to materials and energy as opposed to the treatment of waste and biomass for eliminationdestruction 93 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Water Conservation Science and Engineering;Water Conservation Science and Engineering Sustainable Development Water IndustryWater Technologies HydrologyWater Resources;Water Conservation Science Engineering is a journal designed to report high quality research that responds to 21 st century water challenges specifically in emerging multidisciplinary areas in the science and engineering of water conservation and assured supply The 21 st Century began with significant parts of the world enduring sustained drought The evidence is clear that climate change is resulting in the acceleration of drought conditions in many regions making water an even more valuable commodity Future water availability is increasingly globally recognised as a critical consideration to sustain the health and wellbeing of a rapidly expanding human population In 2018 The United Nations declared the period 2018 2028 to be the Water Action Decade and its initiatives in this area are supported through several of the 17 UN Sustainable Development Goals but primarily Goal 6 Clean Water and Sanitation Goal 6 describes 8 targets that can be broadly described as Adequate and equitable sanitation and hygiene Improving water quality Water use efficiency Integrated water resources management Protection and restoration of water sinks and sources Alternative water sources Local community approaches to improving water and sanitation management Water Conservation Science Engineering is a journal designed to respond to these challenges publishing high quality research in developing multidisciplinary areas in sciences and engineering associated with water conservation and assured supply Water Conservation Science Engineering offers highquality and rigorous peer review rapid decisions high visibility and is proud to host a truly international Editorial Board The journal welcomes original contributions potentially involving multidisciplinary research that consider sustainable management and conservation of water as a valuable resource Contributions should have relevance and implication on sustainable water conservation practices from individual household to community level as well as on regional national and international scales This includes topics on novel and innovative materials technological solutions environmental monitoring and risk assessment Manuscripts that report only laboratory works without indepth discussion and implications on improving water conservation practices will not be accepted for publication in the journal Focuses on wider applications of science and engineering in enhancing and promoting sustainable water conservation practices Includes topics on novel and innovative materials technological solutions environmental monitoring and risk assessment Hosts an international Editorial Board that offers highquality and rigorous peer review rapid decisions and high visibility
Water History;Water History Waste Water Technology Water Pollution Control Water Management Aquatic Pollution Water general Civil Engineering Hydrogeology History general;Water History aims to foster historical understanding of the relationship between water and humankind The journal spans disciplines to illuminate the complex processes that have shaped water resource use and reveal interrelated historical contingencies and precedents As water has influenced the development of human communities throughout the world the study of water contributes to understanding of economic political social and environmental history the history of science medicine technology environmental sciences and geography In recognition of the complexity and sometimes contradictory aims and ideologies of those controlling water resources Water History provides a forum for peerreviewed research in the field of water history and management The journal forges effective links between scholars engaged in water history research in the humanities and social sciences as well in as the natural and applied sciences Provides a forum for research in water management yesterday and today Explores the complex sometimes contradictory aims and ideologies of those who control water resources Links scholarship in humanities and social sciences with the natural and applied sciences
Water Quality and Ecosystems Modeling;Water Quality and Ecosystem Modeling Atmospheric ProtectionAir Quality ControlAir Pollution;
Water Resources;Water Resources Hydrogeology HydrologyWater Resources Waste Water Technology Water Pollution Control Water Management Aquatic Pollution;Water Resources is an international peerreviewed journal that publishes articles on the assessment of water resources integrated water resource use water quality and environmental protection The journal covers many areas of research including prediction of variations in continental water resources and regime hydrophysical hydrodynamic hydrochemical and hydrobiological processes environmental aspects of water quality and protection economic social and legal aspects of waterresource development and experimental methods of studies The journal welcomes manuscripts from all countries PEER REVIEW Water Resources is a peer reviewed journal We use a open peer review format The average period from submission to first decision is 30 days The average rejection rate for submitted manuscripts is 40 The final decision on acceptance for publication in obvious cases positive reviews after revision is made by the EditorinChief or the Deputy EditorinChief in controversial cases with the involvement of additional members of the Editorial Board in the profile up to 3 people Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Details progress in the assessment of water resources integrated waterresource use water quality and environmental protection Spans many areas of research including prediction of variations in continental water resources and regime hydrophysical and hydrodynamic processes environmental aspects of water quality and protection Englishlanguage translation of Vodnye Resursy
Water Resources Management;Water Resources Management Hydrogeology HydrologyWater Resources Geotechnical Engineering Applied Earth Sciences Atmospheric Sciences Civil Engineering Environment general;Water Resources Management is an international multidisciplinary forum for the publication of original contributions and the exchange of knowledge and experience on the management of water resources In particular the journal publishes contributions on water resources assessment development conservation and control emphasizing policies and strategies Contributions examine planning and design of water resource systems and operation maintenance and administration of water resource systems Coverage extends to these closely related topics water demand and consumption applied surface and groundwater hydrology water management techniques simulation and modelling of water resource systems forecasting and control of quantity and quality of water economic and social aspects of water use legislation and water resources protection Water Resources Management is supported scientifically by the European Water Resources Association a scientific and technical nonprofitmaking European association Peer review is conducted using Editorial Manager supported by a database of international experts This database is shared with the journal Environmental Processes An international forum for original contributions and the exchange of knowledge and experience on the management of water resources Publishes contributions on water resources assessment development conservation and control emphasizing policies and strategies Supported scientifically by the European Water Resources Association 96 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again Published since 1987
Water Waves;Water Waves Mathematical Applications in the Physical Sciences Partial Differential Equations;The Journal publishes carefully selected articles covering all aspects of water waves both theoretical including rigorous mathematics mathematical modelling and numerical simulations and practical including laboratory and field work computational techniques and statistical data analysis The journal is distinguished by a strictly interdisciplinary focus and all authors are expected to write an introduction explaining the main findings of their article in terms accessible to nonspecialists and placing the results in a broader context Contributions featuring a combination of different methodologies are especially welcome The Journal is edited by a dedicated team of leading experts who are committed to publishing papers of the highest scientific quality Articles should contain new and nontrivial results on any aspect of water waves Topics of interest include but are not limited to ocean waves coastal modeling river flow internal and interfacial waves hydroelastic waves hydroacoustic waves wavecurrent and wavestructure interactions airsea interaction freak waves tsunamis and wave energy Manuscripts should be written in standard scientific English and authors should strive to be concise and clear in the formulation of their results Submissions containing an excessive number of misprints or unclear language may be rejected without review Authors are encouraged to mention opposing views concurrent developments by other researchers and similar results which might be in support or in conflict with their findings If data are presented in an article authors should strive to provide a fair balance of all available data whether they support or contradict a given conclusion Bibliographic Data Water Waves 1 volume per year 3 issues per volume approx 480 pages per volume Format 155 x 235 cm Publishes carefully selected articles covering all aspects of water waves both theoretical and practical Distinguished by a strictly interdisciplinary focus
