BHM Berg und Httenmnnische Monatshefte;BHM Berg und Httenmnnische Monatshefte Mineral Resources;Die BHM ist die einzige sterreichische Zeitschrift fr das gesamte Berg und Httenwesen Sie ist thematisch geteilt Die Ausgaben mit den geraden Heftnummern berichten vor allem ber die Gewinnung fester mineralischer Rohstoffe in Form von Originalbeitrgen wobei die Autoren sowohl aus dem praxisbezogenen industriellen Bereich als auch aus dem universitren Forschungsbereich kommen Die ungeraden Heftnummern sind dem Httenbereich gewidmet Er umfasst sowohl die Gewinnung der Metalle einschliesslich Recycling als auch die Weiterverarbeitung und die Metallkunde sowie die Feuerfestindustrie Umweltfragen und Nachhaltigkeit nehmen einen breiten Raum ein Die Rubriken MontanRundschau und Aus der Industrie informieren in kurzer prgnanter Form ber aktuelle wirtschaftliche Ereignisse aus der Branche und stellen neue Produkte und Verfahren vor
BIOspektrum;BIOspektrum Life Sciences general Biochemistry general Human Genetics Microbiology PharmacologyToxicology;Kurzcharakteristik BIO spektrum wwwbiospektrumde BIO spektrum ist das Publikationsorgan der Gesellschaft fr Biochemie und Molekularbiologie GBM der Vereinigung fr Allgemeine und Angewandte Mikrobiologie VAAM der Gesellschaft fr Genetik GfG und der Deutschen Gesellschaft fr Experimentelle und Klinische Pharmakologie und Toxikologie DGPT Zweimonatlich gibt die Zeitschrift rund 15000 Lesern anhand von Review Artikeln einen berblick ber neue Entwicklungen in den Biowissenschaften mit den Schwerpunkten Molekularbiologie Biochemie Mikrobiologie Genetik und Entwicklungsbiologie und informiert ber Aktuelles aus Wirtschaft und Politik Interna aus der Scientific Community zum Beispiel Instituts und Wissenschaftlerportrts sowie zahlreiche Servicesparten neue Produkte Bcher Tagungsankndigungen etc runden das breite Informationsangebot von BIOspektrum ab
BIT Numerical Mathematics;BIT Numerical Mathematics Computational Mathematics and Numerical Analysis Numeric Computing Mathematics general;The journal BIT was started by Carl Erik Frberg in 1961 The name is an acronym for Tidskrift fr Informationsbehandling read backwards From the outset a wide area of computer science and technology was covered but since 1992 the focus has been on Numerical Mathematics Read more about the early history of BIT EditorsinChief 19611992 Carl Erik Frberg 19932002 ke Bjrck 20032015 Axel Ruhe 20152017 Lars Eldn 20172018 Gunilla Kreiss and Lars Eldn 2018present Gunilla Kreiss Owner BIT foundation Lund Sweden Board Appointed by the Academies of Engineering sciences in the Nordic Countries for three year periods The members from 2022 are Rolf Stenberg Aalto University appointed by STA Suomalainen Tiedakatemia Finland Allan Peter EngsigKarup Technical University of Denmark appointed by ATV Akademiet for de Tekniske Videnskaber Denmark Bo Kgstrm Ume University appointed by IVA Kungliga Ingenjrsvetenskapsakademien Sweden Chairman NilsHenrik Risebro University of Oslo appointed by DNVA Det Norske VidenskapsAkademi Norway Gunilla Kreiss Uppsala University Sweden Aims and Scope BIT publishes original research papers in the rapidly developing field of numerical analysis The essential areas covered by BIT are development and analysis of numerical methods as well as the design and use of algorithms for scientific computing Topics emphasized by BIT include numerical methods in approximation linear algebra and ordinary and partial differential equations of deterministic and stochastic type Covers the development and analysis of numerical methods as well as the design and use of algorithms for scientific computing Emphasizes numerical methods in approximation linear algebra and ordinary and partial differential equations
BMC Anesthesiology;BMC Anesthesiology Anesthesiology Internal Medicine Emergency Medicine Intensive Critical Care Medicine;
BMC Biochemistry;BMC Biochemistry Biochemistry general Life Sciences general;
BMC Bioinformatics;BMC Bioinformatics Bioinformatics Microarrays Computational BiologyBioinformatics Computer Appl in Life Sciences Algorithms;
BMC Biology;BMC Biology Life Sciences general;
BMC Biomedical Engineering;BMC Biomedical Engineering Biomedical Engineering and Bioengineering Biomedical EngineeringBiotechnology;
BMC Biophysics;BMC Biophysics Biological and Medical Physics Biophysics Life Sciences general Biological Techniques;
BMC Biotechnology;BMC Biotechnology Applied Microbiology Biotechnology Biochemical Engineering Genetic Engineering Plant BreedingBiotechnology Biomedical EngineeringBiotechnology;
