DARU Journal of Pharmaceutical Sciences;DARU Journal of Pharmaceutical Sciences Pharmaceutical SciencesTechnology PharmacologyToxicology Medicinal Chemistry;As an international journal DARU Journal of Pharmaceutical Sciences considers outstanding studies from basic research to clinical investigations as original articles systematic reviews metaanalyses general reviews minireviews short communications and editorials from the global scientific community Therefore the journal welcomes submissions from all over the world Considers outstanding studies from basic research to clinical investigations Indexed in Medline Scopus PubMed Science Citaion Index No Article Processing charges
DECISION;DECISION Management;DECISION is a quarterly peerreviewed journal published by the Indian Institute of Management Calcutta India since 1974 It has captured the evolution of management thoughts in multiple disciplines in both national and wider regional contexts for several decades Since 2013 the Journal has been published quarterly from Springer with issues in March June September and December DECISION invites original empirical and conceptual articles as well as opinions and perspectives in different streams of decision research The journal accepts submissions in several formats such as original research papers research commentary case studies review articles point counterpoint and perspectives We also publish book reviews these are by invitation only For further information please see Aims Scope at httpswwwspringercomjournal40622aimsandscope
DGNeurologie;DGNeurologie Neurology;Zielsetzung der Zeitschrift DGNeurologie DGNeurologie ist das Publikationsorgan der Deutschen Gesellschaft fr Neurologie und deckt smtliche Themengebiete der Neurologie ab Alle niedergelassenen und klinisch ttigen Neurologen die Mitglied in der Gesellschaft sind erhalten die Zeitschrift Im Mittelpunkt von DGNeurologie steht die Vermittlung von praxisorientiertem Wissen anhand konkreter Handlungsempfehlungen SOPs Algorithmen und Informationen zur Arzneimitteltherapie bieten dem Neurologen einen direkten Nutzen fr die tgliche Arbeit Aktuelle Leitlinien fr Diagnostik und Therapie zeigen Entscheidungs und Handlungsoptionen auf und geben die beste verfgbare Evidenz wieder Neurologische Fallberichte bilden das Erkrankungsspektrum in Praxis und Klinik ab wobei ein Quiz zum Mitdenken einldt Die Rubrik Eine Frage des Rechts gibt dem Neurologen juristische Tipps in Bezug auf Rechtsbeziehungen zwischen Arzt und Patient sowie Organisationsstrukturen Zusammenfassungen und Bewertungen aktueller internationaler Publikationen halten den Leser auf dem aktuellen Stand der neurologischen Forschung Beitrge der Rubrik CME Zertifizierte Fortbildung bieten gesichertes Wissen online besteht die Mglichkeit das Wissen zu berprfen und CMEPunkte zu erwerben
DNP Die Neurologie Psychiatrie;DNP Die Neurologie Psychiatrie Neurology Psychiatry Psychotherapy Psychopharmacology;DNP Die Neurologie Psychiatrie ist die Fortbildungszeitschrift fr rztinnen und rzte aus den Fachgebieten Neurologie Psychiatrie Psychotherapie und Nervenheilkunde in Praxis und Klinik DNP gibt kompakte verstndlich aufbereitete praxisnahe bersichten zum State of the Art von Diagnostik und Therapie sowie einen Ausblick auf knftige Behandlungsoptionen DNP bietet in jeder Ausgabe zwei Module zertifizierte Fortbildung CME an DNP berichtet von wichtigen nationalen und internationalen Kongressen und greift ProKontraDebatten auf DNP liefert ntzliche Hilfen fr den Praxisalltag von Abrechnungstipps bis zur Gesundheitspolitik
Dagbesteding;Dagbesteding Social Work;Dagbesteding is een vakblad voor activiteitenbegeleiders werkzaam in de ouderenzorg intra en extramuraal de psychiatrie en de zorg voor verstandelijk gehandicapten Ook aanverwante werkvelden van de SPH SociaalPedagogische Hulpverlening krijgen in Dagbesteding aandacht Dagbesteding biedt zowel nieuws en actualiteiten als achtergrondverhalen over ontwikkelingen in het vakgebied Met name de rubrieken richten zich op toepassingen van het vak
Dairy Science Technology;Dairy Science Technology Food Science Agriculture Microbiology;
Dao;Dao NonWestern Philosophy Philosophy of Religion Religious Studies general Ethics Chinese;Dao A Journal of Comparative Philosophy is sponsored by the Association of Chinese Philosophers in America and the Department of Philosophy the Chinese University of Hong Kong and supported by the Institute for the Advanced Studies of Humanities of the National Taiwan University The Journal is dedicated to publishing quality articles and reviews of books in Chinese philosophy particularly those relating Chinese philosophy to other philosophical traditions in the world including but not limited to Western philosophy Islamic philosophy African philosophy Indian philosophy Japanese philosophy and Korean philosophy as well as articles on theories and methodologies of comparative philosophy All articles are peerreviewed In addition to highquality research articles on comparative philosophy theory and methodology Dao publishes book reviews in the area of Chinese and comparative philosophy This is the only journal that regularly publishes reviews of books in Chinese as well as fulllength articles reviewing works of contemporary philosophers in China Relates Chinese philosophy to other traditions Explores the relationship between Chinese philosophy and other Asian philosophies Indian Japanese and Korean Compares Chinese with African and Islamic philosophy Presents book reviews including books in Chinese Reviews the works of contemporary Chinese philosophers
Das sterreichische Gesundheitswesen KZ;Das sterreichische Gesundheitswesen KZ MedicinePublic Health general;Das sterreichische Gesundheitswesen KZ ist seit 1960 das unabhngige Fachmagazin fr Entscheidungstrger und Gestalter im sterreichischen Gesundheitswesen Das Themenspektrum umfasst das gesamte System des Gesundheitswesens und der Gesundheitswirtschaft in sterreich Umfasst thematisch das gesamte System des Gesundheitswesens und der Gesundheitswirtschaft Informiert Fhrungskrfte und Entscheidungstrger aller Gesundheitsberufe im sterreichischen Gesundheitswesen in kritischer Weise Ist medialer Treffpunkt der Gesundheitswirtschaft in allen Bereichen der Dienstleistung des Handels der Industrie und der Forschung
Data Mining and Knowledge Discovery;Data Mining and Knowledge Discovery Data Mining and Knowledge Discovery Artificial Intelligence Information Storage and Retrieval Statistics for Engineering Physics Computer Science Chemistry and Earth Sciences;The premier technical publication in the field Data Mining and Knowledge Discovery is a resource collecting relevant common methods and techniques and a forum for unifying the diverse constituent research communities The journal publishes original technical papers in both the research and practice of data mining and knowledge discovery surveys and tutorials of important areas and techniques and detailed descriptions of significant applications Coverage includes Theory and Foundational Issues Data Mining Methods Algorithms for Data Mining Knowledge Discovery Process Application Issues The premier technical journal focused on the theory techniques and practice for extracting information from large databases Publishes original technical papers in both the research and practice of data mining and knowledge discovery surveys and tutorials of important areas and techniques and detailed descriptions of significant applications
Data Science and Engineering;Data Science and Engineering Database Management Data Mining and Knowledge Discovery Algorithm Analysis and Problem Complexity Systems and Data Security Artificial Intelligence Statistics for Engineering Physics Computer Science Chemistry and Earth Sciences;Data Science and Engineering DSE is an international peerreviewed open access journal published on behalf of the China Computer Federation CCF and is affiliated with CCF Technical Committee on Database CCF TCDB Focusing on the theoretical background and advanced engineering approaches DSE aims to offer a prime forum for researchers professionals and industrial practitioners to share their knowledge in this rapidly growing area It provides indepth coverage of the latest advances in the closely related fields of data science and data engineering More specifically DSE covers four areas i the data itself ie the nature and quality of the data especially big data ii the principles of information extraction from data especially big data iii the theory behind dataintensive computing and iv the techniques and systems used to analyze and manage big data The journal publishes highquality original research papers brief reports and critical reviews in all theoretical technological and interdisciplinary studies that make up the fields of data science and engineering and its applications The publication costs are covered by the sponsor Nanjing Sinovatio Technology Co Ltd so authors do not need to pay an articleprocessing charge DSE operates a doubleblind peerreview system where the reviewers do not know the names or affiliations of the authors and the reviewer reports provided to the authors are anonymous Publishes research from computer science statistics information science and other fields An official publication of China Computer Federation CCF High visibility with open access
