Facies;Facies Sedimentology Biogeosciences Geochemistry Paleontology Ecology;The journal Facies presents papers dealing with the interpretation of ancient and modern biotopes and carbonate depositional environments by means of facies analysis in its broadest sense Once the central part of research in hydrocarbon exploration facies analysis integrates modern and ancient biogeological processes of a changing earth Special emphasis is placed on paleobiology paleoecology basin evolution carbonate sedimentology including diagenesis and geochemistry as well as studies emphasizing the impact of life on earth history Studies on fossil and modern reef systems are especially welcome Presents papers on ancient and modern carbonate depositional environments and their controlling factors Facies analysis integrates modern and ancient biogeological processes of a changing earth Emphasizes paleobiology paleoecology basin evolution carbonate sedimentology and more
Familial Cancer;Familial Cancer Cancer Research Human Genetics Epidemiology Biomedicine general;Clinical cancer genetics has now matured to a truly multidisciplinary medical discipline in which clinical and molecular geneticists work with clinical and medical oncologists as well as with psychosocial workers Due to the multidisciplinary nature of clinical cancer genetics most papers are currently being published in a wide variety of journals on epidemiology oncology and genetics Familial Cancer provides a forum bringing these topics together focusing on the interests and needs of the clinician The journal concentrates on clinical cancer genetics Most major areas in the field are included such as epidemiology of familial cancer molecular analysis and diagnosis clinical expression treatment and prevention counseling and the health economics of familial cancer Familial Cancer publishes Original Articles Reviews Short Communications Book Reviews and Letters to the Editor Encompasses all aspects of hereditary cancer of interest to the clinician geneticist psychosocial worker surgical and medical oncologist Coverage includes epidemiology of familial cancer molecular analysis and diagnosis clinical expression treatment and prevention counseling and the health economics of familial cancer Supporting Societies and Divisions International Society for Gastrointestinal Hereditary Tumours InSIGHT and The Breast Cancer Linkage Consortium BCLC
Family Spending;Family Spending Statistics general;
Fashion and Textiles;Fashion and Textiles Textile Engineering Characterization and Evaluation of Materials Business and Management general Life Sciences general Environment general;
Feminist Legal Studies;Feminist Legal Studies Public International Law Gender Studies Human Rights Political Theory;Feminist Legal Studies is committed to an international perspective and to the promotion of feminist work in all areas of law legal theory and legal practice The journal publishes material in a range of formats including articles essay reviews interviews book reviews and notes on recent legal developments The editorial board encourages the submission of papers from people working outside the academy as well as from researchers in any discipline The journal publishes critical interdisciplinary theoretically engaged feminist scholarship relating to law broadly conceived It has a particular interest in work that extends feminist debates and analysis by reference to critical and theoretical approaches and perspectives You can follow Feminist Legal Studies on Twitter FLSjournal The leading international journal of feminist legal scholarship Publishes work from around the world and covering international transnational and global issues Encourages supports and helps to develop the work of emerging researchers as well as publishing leading scholars in the field The editorial board is a collective drawn from feminists working at leading law schools across the UK
Feminist Review;Feminist Review Social Sciences general Sociology general Political Science Gender Studies Cultural Studies;
Fertility Research and Practice;Fertility Research and Practice ObstetricsPerinatologyMidwifery;
FewBody Systems;FewBody Systems Particle and Nuclear Physics Nuclear Physics Heavy Ions Hadrons Atomic Molecular Optical and Plasma Physics;The journal FewBody Systems presents original research work experimental theoretical and computational investigating the behavior of any classical or quantum system consisting of a small number of welldefined constituent structures The focus is on the research methods properties and results characteristic of fewbody systems Examples of fewbody systems range from fewquark states light nuclear and hadronic systems fewelectron atomic systems and small molecules and specific systems in condensed matter and surface physics such as quantum dots and highly correlated trapped systems up to and including largescale celestial structures Systems for which an equivalent onebody description is available or can be designed and large systems for which specific manybody methods are needed are outside the scope of the journal The journal is devoted to the publication of all aspects of fewbody systems research and applications While concentrating on fewbody systems wellsuited to rigorous solutions the journal also encourages interdisciplinary contributions that foster common approaches and insights introduce and benchmark the use of novel tools eg machine learning and develop relevant applications eg fewbody aspects in quantum technologies In additional to original papers FewBody Systems also publishes research work in the form of letters rapid communications comments reviews or progress reports Presents original research work experimental theoretical and computational Single blind peerreview Considers both classical and quantum systems Fosters common approaches and interdisciplinary insights 91 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Fibers and Polymers;Fibers and Polymers Polymer Sciences;
Fibre Chemistry;Fibre Chemistry Polymer Sciences Organic Chemistry;Fibre Chemistry publishes original research and review articles in the field of manmade fibre production and application The journal offers scientific and technical articles on the following aspects chemistry technology machinery and economics of manmade production the initial monomers and polymers the properties of manmade fibres and their processing in various industry branches textiles rubber composites etc Fibre Chemistry is a translation of the Russian journal Khimicheskie Volokna The Russian Volume Year is published in English from April All articles are peerreviewed
Fibrogenesis Tissue Repair;Fibrogenesis Tissue Repair Internal Medicine Cell Biology;
Fields Mathematics Education Journal;Fields Mathematics Education Journal Mathematics Education;
Filaria Journal;Filaria Journal Parasitology Infectious Diseases Tropical Medicine;
Finance and Stochastics;Finance and Stochastics Quantitative Finance Finance general Statistics for Business Management Economics Finance Insurance Economic TheoryQuantitative EconomicsMathematical Methods Probability Theory and Stochastic Processes;To see a list of forthcoming papers please check the Journal updates Finance and Stochastics presents research in all areas of finance based on stochastic methods as well as on specific topics in mathematics motivated by the analysis of problems in finance in particular probability theory statistics and stochastic analysis The journal also publishes surveys on financial topics of general interest if they clearly picture and illuminate the basic ideas and techniques at work the interrelationship of different approaches and the central questions which remain open In addition Finance and Stochastics features special issues devoted to specific topics in rapidly growing research areas The journal serves as an ideal publication platform for both theoretical and applied financial economists using advanced stochastic methods and researchers in stochastics motivated by and interested in applications in finance and insurance Officially cited as Finance Stoch History The first EditorinChief was Dieter Sondermann 1996 who was succeeded by Martin Schweizer 2004 Presents research in all areas of finance based on stochastic methods Covers specific topics in mathematics motivated by the analysis of problems in finance Publishes surveys on financial topics of general interest
Financial Innovation;Financial Innovation MacroeconomicsMonetary EconomicsFinancial Economics Political EconomyEconomic Systems;
