HAND;HAND Surgery Plastic Surgery Orthopedics Surgical Orthopedics;
HEC Forum;HEC Forum Ethics Medical Law Philosophy of Medicine Theory of MedicineBioethics;HEC Forum is an international peerreviewed publication featuring original contributions of interest to practicing physicians nurses social workers risk managers attorneys ethicists and other HEC committee members Contributions from all pertinent sources are included written in a style written appealing to HEC members and lay readers HEC Forum publishes essays and research papers and includes such sections as Essays on Substantive BioethicalHealth Law Issues Analyses of Procedural and Operational Committee Issues Document Exchange Special Articles International Perspectives MtSt Anonymous Cases and Institutional Policies PointCounterpoint Argumentation Case Reviews Analyses and Resolutions Chairpersons Section Tough Spot Critical Annotations Health Law Alert Network News and Letters to the Editors HEC Forum is an official partner journal of the American Society for Humanities Bioethics httpwwwasbhorg Offers original peerreviewed essays and research papers of interest to HEC Forum members Features contributions from many sources in a style appealing to HEC members and lay readers Presents essays and papers and sections on Procedural issues International perspectives Case Reviews Health Law Alert and more
HMD Praxis der Wirtschaftsinformatik;HMD Praxis der Wirtschaftsinformatik Computer Science general IT in Business;See English version below Die Zeitschrift HMD liefert ITFach und Fhrungskrften Lsungsideen fr ihre aktuellen Herausforderungen zeigt ihnen Umsetzungsmglichkeiten auf und informiert sie ber Neues in der Wirtschaftsinformatik WI WIStudierende Forschende und Lehrende erfahren welche Themen in der Praxis ihres Faches Herausforderungen darstellen und aktuell in der Forschung diskutiert werden HMDBeitrge basieren auf einem Transfer wissenschaftlicher Erkenntnisse in die Praxis der Wirtschaftsinformatik Umfassendere Themenbereiche werden in HMDHeften aus verschiedenen Blickwinkeln betrachtet so dass in jedem Heft sowohl Wissenschaftler als auch Praktiker zu einem aktuellen Schwerpunktthema zu Wort kommen Den verschiedenen Facetten eines Schwerpunktthemas geht ein Einfhrungsbeitrag zum State of the Art des Themenbereichs voraus Zustzlich enthlt jedes Heft in der Kategorie Spektrum einige Beitrge aus dem Themenspektrum der Wirtschaftsinformatik auerhalb des Schwerpunktes sowie wann immer wir hierzu aktuelle Artikel erhalten haben die Rubrik Forschung fr die Praxis Buchrezensionen zum Heftthema runden jede HMDAusgabe ab Verlag und Herausgeber haben sich zum Ziel gesetzt die Qualitt von HMDHeften und Beitrgen stetig weiter zu verbessern Jeder Beitrag wird nach Einreichung mehrfach begutachtet vom zustndigen HMD oder Gastherausgeber Herausgebergutachten und von mindestens einem weiteren Experten der anonym begutachtet Blindgutachten Die Gutachter bewerten den Beitrag und machen konstruktive Verbesserungsvorschlge oder empfehlen die Ablehnung Nach berarbeitung durch die Beitragsautoren prft der betreuende Herausgeber die Einhaltung der Gutachtervorgaben und entscheidet in Zweifelsfllen abschlieend ber Annahme oder Ablehnung Mit dem HMD Best Paper Award werden alljhrlich die drei besten Beitrge eines Jahrgangs gewrdigt Die Auswahl der Beitrge erfolgt durch das HMDHerausgebergremium Die HMD ist vor nunmehr fast 60 Jahren erstmals erschienen Im Oktober 1964 wurde das Grundwerk der ursprnglichen Loseblattsammlung unter dem Namen Handbuch der maschinellen Datenverarbeitung ausgeliefert Seit 1998 lautet der Titel der Zeitschrift unter Beibehaltung des bekannten HMDLogos Praxis der Wirtschaftsinformatik Nach 38jhriger Ttigkeit fr die HMD davon 24 Jahre als Schriftleiterin hat zum 172006 Prof Dr Heidi Heilmann diese Funktion an Prof Dr Susanne Strahringer bergeben Am 112015 hat Prof Dr Matthias Knoll die verantwortliche Schriftleitung bernommen Seit 2014 erscheint die Zeitschrift bei Springer Fachmedien Wiesbaden GmbH Im Rating VHBJOURQUAL3 ist die HMD mit D gelistet Mchten Sie zu einem HMDHeft beitragen richten Sie Ihren Vorschlag gerne an die zustndigen Herausgeber oder reichen Sie Ihren Beitrag online ein Aktuelle Call for Papers finden Sie auf dieser Seite bei den Journal Updates Willkommen sind Beitrge zum jeweiligen Schwerpunkt ebenso wie Beitrge zum gesamten Themenspektrum der Wirtschaftsinformatik The journal HMD provides IT professionals and managers with ideas for solutions to their current challenges shows them implementation options and informs them about whats new in business informatics BI BI students researchers and teachers learn which topics present challenges in the practice of their field and are currently being discussed in research HMD contributions are based on a transfer of scientific findings into the practice of business informatics More comprehensive topics are examined from different angles in HMD issues so that both academics and practitioners have their say on a current focus topic in each issue The various facets of a focus topic are preceded by an introductory article on the state of the art of the topic area Additionally each issue contains a number of contributions from the range of business informatics topics outside the focus area in the Spektrum category as well as the Research for Practice section whenever we have received current articles on this topic Book reviews on the issue topic round off each HMD issue The publisher and the editors have set themselves the goal of constantly improving the quality of HMD issues and contributions Each contribution is reviewed several times after submission by the responsible HMD or guest editor editors review and by at least one other expert who reviews anonymously blind review The reviewers evaluate the contribution and make constructive suggestions for improvement or recommend rejection After revision by the authors the supervising editor checks compliance with the reviewers specifications and in cases of doubt makes a final decision on acceptance or rejection The HMD Best Paper Award is given annually to the three best contributions of a year The selection of the contributions is made by the HMD editorial board HMD was first published almost 60 years ago In October 1964 the basic work of the original looseleaf collection was delivered under the name Handbuch der maschinellen Datenverarbeitung Since 1998 the title of the journal has been Praxis der Wirtschaftsinformatik retaining the familiar HMD logo After 38 years of service to HMD including 24 years as editor in chief Prof Dr Heidi Heilmann handed over this position to Prof Dr Susanne Strahringer on July 1 2006 On January 1 2015 Prof Dr Matthias Knoll took over as editor in chief Since 2014 the journal has been published by Springer Fachmedien Wiesbaden GmbH HMD is listed with D in the VHBJOURQUAL3 rating If you would like to contribute to an HMD issue please feel free to address your proposal to the responsible editors or submit your contribution online Current calls for papers can be found on this page at Journal Updates Contributions to the respective focus as well as contributions to the entire spectrum of topics in business informatics are welcome
HNO;HNO Otorhinolaryngology Allergology Head and Neck Surgery Plastic Surgery;Zielsetzung der Zeitschrift HNO ist ein international angesehenes Publikationsorgan und wendet sich an alle HNOrztinnen in Praxis und Klinik Inhaltlich stehen Prvention diagnostische Vorgehensweisen und Komplikationsmanagement sowie moderne Therapiestrategien einschlielich chirurgischer Verfahren im Vordergrund Umfassende bersichtsarbeiten greifen ausgewhlte Themen auf und bieten den Lesenden eine Zusammenstellung aktueller Erkenntnisse aus allen Bereichen der HNOHeilkunde Neben der Vermittlung von relevantem Hintergrundwissen liegt der Schwerpunkt dabei auf der Bewertung wissenschaftlicher Ergebnisse unter Bercksichtigung praktischer Erfahrung die Lesenden erhlt konkrete Handlungsempfehlungen Frei eingereichte Originalien ermglichen die Prsentation wichtiger klinischer Studien und dienen dem wissenschaftlichen Austausch Kasuistiken zeigen interessante Fallbeispiele und ungewhnliche Krankheits bzw Behandlungsverlufe Beitrge der Rubrik CME Zertifizierte Fortbildung bieten gesicherte Ergebnisse wissenschaftlicher Forschung und machen rztliche Erfahrung fr die tgliche Praxis nutzbar Nach Lektre der Beitrge knnen die Lesenden ihr erworbenes Wissen berprfen und online CMEPunkte erwerben Die Rubrik orientiert sich an der Weiterbildungsordnung des Fachgebiets Aims Scope HNO is an internationally recognized journal and addresses all ENT specialists in practices and clinics dealing with all aspects of ENT medicine eg prevention diagnostic methods complication management modern therapy strategies and surgical procedures Review articles provide an overview on selected topics and offer the reader a summary of current findings from all fields of ENT medicine Freely submitted original papers allow the presentation of important clinical studies and serve the scientific exchange Case reports feature interesting cases and aim at optimizing diagnostic and therapeutic strategies Review articles under the rubric Continuing Medical Education present verified results of scientific research and their integration into daily practice Review All articles of HNO are peer reviewed Declaration of Helsinki All manuscripts submitted for publication presenting results from studies on probands or patients must comply with the Declaration of Helsinki
HNO Nachrichten;HNO Nachrichten Otorhinolaryngology Head and Neck Surgery Allergology;Die Zeitschrift HNO Nachrichten berichtet aus der Praxis fr die Praxis ber Themen die unmittelbar auf das Interessensgebiet der Zielgruppe zugeschnitten sind Erfahrene HNOrztinnen und rzte aus Klinik und Praxis verantworten redaktionell die Inhalte Der Fortbildungsteil bietet praxisnahe Beitrge zu aktuellen Entwicklungen in Diagnostik Therapie und Operationstechniken in der HNOHeilkunde ebenso wie zur fachspezifischen Onkologie und Allergologie Aktuelle internationale Studien werden von einem Expertenteam ausgewhlt referiert und kommentiert Ein von der Bayerischen Landesrztekammer anerkanntes Fortbildungsmodul ermglicht in jeder Ausgabe den Erwerb von zwei CMEPunkten Die Rubrik Praxis konkret informiert ber abrechnungstechnische wirtschaftsrechtliche sowie berufspolitische Themen Berichte ber wissenschaftliche Kongresse pharmakologische sowie technische Neuerungen komplettieren das redaktionelle Spektrum
HSS Journal;HSS Journal Surgical Orthopedics Orthopedics Rheumatology Sports Medicine Imaging Radiology Anesthesiology;
Hague Journal on the Rule of Law;Hague Journal on the Rule of Law Public International Law Fundamentals of Law Theories of Law Philosophy of Law Legal History;The Hague Journal on the Rule of Law HJRL is a multidisciplinary journal that aims to deepen and broaden our knowledge and understanding about the rule of law Its main areas of interest are current developments in rule of law in domestic transnational and international contexts theoretical issues related to the conceptualization and implementation of the rule of law in domestic and international contexts the relation between the rule of law and economic development democratization and human rights protection historical analysis of rule of law significant trends and initiatives in rule of law promotion practitioner notes The HJRL is supported by HiiL Innovating Justice The Hague the Netherlands and the Paul Scholten Center for Jurisprudence at the Law School of the University of Amsterdam the Netherlands Editorial Policy The HJRL welcomes contributions from academics and practitioners with expertise in any relevant field including law anthropology economics history philosophy political science and sociology It publishes two categories of articles papers appr 600010000 words and notes appr 2500 words Papers are accepted on the basis of double blind peerreview Notes are accepted on the basis of review by two or more editors of the journal Manuscripts submitted to the HJRL must not be under consideration for publication elsewhere Acceptance of the Editorial Boards offer to publish implies that the author agrees to an embargo on publication elsewhere for a period of two years following the date of publication in the HJRL
Harm Reduction Journal;Harm Reduction Journal Health Promotion and Disease Prevention Social Policy Social Work Health Psychology;
Head Face Medicine;Head Face Medicine Otorhinolaryngology Oral and Maxillofacial Surgery Dentistry Head and Neck Surgery;
Head Neck Oncology;Head Neck Oncology Oncology Otorhinolaryngology Head and Neck Surgery;
Head and Neck Pathology;Head and Neck Pathology Pathology Otorhinolaryngology Oral and Maxillofacial Surgery Dentistry;Head Neck Pathology presents scholarly papers reviews and symposia that cover the spectrum of human surgical pathology within the anatomic zones of the oral cavity sinonasal tract larynx hypopharynx salivary gland ear and temporal bone and neck The journal publishes rapid developments in new diagnostic criteria intraoperative consultation immunohistochemical studies molecular techniques genetic analyses diagnostic aids radiographic imaging and application of uniform terminology to allow practitioners to continue to maintain and expand their knowledge in the subspecialty of head and neck pathology Coverage of practical application to daily clinical practice is supported with proceedings and symposia from international societies and academies devoted to this field Singleblind peer review The journal follows a singleblind review procedure where the reviewers are aware of the names and affiliations of the authors but the reviewer reports provided to authors are anonymous Singleblind peer review is the traditional model of peer review that many reviewers are comfortable with and it facilitates a dispassionate critique of a manuscript Submitted manuscripts will generally be reviewed by experts who will be asked to evaluate whether the manuscript is scientifically sound and coherent whether it duplicates already published work and whether or not the manuscript is sufficiently clear for publication Reviewers will also be asked to indicate how interesting and significant the research is The Editors will reach a decision based on these reports and where necessary they will consult with members of the Editorial Board Where an Editor is a coauthor or has any other competing interest regarding a specific manuscript they will not participate in the peerreview process and the article will be assigned by the Publisher to a member of the Editorial Board
