PARSMitteilungen;PARSMitteilungen Computer Science general;
PFG Journal of Photogrammetry Remote Sensing and Geoinformation Science;PFG Journal of Photogrammetry Remote Sensing and Geoinformation Science Remote SensingPhotogrammetry Geographical Information SystemsCartography Signal Image and Speech Processing Computer Imaging Vision Pattern Recognition and Graphics Astronomy Observations and Techniques Aerospace Technology and Astronautics;PFG is an international scholarly journal covering the progress and application of photogrammetric methods remote sensing technology and the interconnected field of geoinformation science It places special editorial emphasis on the communication of new methodologies in data acquisition and new approaches to optimized processing and interpretation of all types of data which were acquired by photogrammetric methods remote sensing image processing and the computeraided interpretation of such data in general The journal hence addresses both researchers and students of these disciplines at academic institutions and universities as well as the downstream users in both the private sector and public administration Founded in 1926 under the former name Bildmessung und Luftbildwesen PFG is worldwide the oldest journal on photogrammetry It is the official journal of the German Society for Photogrammetry Remote Sensing and Geoinformation DGPF and welcomes the submission of English and German language articles Information on the society can be found at httpwwwdgpfde Provides a wideranging coverage of photogrammetry remote sensing and geoinformation issues since 1926 Offers fullcolor for all illustrations in its print and electronic version without charge to the authors Official journal of the German Society for Photogrammetry Remote Sensing and Geoinformation DGPF
PMC Physics A;PMC Physics A Particle and Nuclear Physics Astrophysics and Astroparticles Cosmology;
PMC Physics B;PMC Physics B Atomic Molecular Optical and Plasma Physics Condensed Matter Physics;
PROSPECTS;PROSPECTS Education general International and Comparative Education;Prospects provides comparative and international perspectives on key current issues in curriculum learning and assessment The principal features of the journal are the innovative and critical insights it offers into the equitable provision of quality and relevant education for all and the crossdisciplinary perspectives it engages drawing on a range of domains that include culture development economics ethics gender inclusion politics sociology sustainability and education Prospects aims to influence a wide range of actors in the field of education and development whether academics policymakers curriculumdevelopers assessors teachers or students Unlike other journals in the field which deal only with theoretical or researchrelated aspects Prospects also focuses on policy implementation and aims at improving the extent and effectiveness of communication between theorists and researchers on one side and policy makers and practitioners on the other The journal thus welcomes innovative empirical research case studies of policy and practice conceptual analyses and policy evaluations as well as critical analyses of published research and existing policy Founded in 1970 and published in English by Springer Prospects is among the most wellestablished journals in the field Editions in Arabic and Mandarin Chinese are available as well The journal is edited by the International Bureau of Education IBE in Geneva A leading UNESCO Institute and a global center of excellence in curriculum and related matters the IBE is recognized and valued for the specialist knowledge and expertise that it brings to Member States promoting new shared global understanding of curriculum teaching learning and assessment
PSN;PSN Psychiatry Neuropsychology Psychopharmacology Psychotherapy Psychoanalysis Behavioral Therapy;
Pacific Journal of Mathematics for Industry;Pacific Journal of Mathematics for Industry Applications of Mathematics Quantitative Finance Mathematical Applications in Computer Science Mathematical Applications in the Physical Sciences Mathematical Modeling and Industrial Mathematics Math Applications in Computer Science;
Paddy and Water Environment;Paddy and Water Environment Agriculture HydrologyWater Resources Hydrogeology GeoecologyNatural Processes Ecotoxicology Soil Science Conservation;The journal Paddy and Water Environment aims to advance the science and technology of water and environmentrelated disciplines in paddyfarming The scope extends broadly to paddyfarming related scientific and technological aspects of agricultural engineering such as irrigation and drainage soil and water conservation land and water resources management irrigation facilities and disaster management paddy multifunctionality agricultural policy regional planning bioenvironmental systems and ecological conservation and restoration in paddy farming regions Paddy and Water Environment is the official journal of the International Society of Paddy and Water Environment Engineering PAWEES httppaweesnet Dedicated to science and technology of water and environmentrelated disciplines in paddyfarming Coverage includes irrigation and drainage soil and water conservation land and water resources management irrigation facilities and disaster management and more Official journal of the International Society of Paddy and Water Environment Engineering PAWEES
Pain and Therapy;Pain and Therapy Internal Medicine Pain Medicine;Pain and Therapy is an international open access peerreviewed rapid publication journal dedicated to the publication of highquality clinical all phases observational realworld and health outcomes research around the discovery development and use of pain therapies and painrelated devices Studies relating to diagnosis pharmacoeconomics public health quality of life and patient care management and education are also encouraged Key features Rapid publication The journal aims for a 2week peer review 34 weeks from acceptance to online Open access All articles published open access CCBYNC Inclusivity All scientifically sound research considered be it positive confirmatory or negative data Research is considered from preclinical clinical phase realworld and health economics outcomes studies Submissions are welcomed whether they relate to an international or a countryspecific audience Personal service The journals team will reformat articles and upload submissions on behalf of authors if necessary Digital Features and Plain Language Summaries These peerreviewed features are welcomed to help enhance the educational value of a manuscript for more information see Author Information Guidelines for digital features and plain language summaries under Submission guidelines For examples of digital features please visit httpsspringerhealthcarecomexpertisepublishingdigitalfeatures Publication fees Upon acceptance of an article authors will be required to pay the mandatory Rapid Service Fee of 550068504700 The journal will consider fee discounts and waivers for developing countries and this is decided on a case by case basis If you would like to request a discount or waiver please do so either ahead of submission or at the very start of the submission process Requests made after this stage will not be considered Contact For more information about the journal including presubmission enquiries please contact Lucy Holt at lucyholtspringercom Research on the discovery development and use of pain therapies and painrelated devices Rapid publication and personal point of contact throughout Maximum visibility with open access
PalZ;PalZ Paleontology;Founded in 1913 PalZ Palontologische Zeitschrift is one of the journals with the longest tradition in the field of palaeontology to be published by a professional palaeontological society the Palontologische Gesellschaft The journal is dedicated to the promotion of palaeontology as a scientific discipline and publishes highquality research and review papers on all aspects of this field
Paladyn;Paladyn Artificial Intelligence Robotics and Automation Behavioral Sciences;
