SEARCH The Journal of the South East Asia Research Centre for Communication and Humanities;SEARCH The Journal of the South East Asia Research Centre for Communication and Humanities Communication Studies;
SERIEs;SERIEs Economics general Economic TheoryQuantitative EconomicsMathematical Methods Economic Policy Microeconomics Public Economics;SERIEs Journal of the Spanish Economic Association is a singleblind peerreviewed open access journal It is the result of a merger between the two most important academic economics journals in Spain Spanish Economic Review SER and Investigaciones Econmicas IE The new journal publishes scientific articles in all areas of economics We welcome both theoretical and empirical papers and place great value on applying high quality standards SERIEs seeks to maintain the reputation gained by its predecessors as the most prominent economics journals in Spain and to become a major internationally recognized journal The journal is receptive to highquality papers on any topic and from any source At the same time as official journal of the Spanish Economic Association SERIEs is very interested in highquality empirical papers about the Spanish and the European economy The publication costs are covered by the Spanish Economic Association so authors do not need to pay an articleprocessing charge The journal operates a singleblind peerreview system where the reviewers are aware of the names and affiliations of the authors but the reviewer reports provided to authors are anonymous Officially cited as SERIEsJournal of the Spanish Economic Association Grew out of a merger between Spanish Economic Review and Investigaciones Econmicas Publishes in all areas of economics High visibility for your work with open access
SICS SoftwareIntensive CyberPhysical Systems;SICS SoftwareIntensive CyberPhysical Systems Computer Science general Computer Hardware Computer Systems Organization and Communication Networks Software EngineeringProgramming and Operating Systems Data Structures and Information Theory Theory of Computation;
SN Applied Sciences;SN Applied Sciences Engineering general Materials Science general Earth Sciences general Applied and Technical Physics ChemistryFood Science general Environment general;SN Applied Sciences is a fully open access journal and indexed in Web of Sciences Emerging Sources Citation Index ESCI SCOPUS Ei Compendex and DOAJ All content published in the journal is published under an open access license and freely available to readers worldwide enabling the widest possible dissemination and reuse SN Applied Sciences is only accepting articles for publication via the immediate OA route Articles in SN Applied Sciences are downloaded 1062 times on average in the first 12 months after publication with a CiteScoreTracker 2022 of 52 Based on article downloads after publication Jan 2020 to Jan 2021 SN Applied Sciences is a multidisciplinary peerreviewed open access journal for the disciplines of Applied Life Sciences Chemistry Earth and Environmental Sciences Engineering Materials Science and Physics It fosters sound scientific discovery to solve practical problems The journal encourages quality scientifically valid original articles which present a good understanding of scientific knowledge experiments and theories methods and techniques as well as interdisciplinary linkages It welcomes research articles review papers case studies and short communications All papers are evaluated on the basis of scientific content Submissions are first screened for research and publication ethics prior to peer review In addition to direct submissions SN Applied Sciences also considers papers that have been referred from Springer Natures prestigious journal portfolio SN Applied Sciences offers Topical Collections designed to consolidate publications of a specific research topic Articles can be either released as direct papers or within a Topical Collection The Journal encourages the submission of videos letters to the Editors opinions and commentaries interviews observations on timely topics and other supplementary electronic materials designed to enhance reader engagement In its commitment to promoting education the journal welcomes submission of articles from students and their mentors Open Access means widest possible dissemination More downloads more exposure more citations for your work No colour charges International interdisciplinary applied science content for a wide readership Sound science discovery to solve practical problems in an innovative way Rapid publication of articles with high visibility Articlelevel metrics to track the impact of your work Opportunities for you or your organization to partner with the Journal and enjoy planning and publishing Topical Collections in hot areas of research The Applied Life Sciences section of SN Applied Sciences aims to publish relevant articles that focus on modern applications of life sciences research in Biological Sciences Chemistry Health Sciences Physics Engineering and Environmental Sciences We are particularly interested in applied research that makes significant scientific and societal contributions across the broad spectrum of life sciences The topics covered in this section include but are not limited to Agriculture and Agronomy Aquatic and Marine Biology Behavioral Sciences Biochemistry Bioengineering Biomaterials Biomedical Sciences Biophysics Biotechnology Cell Biology Ecology Environmental Life Science Evolutionary and Developmental Biology Food Science Forestry Genetics and Genomics Microbiology Plant Sciences Population dynamics Systems Biology and Bioinformatics Zoology and Veterinary Sciences The Earth and Environmental Science section of SN Applied Sciences aims to publish relevant articles and case studies within Earth and Environmental System Sciences We welcome disciplinary papers from the fields of Physical Geography Geology Climate Oceanography and Natural Hazards as well as those with strong interdisciplinary connections from the fields of Geophysics Environmental Chemistry Geochemistry and Environmental Engineering We welcome contributions which demonstrate linkages between natural and anthropogenic processes humanenvironmental interactions and environmental processes and applications The Engineering section provides a forum for various subdisciplines of Engineering Technology eg Bioengineering Applied Engineering Robotics and Control Signal Processing Data Analysis Experiments Computational Mechanics and Fluid Mechanics We are looking for contributions covering theoretical and practical problems associated with Aerospace Engineering Big Data Data Science and Data Analysis Chemical Engineering and Mechanical Engineering Communication Systems Complex Structures Computer Engineering Computing Systems Electrical and Electronics Engineering Electromagnetics Energy Power and Industrial Applications Fluid Mechanics Image Processing and Signal Processing Industrial Technology and Manufacturing Machine Learning Artificial Intelligence and Deep Learning Multiscale Modelling and Multiscale Analysis Optics Structural Integrity and Technologies in Construction Sustainable Inventive Systems The Chemistry and Materials Science section deals with the key research fields of chemistry and material science Among many topics that our section covers we promote the topics relating to the catalysis activation of small molecules electrochemistry and energy materials The following keywords are only few of the key topics in our section Electrocatalysis Click chemistry Heterogeneous and homogeneous catalysis Biochemistry Green synthesis of nanoparticles Energy conversion Biomass Construction materials Photocatalysis Water splitting Fuel cells Inorganic chemistry Analytical chemistry Oxygen reduction reaction Electrolysers Food chemistry The Interdisciplinary section provides a forum for multidisciplinary projects that cover the expertise of experiments numerical modelling and theory to provide a better understanding of key processes It welcomes manuscripts combining or link disciplines of applied sciences and explore theoretical or practical problems The Physics and Materials section of SN Applied Sciences targets the latest development in the Applied Physics area and its intersection with the Material Sciences We encourage topics that generate an interest or are related to global challenges including among others alternative energy sources climate change food and water safety and innovative health Some keywords tha t we are considering are Electronic properties of materials StructureProperty relationship and characterization Superconductivity and Magnetism Spintronics Organic electronics Perovskite Silicon solar cells Biomaterials and health applications Bioelectronics and sensors Applied photochemistry Photonic materials Mechanical properties of materials Thermoelectric materials Nanomaterialsnanoparticles Energy transfer storage and conversion Organic materials doping Batteries Optical properties of materials Alloys and ceramics Applied Biophysics Sustainable development in Material Sciences Covering applied life sciences chemistry engineering materials science and more Fostering sound scientific discovery to solve practical problems in an innovative way Great visibility with open access
SN Business Economics;SN Business Economics Business and Management general Economics general Finance general;SN Business Economics ISSN 26629399 is a multi and interdisciplinary journal serving all areas of Business Management Economics and Finance The journals scope is inclusive it is open to theoretical empirical and policy perspectives and encourages the submission of original research review articles case studies and replication studies SN Business Economics will feature thematic CollectionsSpecial Issues on key research topics edited by recognised experts in the field Submissions are evaluated on their academic rigor and methodological soundness Together with the support of an international Editorial Board we are committed to upholding the highest editorial and ethical standards We strive to provide our authors and readers with a responsive and efficient service and offer them a highly respected home for their research SN Business Economics welcomes research in and between all disciplines in its scope The journal is also particularly interested in studies that address societys grand challenges as defined by the UN Sustainable Development Goals from a business and economic perspective Notes Research arising in the Social Sciences Operations Research Applied Mathematics and Management Science is not in the journals remit Two sister publications are dedicated to these areas SN Social Sciences and SN Operations Research Forum
SN Comprehensive Clinical Medicine;SN Comprehensive Clinical Medicine MedicinePublic Health general;SN Comprehensive Clinical Medicine offers A unified forum for the international medical community to connect research theory and practice Fostering of sound science discovery to advance discussion across all disciplines of clinical medicine Peerreview under the expert guidance of a global established Editorial Board Rapid publication of articles with high visibility No color or page charges SN Comprehensive Clinical Medicine is a peer reviewed journal that publishes original research in all disciplines of clinical medicine and their subspecialties SN CCM aims to provide a global forum for the discussion of all aspects of Imaging Surgical and Medical studies related to diagnosis treatment and management In addition SN CCM serves the international medical community for the dissemination of information connecting research theory and practice in these fields SN Comprehensive Clinical Medicine welcomes submissions from a wide range of medical fields from basic and translational research to clinical studies methodologies health care delivery and curriculum development SN CCM publishes papers in the following categories Original Research Brief Communications Case Reports Commentaries and Reviews All papers are evaluated on the basis of scientific content Submissions are first screened for research and publication ethics prior to singleblind peer review where the reviewers are aware of the names and affiliations of the authors but the reviewer reports provided to authors are anonymous Reviewers are asked to focus on the validity of the data and conclusions presented SN CCM reviews each submission from a sound science perspective In addition to direct submissions SN Comprehensive Clinical Medicine welcomes papers that have been referred from Springer Natures prestigious clinical medicine journal portfolio The journal is open to submissions
SN Computer Science;SN Computer Science Computer Science general Computer Systems Organization and Communication Networks Software EngineeringProgramming and Operating Systems Data Structures and Information Theory Information Systems and Communication Service Computer Imaging Vision Pattern Recognition and Graphics;SN Computer Science is a broadbased peer reviewed journal that publishes original research in all the disciplines of computer science including various interdisciplinary aspects The journal aims to be a global forum of for and by the community and offers Rapid peer review under the expert guidance of a global Editorial Board No color or page charges and free submission High visibility Opportunities to SocietiesConferencesInstitutesLaboratoriesCorporates to partner with the Journal and enjoy the benefit of planning and publishing issues in hot areas of research without being under the pressure of publishing a fullfledge journal SN Computer Science welcomes submissions from a wide range of topics including but not limited to Artificial Intelligence Robotics Machine learning Computer Vision Pattern Recognition Image Processing Computer Graphics HumanComputer Interface Document and Handwriting Processing Video Technologies Biometrics and Computer Forensics Soft Computing Brain Computing Quantum Computing Information Retrieval Internet Computing and Data Mining Theoretical Computer Science Logic Algorithms and Complexity Automated Proofs and Formal Verification Computational Geometry Information Theory Speech and Signal Processing Algorithms and Data Structures Programming Languages Software Engineering Computer Architecture Computer and Communication Networks Computer and Network Performance Modeling and Simulation Energy Consumption and Harvesting Computers Networks Green ICT Computer and Network SecurityPrivacy Cryptography High Performance Computing Parallel Computing and Architecture Distributed and Cloud Computing Social Networks Database Systems and Theory Computers and Networks in Supply Chains and Manufacturing Computers and Networks for Health Systems Computational Biology and Bioinformatics CyberPhysical Systems Internet of Things IoT Mathematical Programming and Combinatorial Optimization Economics and Computation SN Computer Science publishes papers in the following categories Original Research as well as relevant hardware andor software architectures Survey and Review Articles All papers are evaluated on the basis of scientific content Submissions are first screened for research and publication ethics prior to peer review The journal reviews each submission from a sound science perspective In addition to direct submissions SN Computer Science also considers papers that have been referred from Springer Natures prestigious computer science journal portfolio The journal is now open to submissions
SN Social Sciences;SN Social Sciences Social Sciences general Education general Linguistics general Psychology general;SN Social Sciences ISSN 26629283 is a multi and interdisciplinary peerreviewed academic research journal serving the broad Social Sciences community The journals scope is inclusive it is open to theoretical methodological quantitative and qualitative scholarship from all areas within the Social Sciences defined as the academic disciplines concerned with the study of society and the relationships between individuals within societies Submissions are evaluated on their academic rigor and methodological soundness Together with the support of an international Editorial Board we are committed to upholding the highest editorial and ethical standards We strive to provide our authors and readers with a responsive and efficient service and offer them a highly respected home for their research SN Social Sciences publishes Original Papers and Review Papers and also features thematic article CollectionsSpecial Issues on key themes The journal welcomes research in and between the following disciplines Archaeology Anthropology Communication Media Cultural Studies Demography Development Studies Education Ethics Gender Studies Human Geography Labour Studies Language Linguistics Law Criminology Migration Studies Political Science Population Studies Race Ethnic Studies Religion Sociology Social Policy Urban Studies We are particularly interested in research that addresses societys grand challenges as defined by the UN Sustainable Development Goals from social scientific perspectives Enquiries can be submitted to the Editorial Office at snssspringernaturecom Please note that the fields of Business Management Economics and Finance are not within the journals scope since these are served by a sister publication SN Business Economics in addition the fields of Psychology or Public Health are served by Current Psychology and Journal of Public Health Editorial Board To apply to join this journals International Editorial Board please send a cover letter detailing your academic experience as well as a CVresume indicating your publication history Only successful candidates will be contacted For enquiries please contact snssspringernaturecom
Safety in Extreme Environments;Safety in Extreme Environments Environmental Science and Engineering Quality Control Reliability Safety and Risk Offshore Engineering Environmental Health;Provides a special focus to the field safety of human activity in extreme environments Offers a unique platform for research from different disciplines such as engineering natural sciences medicine psychology social sciences and resource development The aim of this international peerreviewed journal is to provide an interdisciplinary platform for safety related aspects of human activity in extreme environments It thereby enables researchers professionals students decision makers and safety responsible from different areas to identify common problems and challenges and helps solving them Extreme environments are often characterized by high or excessive exposure to cold heat pressure vacuum voltage corrosive chemicals particle and electromagnetic radiation shock moisture or contamination Remoteness isolation and extreme working conditions together with a high degree of uncertainty often come along with these conditions Human activities in those extreme environments such as polar regions space deep sea high altitudes and deserts require therefore a special focus on the safety and the risk of such activities It is therefore necessary to stimulate crossdisciplinary research and collaboration to develop new knowledge and share information for safe human activity The journal invites original research reviews short communications and case studies from different disciplines such as engineering natural sciences medicine psychology social sciences and resource development A special focus is given to the field safety of human activity in extreme environment Due to its unique content the journal serves as important source of information for researchers professionals and decision makers in the fields of polar operations space offshore military deep sea and high altitudes CALL FOR PAPERS Special Issue on Environment Health and Safety EHS Management during Natural Resources Development in Extreme Environments A significant portion of human activities in extreme environments are intended to develop natural resources Due to the increasing global energy demand this portion keeps increasing Operators are keen to learn how to progress their operations safely and environmental friendly while regulators are eager to establish proper regulations standards and guidelines to ensure safety and environmental issues are well managed in locations with harsh environments which are often characterized by high or excessive exposure to cold or hot climate pressure flammable or explosive materials corrosive chemicals etc Industrial activities in extreme environments present significant technical and logistical challenges in the engineering design construction and operation of onshore and offshore infrastructure and facilities These locations eg the Arctic and subArctic regions the deserts and underground sites are usually remote and with limited resources available for emergency responses Lack of knowledge and data adds more challenge and uncertainty to the determination of whether engineering specifications are sufficiently defined to ensure the safe and environmentalfriendly operations in harsh conditions Further complications arise as engineering schemes fall increasingly under technological economic environmental and human constraints Intensive and extensive research is needed to provide sufficient knowledge for safety assurance and environmental protection in extreme environments For the aforementioned reasons the special issue aims to consolidate the literature on safety and environmental issues related to natural resources development in extreme environments and provide an overview of the stateofart of these issues and potential solutions This special issue invites original papers dealing with but not limited to the following topics Process safety in extreme environments Occupational safety in extreme environments Human factor challenges in extremes environments Corrosion prevention and control in extreme environments Innovation in data collection and remote monitoring Risk assessment with scarce information New materials for application in extreme environments Environmental management in extreme environments Pollution control and mitigation in extreme environments Modeling of oil spills in cold waters Submission Guidelines Original submissions of highquality contributions are expected Please submit your manuscript as an Original Research Article via httpswwwspringercom42797 and select the special issue Safety Assurance and Environmental ProtectionSAEP in the Additional Information section during the submission process The format of all submissions should follow the specifications described in Guide for Authors of the Journal of Safety in Extreme Environments shown in httpswwwspringercom42797 Papers will be refereed according to the procedures and standards of the journal Each paper will undergo a thorough evaluation by at least two reviewers The authors will have some time to incorporate the comments of the reviewers and submit a revised version of their papers which will be evaluated again by the reviewers to make a final decision Editors Ming Yang Nazarbayev University Kazakhstan mingyangnuedukz Faisal Khan Memorial University of Newfoundland fikhanmunca Timeline and Process Open call for paper Oct 1st 2019 Deadline for full paper submissions March 31 2021 Papers will go through the online submission system and the rigorous peerreview process of the Journal of Safety in Extreme Environments
Safety in Health;Safety in Health Public Health Practice and Hospital Management Health Administration;
