URBAN DESIGN International;;
Ukrainian Mathematical Journal;Ukrainian Mathematical Journal Mathematics general Analysis Applications of Mathematics Geometry Statistics general Algebra;Ukrainian Mathematical Journal publishes articles and brief communications on various areas of pure and applied mathematics and contains sections devoted to scientific information bibliography and reviews of current problems It features contributions from researchers from the Ukrainian Mathematics Institute the major scientific centers of the Ukraine and other countries Ukrainian Mathematical Journal is a translation of the peerreviewed journal Ukrainskyi Matematychnyi Zhurnal a publication of the Institute of Mathematics of the National Academy of Sciences of Ukraine Publishes articles and brief communications on various areas of pure and applied mathematics Contains sections devoted to scientific information criticism bibliography and reviews of current problems Features contributions from researchers from the Ukrainian Mathematics Institute the major scientific centers of the Ukraine and Russia and other countries
United Kingdom Balance of Payments The Pink Book;United Kingdom Balance of Payments The Pink Book Statistics general;
United Kingdom Economic Accounts;United Kingdom Economic Accounts Statistics general;
United Kingdom National Accounts The Blue Book;United Kingdom National Accounts The Blue Book Statistics general;
Universal Access in the Information Society;Universal Access in the Information Society User Interfaces and Human Computer Interaction Computer Communication Networks Information Storage and Retrieval Information Systems Applications incl Internet Computers and Society IT in Business;This journal addresses the accessibility usability and ultimately acceptability of Information Society Technologies by anyone anywhere at anytime and through any media and device Universal Access in the Information Society UAIS focuses on theoretical methodological and empirical research of both a technological and nontechnological nature that addresses equitable access and active participation of potentially all citizens in the information society It features papers that report on theories methods tools empirical results reviews case studies and bestpractice examples The Journals primary objectives are to provide an archival publication channel for the discussion and advancement of theoretical and practical aspects of universal access in the information society facilitate the rapid and wide diffusion of scientific and technological results that promote universal access in the information society stimulate crossfertilization between the different contributing disciplines Addresses the accessibility usability and ultimately acceptability of Information Society Technologies by anyone anywhere at anytime and through any media and device Focuses on theoretical methodological and empirical research of both technological and nontechnological nature Features papers that report on theories methods tools empirical results reviews case studies and bestpractice examples
Unterrichtswissenschaft;Unterrichtswissenschaft Education general Learning and Instruction Teaching and Teacher Education Research Methods in Education;Unterrichtswissenschaft Zeitschrift fr Lernforschung stellt als vierteljhrliche Zeitschrift fr LehrLernForschung die Bereiche Vorschule Schule Studium Beruf und Freizeit in den Mittelpunkt Die Autorinnen und Autoren diskutieren theoretische Anstze stellen deren empirische berprfung vor und fragen nach den Konsequenzen fr die pdagogische Praxis Die Herausgeberinnen und Herausgeber orientieren sich international und beobachten kontinuierlich die Entwicklung der empirischpdagogischen Forschung Die Zeitschrift ist daher unverzichtbar fr Forschende und Studierende in den Bereichen Transferforschung Unterrichtsqualitt und der Fachdidaktik Die Zeitschrift verentlicht doppelblind begutachtete Originalbeitrge bersichtsarbeiten Replikationen sowie theoretische Arbeiten die von zwei qualizierten Gutachterinnen und demder verantwortlichen Herausgeberin zur Annahme empfohlen wurden Jedes Heft beinhaltet einen Themenschwerpunkt sowie einen Allgemeinen Teil mit frei eingereichten Beitrgen in deutscher und englischer Sprache die mit Diskussionsbeitrgen zu hot topics ergnzt werden Wesentliche Themen sind die Transferforschung Unterrichtsqualitt FachdidaktikLehramt Unterrichtswissenschaft hat eine internationale Leserschaft mit einem Schwerpunkt in den deutschsprachigen Lndern Die Zeitschrift gehrt zu den drei meistzitierten deutschsprachigen Zeitschriften wie eine Cited Reference Search im Web of Science PsychInfo and Harzings Publish or Perish 19992010 ergab Etwa 50 der Zitationen im Web of Science entstammen aus englischsprachigen Publikationen
Updates in Surgery;Updates in Surgery Surgery;UPDATES in Surgery UPIS is an international journal dedicated to the art of surgical sciences It provides a valuable synopsis of the most noteworthy developments in surgical techniques In addition to its focus on general surgery the journal places special attention on cutting edge topics and emerging surgical fields as well as monothematic issues guest edited by wellknown experts The journal regularly publishes editorials systematic reviews original articles technical notes and Letters to the Editor UPIS is the official journal of the Italian Society of Surgery and presents the best of Italian surgical works in continuous collaboration with the international surgical community The main purpose of the journal is to encourage a rigorous debate and a continuous refinement of the standards of care In addition UPIS accepted articles are published online within two weeks of acceptance UPIS articles are peer reviewed by at least two renowned surgeons who are experts in their field UPIS articles benefit from an online platform that encourages article sharing and posting on social media We encourage you to follow UPIS on Twitter UpdatesSurgery httpstwittercomUpdatesSurgery Provide valuable updates on the most recent developments of surgical techniques Forces the community of surgeons to a rigorous debate and a continuous refinement of the standards of care Online publication within 2 weeks after acceptance
Urban Ecosystems;Urban Ecosystems Urban Ecology Environmental Management Ecology Nature Conservation;Call for editorial board members We are looking for experienced ecologists who are highly motivated in advancing the publication of research in urban ecosystems to join our team See Journal Updates Offers scientific investigation of the ecology of urban environments Examines interactions between urban ecosystems and associated suburban and rural environments Multidisciplinary touches on many fields Urban Ecosystems is an international journal devoted to scientific investigations of urban environments and the relationships between socioeconomic and ecological structures and processes in urban environments The scope of the journal is broad including interactions between urban ecosystems and associated suburban and rural environments Contributions may span a range of specific subject areas as they may apply to urban environments biodiversity biogeochemistry conservation biology wildlife and fisheries management ecosystem ecology ecosystem services environmental chemistry hydrology landscape architecture meteorology and climate policy population biology social and human ecology soil science and urban planning
Urban Forum;Urban Forum Human Geography LandscapeRegional and Urban Planning Population Economics Political Science Sociology general;This journal publishes papers which engage broadly with urban processes developments challenges politics and people providing a distinctive African focus on these themes Topics covered variously engage with the dynamics of governance everyday urban life economies and environments The journal uses empirical data to reinforce and refine theoretical developments in urban studies draws on the specificities of the African context and opens up geographically diverse conversations on African cities Urban Forum welcomes papers that provide rich evidence from African cities and in doing so builds debate and theory that often remains peripheral to urban scholarship The journal is open to research based on a range of methodologies but prioritizes qualitative analysis and interpretation With this mix research in Urban Forum demonstrates the ordinary and the exceptional nature of urbanization in African cities Addresses urbanization and development with a distinctive African focus Uses empirical data to reinforce and refine theoretical developments in urban studies Discusses African cities on their own terms thereby responding to research issues which are particularly relevant to these contexts
Urban Informatics;Urban Informatics Geographical Information SystemsCartography LandscapeRegional and Urban Planning Computer Appl in Social and Behavioral Sciences;Urban Informatics UI is an international openaccess peerreviewed journal of the International Society for Urban Informatics ISUI and is published online by Springer The journal aims to introduce cuttingedge researches that leverage emerging technologies and data in the context of urban environments tackle the relationships among people place and technologies in cities and advance the science of cities This journal will focus on theories technologies and models for urban research to provide solutions to various urban problems 1st journal specifically focusing on urban informatics with multidisciplinary coverage International Editorial Board spans the breadth of the coverage of the journal An open access journal with APC covered by the International Society for Urban Informatics
