VOLUNTAS International Journal of Voluntary and Nonprofit Organizations;VOLUNTAS International Journal of Voluntary and Nonprofit Organizations Social Sciences general Political Science Social Policy;Voluntas the official journal of the International Society for ThirdSector Research ISTR is an interdisciplinary journal that provides a central forum for worldwide research in the area between the state market and household sectors The journal publishes fulllength articles and book reviews Voluntas is essential reading for all those engaged in research on the Third Sector voluntary and nonprofit organizations including economists lawyers political scientists psychologists sociologists and social and public policy analysts It presents leadingedge academic argument around civil society issues in a style that is accessible to practitioners and policymakers 2Year Impact Factor 2794 2021 5Year Impact Factor 2930 2021 16 out of 44 on the Social Issues list SCImago Journal and Country Rank SJR 2021 0837 93 out of 434 Business and International Management list 122 out of 472 Strategy and Management list 112 out of 756 Geography Planning and Development list 38 out of 177 Public Administration list 189 out of 1327 Sociology and Political Science list SJR is a measure of the journals relative impact in its field based on its number of citations and number of articles per publication year Source Normalised Impact per Paper SNIP 2021 1622 The SNIP measures contextual citation impact by weighting citations based on the total number of citations in a subject field The impact of a single citation is given higher value in subject areas where citations are less likely and vice versa CiteScore 2021 36 Voluntas is committed to the principles enshrined in Springer Natures Diversity Equity and Inclusion DEI strategy An international forum for research in the areas between state market and household sectors Presents leadingedge academic argument around civil society issues Offers a style that is accessible to practitioners and policymakers Official journal of the International Society for ThirdSector Research ISTR Voluntas has a grade of B from the German Association for Business Research For more information visit wwwvhbde and click on Service
Vakblad Sociaal Werk;Vakblad Sociaal Werk Sociology of Family Youth and Aging;Vakblad Sociaal Werk voorheen Maatwerk is ht medium voor het verspreiden van vakinhoudelijke kennis over het ambacht sociaal werk Het vakblad behandelt alle facetten van het sociaal werk Het signaleert analyseert rapporteert en informeert En presenteert leerzame ervaringen uit de diverse werkvelden waarin maatschappelijk werkers jeugdzorgwerkers en sociaal agogen zich bevinden De ontwikkelingen en veranderingen in de samenleving worden nauwgezet gevolgd Daarnaast gaat het uitgebreid in op de kwaliteit van het sociaal werk en is het een forum voor uitwisseling van opvattingen en visies Ook bevat het blad boekbesprekingen en aankondigingen van symposia Leden van de beroepsvereniging BPSW ontvangen Vakblad Sociaal Werk uit hoofde van hun lidmaatschap
Vascular Cell;Vascular Cell Angiology Cardiology Cancer Research Cell Biology Developmental Biology;
Vegetation History and Archaeobotany;Vegetation History and Archaeobotany Paleontology Biogeosciences Climate Change Anthropology Archaeology;Vegetation History and Archaeobotany publishes research papers review articles and short contributions of high quality from Europe the Americas and around the world It covers the entire field of vegetation history exploring the development of flora and vegetation during the Holocene and also the Pleistocene era and includes related subjects such as palaeoecology The journal places interest on human impact upon the natural environment in prehistoric and medieval times This is reflected in pollen diagrams as well as in plant macroremains from archaeological contexts Recent topics have included vegetation fire and climate dynamics as indicated by pollen and charcoal analysis preliminary results from a dendroecological study of a subfossil pine woodland in NW Germany the significance of low pollen accumulation rates in estimation tree population and more The EditorinChief is Felix Bittmann Niederschsisches Insitut fr historische Kstenforschung Wilhelmshaven Germany
Vegetos;Vegetos Plant Physiology Plant BreedingBiotechnology Plant AnatomyDevelopment;VEGETOS An International Journal of Plant Research Biotechnology is a multidisciplinary quarterly peer reviewed journal focused on the dissemination of researches being done for conservation of plant biodiversity climate environment sustainable agriculture health and postharvest food processing by using latest technological tools like plant biotechnology nanotechnology etc The journal will cover research in the field of Plant Sciences Biofuel Marine Biology Environment Microbiology Biotechnology Biochemistry and Agriculture Sciences in global perspective The journal will address the issues like phytoremediation organic cultivation of food vegetable and medicinal plants biodegradation stress physiology molecular biology transgenic climate change algae based biofuels traditional medicine flora and its multiplication etc
Verslaving;Verslaving Psychiatry Social Sciences general;
Vestnik St Petersburg University Mathematics;Vestnik St Petersburg University Mathematics Analysis;Vestnik St Petersburg University Mathematics is an international peerreviewed journal publishes original contributions in all areas of fundamental and applied mathematics Articles of the journal cover the major areas of fundamental and applied mathematics The following are the main subject headings Mathematical Analysis Higher Algebra and Numbers Theory Higher Geometry Differential Equations Mathematical Physics Computational Mathematics and Numerical Analysis Statistical Simulation Theoretical Cybernetics Game Theory Operations Research Theory of Probability and Mathematical Statistics and Mathematical Problems of Mechanics and Astronomy The journal welcomes manuscripts from all countries PEER REVIEW Vestnik St Petersburg University Mathematics is a peer reviewed journal We use a single blind peer review format The average rejection rate for submitted manuscripts is 30 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge The prime outlet for the findings of scientists from the Faculty of Mathematics and Mechanics of St Petersburg State University Features articles that cover the major areas of fundamental and applied mathematics
Veterinary Research;Veterinary Research Veterinary MedicineVeterinary Science Virology Microbiology Immunology;
Veterinary Research Communications;Veterinary Research Communications Zoology Veterinary MedicineVeterinary Science;Veterinary Research Communications publishes fully refereed research articles and topical reviews on all aspects of the veterinary sciences The journal presents interdisciplinary articles and well argued reviews even if they are somewhat controversial The journal offers an appropriate medium in which to publish new methods newly described diseases and new pathological findings as these are applied to animals As it deliberately seeks a wide coverage Veterinary Research Communications provides its readers with a means of keeping abreast of current developments in the entire field of veterinary science Offers research articles and topical reviews on all aspects of the veterinary sciences A forum for new methods newly described diseases and new pathological findings as these are applied to animals Helps readers keep abreast of current developments in the entire field of veterinary science
Video Journal of Education and Pedagogy;Video Journal of Education and Pedagogy Learning and Instruction Teaching and Teacher Education Methodology of the Social Sciences Education general;
