journal_title|article_title|article_link
BHM Berg- und Hüttenmännische Monatshefte|Critical Issues of Ore Flow for the Raise Caving Method|https://link.springer.com/article/10.1007/s00501-023-01358-z
BHM Berg- und Hüttenmännische Monatshefte|Functional Prototype for the Validation of the Innovative Metal Additive Manufacturing SLEDM Process|https://link.springer.com/article/10.1007/s00501-023-01352-5
BHM Berg- und Hüttenmännische Monatshefte|Influence of Laser Power and Scan Speed on the Formation of Hot Cracks during the Processing of High-speed Steel HS2-2-2 by Laser Powder Bed Fusion|https://link.springer.com/article/10.1007/s00501-023-01353-4
BHM Berg- und Hüttenmännische Monatshefte|High Temperature Tensile Strength of TI6AL4V Processed by L-PBF—Influence of Microstructure and Heat Treatment|https://link.springer.com/article/10.1007/s00501-023-01346-3
BHM Berg- und Hüttenmännische Monatshefte|Sublevel Shrinkage (SLSh) Mining—A State-of-the-art Review|https://link.springer.com/article/10.1007/s00501-023-01354-3
BHM Berg- und Hüttenmännische Monatshefte|New Calculation Software for Analytic Support Structure Optimization in Metal Additive Manufacturing|https://link.springer.com/article/10.1007/s00501-023-01350-7
BHM Berg- und Hüttenmännische Monatshefte|Novel Process Approach for Additive Manufacturing Using Inductive Wire Melting by Forced Droplet Detachment|https://link.springer.com/article/10.1007/s00501-023-01344-5
BHM Berg- und Hüttenmännische Monatshefte|Zementmahlung – Stand der Technik und Trends für die Zukunft|https://link.springer.com/article/10.1007/s00501-023-01343-6
BHM Berg- und Hüttenmännische Monatshefte|Digital Process Monitoring of Stationary Processing Equipment—A Step Toward an Optimized Digital Processing Plant|https://link.springer.com/article/10.1007/s00501-023-01339-2
BHM Berg- und Hüttenmännische Monatshefte|Citric Acid Leaching of Industrial BOF Slags|https://link.springer.com/article/10.1007/s00501-023-01341-8
BHM Berg- und Hüttenmännische Monatshefte|Sensorgestützte Sortierung|https://link.springer.com/article/10.1007/s00501-023-01349-0
BHM Berg- und Hüttenmännische Monatshefte|Optimierung einer Siebanlage mittels Mehrkörpersimulation – Status quo und Ausblick|https://link.springer.com/article/10.1007/s00501-023-01335-6
BHM Berg- und Hüttenmännische Monatshefte|Quenching for the Future—In Memoriam of Sören Segerberg|https://link.springer.com/article/10.1007/s00501-023-01330-x
BHM Berg- und Hüttenmännische Monatshefte|Monitoringsystem für Gurtbandförderer – Auswertungsmöglichkeiten|https://link.springer.com/article/10.1007/s00501-023-01320-z
BHM Berg- und Hüttenmännische Monatshefte|The Dump is the Target—A Reversed Mine Plan|https://link.springer.com/article/10.1007/s00501-022-01316-1
BHM Berg- und Hüttenmännische Monatshefte|Implementierung eines Notfallmanagements auf Tunnelbaustellen|https://link.springer.com/article/10.1007/s00501-023-01319-6
BHM Berg- und Hüttenmännische Monatshefte|Solid State Material Driven Turbine to Reduce Segregation during Bunker Filling|https://link.springer.com/article/10.1007/s00501-022-01311-6
BHM Berg- und Hüttenmännische Monatshefte|Beitrag der universitären Ausbildung und Forschung zur Reduktion der Unfallzahlen im Bergbau|https://link.springer.com/article/10.1007/s00501-023-01323-w
BHM Berg- und Hüttenmännische Monatshefte|Bergbaukunde, quo vadis?|https://link.springer.com/article/10.1007/s00501-023-01322-x
BHM Berg- und Hüttenmännische Monatshefte|Status of the H2020-ROBOMINERS Prototype|https://link.springer.com/article/10.1007/s00501-023-01318-7
BHM Berg- und Hüttenmännische Monatshefte|Ein Kupferbeil aus der frühen Kupferzeit vom Heuberg bei Ohlstadt, Deutschland|https://link.springer.com/article/10.1007/s00501-022-01310-7
BHM Berg- und Hüttenmännische Monatshefte|(In Situ) Determination of Hydrogen Entry into Galvanized Dual-phase Steel During Corrosive Exposure|https://link.springer.com/article/10.1007/s00501-022-01314-3
BHM Berg- und Hüttenmännische Monatshefte|Einfluss der Beimpfung auf die Filiformkorrosionsprüfung|https://link.springer.com/article/10.1007/s00501-022-01306-3
BHM Berg- und Hüttenmännische Monatshefte|Corrosion Simulations for Automotive Applications|https://link.springer.com/article/10.1007/s00501-022-01309-0
BHM Berg- und Hüttenmännische Monatshefte|IRON NIKE Forschungstätigkeiten 2022 am Zentrum am Berg|https://link.springer.com/article/10.1007/s00501-022-01302-7
BHM Berg- und Hüttenmännische Monatshefte|Mineral Raw Material Supply Chain Transparency and Traceability: Does Provenance Matter in the Supply Chain?|https://link.springer.com/article/10.1007/s00501-022-01274-8
BHM Berg- und Hüttenmännische Monatshefte|Interdisziplinäre Weiterbildung für Einsätze im urbanen Umfeld|https://link.springer.com/article/10.1007/s00501-022-01305-4
BHM Berg- und Hüttenmännische Monatshefte|Identifizierung Geologischer Strukturen Anhand von Measurement-while-drilling Daten zur Unterstützung im Entscheidungsprozess von Injektionen (Forschungsprojekt AVANT)|https://link.springer.com/article/10.1007/s00501-022-01300-9
BHM Berg- und Hüttenmännische Monatshefte|Strömungstechnischer Funktionsnachweis für Verschlussbauwerke|https://link.springer.com/article/10.1007/s00501-022-01284-6
