journal_title|article_title|article_link
NETNOMICS: Economic Research and Electronic Networking|Market interaction structure and equilibrium price heterogeneity in monopolistic competition|https://link.springer.com/article/10.1007/s11066-022-09155-5
NETNOMICS: Economic Research and Electronic Networking|Unobserved preferences and dynamic platform pricing under positive network externality|https://link.springer.com/article/10.1007/s11066-020-09140-w
NETNOMICS: Economic Research and Electronic Networking|BidPacket: trading bandwidth in public spaces|https://link.springer.com/article/10.1007/s11066-016-9109-z
NETNOMICS: Economic Research and Electronic Networking|Value of digital information networks: a holonic framework|https://link.springer.com/article/10.1007/s11066-011-9057-6
NETNOMICS: Economic Research and Electronic Networking|Asymmetric competition and collection rates differentials: determinants of prices in international telephone service markets|https://link.springer.com/article/10.1007/s11066-009-9042-5
NETNOMICS: Economic Research and Electronic Networking|New approaches in transportation planning: happiness and transport economics|https://link.springer.com/article/10.1007/s11066-009-9037-2
NETNOMICS: Economic Research and Electronic Networking|Adoption rate forecasts and rollout strategies|https://link.springer.com/article/10.1007/s11066-008-9014-1
NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin|“We Witches.” Knowledge Wars, Experience and Spirituality in the Women’s Movement During the 1970s|https://link.springer.com/article/10.1007/s00048-023-00359-w
NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin|Über Geschmack lässt sich nicht streiten?|https://link.springer.com/article/10.1007/s00048-023-00358-x
NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin|Technopolitical Construction of a River Basin: Turkey’s Encounters and Adventures with the “TVA Idea”|https://link.springer.com/article/10.1007/s00048-023-00357-y
NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin|Coreen McGuire 2020: Measuring difference, numbering normal. Setting the standards for disability in the interwar period und Jaipreet Virdi 2020: Hearing Happiness. Deafness Cures in History.|https://link.springer.com/article/10.1007/s00048-021-00321-8
NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin|Die materielle Kultur der Alchemie oder Wie sich wissenschaftsgeschichtliche Replikationen und buchwissenschaftliche Analysen ergänzen|https://link.springer.com/article/10.1007/s00048-022-00337-8
NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin|Heinrich Wieleitner (1874–1931) und Die Geburt der modernen Mathematik – Wissenschaftskommunikation und Mathematikgeschichtsschreibung in der Weimarer Zeit|https://link.springer.com/article/10.1007/s00048-022-00356-5
NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin|Commenting on Aristotle with a Knife|https://link.springer.com/article/10.1007/s00048-022-00354-7
NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin|Gegenwissen. Die Neuen Sozialen Bewegungen in der Bundesrepublik und die Grundlagen ihrer Wirkung|https://link.springer.com/article/10.1007/s00048-022-00349-4
NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin|„Die ungeklärten Gefahrenpotentiale der Gentechnologie“. Öffentliche Wissenschaft, Inszenierungsstrategien und Rhetorik der Objektivität im Kontext der bundesdeutschen Gentechnologie-Debatte|https://link.springer.com/article/10.1007/s00048-022-00346-7
NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin|Zeitlichkeit des Gegenwissens in der Ökologischen Landbau-Szene der Bundesrepublik (1970–1999): aus Alt mach Neu!|https://link.springer.com/article/10.1007/s00048-022-00351-w
NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin|Ronald D. Laings „radical trip“. Zum Verhältnis von Psychiatrie, Anti-Psychiatrie und Wissenschaft in den 1960er Jahren|https://link.springer.com/article/10.1007/s00048-022-00347-6
NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin|Gründerzeit. Hightech und Alternativen der Wissenschaft in West-Berlin|https://link.springer.com/article/10.1007/s00048-022-00352-9
