journal_title|article_title|article_link
OPSEARCH|Deriving priority vector from pairwise comparisons matrix with fuzzy elements by solving optimization problem|https://link.springer.com/article/10.1007/s12597-023-00641-4
OPSEARCH|Heuristics for the shelf space allocation problem|https://link.springer.com/article/10.1007/s12597-023-00636-1
OPSEARCH|Multi-objective model for perishable food logistics networks design considering availability and access|https://link.springer.com/article/10.1007/s12597-022-00594-0
OPSEARCH|Implementing fries model for the fixed lifetime inventory system|https://link.springer.com/article/10.1007/s12597-019-00403-1
OR Spectrum|Two-stage stochastic formulation for relief operations with multiple agencies in simultaneous disasters|https://link.springer.com/article/10.1007/s00291-023-00705-3
OR Spectrum|The parcel hub scheduling problem with limited conveyor capacity and controllable unloading speeds|https://link.springer.com/article/10.1007/s00291-022-00702-y
OR Spectrum|Estimating market power under a nonparametric analysis: evidence from the Chinese real estate sector|https://link.springer.com/article/10.1007/s00291-022-00691-y
OR Spectrum|Practicable robust stochastic optimization under divergence measures with an application to equitable humanitarian response planning|https://link.springer.com/article/10.1007/s00291-023-00724-0
OR Spectrum|Dual sourcing inventory management with nonconsecutive lead times from a supply chain perspective: a numerical study|https://link.springer.com/article/10.1007/s00291-023-00720-4
OR Spectrum|One-stage product-line design heuristics: an empirical comparison|https://link.springer.com/article/10.1007/s00291-023-00716-0
OR Spectrum|In-line kitting for part feeding of assembly lines: workload balancing and storage assignment to reduce the workers’ walking effort|https://link.springer.com/article/10.1007/s00291-023-00723-1
OR Spectrum|Mean-Variance-VaR portfolios: MIQP formulation and performance analysis|https://link.springer.com/article/10.1007/s00291-023-00719-x
OR Spectrum|The impact of corporate sustainability performance on advertising efficiency|https://link.springer.com/article/10.1007/s00291-023-00717-z
OR Spectrum|Data-driven customer acceptance for attended home delivery|https://link.springer.com/article/10.1007/s00291-023-00712-4
OR Spectrum|Minimizing total weighted latency in home healthcare routing and scheduling with patient prioritization|https://link.springer.com/article/10.1007/s00291-023-00713-3
OR Spectrum|Outlier detection in network revenue management|https://link.springer.com/article/10.1007/s00291-023-00714-2
OR Spectrum|Multitrip vehicle routing with delivery options: a data-driven application to the parcel industry|https://link.springer.com/article/10.1007/s00291-023-00710-6
OR Spectrum|A classification scheme for local energy trading|https://link.springer.com/article/10.1007/s00291-022-00697-6
OR Spectrum|Cost-neutral reduction of infection risk in picker-to-parts warehousing systems|https://link.springer.com/article/10.1007/s00291-022-00695-8
OR Spectrum|Machine learning techniques for cross-sectional equity returns’ prediction|https://link.springer.com/article/10.1007/s00291-022-00693-w
OR Spectrum|Intraday power trading: toward an arms race in weather forecasting?|https://link.springer.com/article/10.1007/s00291-022-00698-5
OR Spectrum|Heterogeneities among credit risk parameter distributions: the modality defines the best estimation method|https://link.springer.com/article/10.1007/s00291-022-00689-6
OR Spectrum|Price of anarchy for parallel link networks with generalized mean objective|https://link.springer.com/article/10.1007/s00291-022-00696-7
OR Spectrum|Cost minimizing planning of container inspection and repair in multiple facilities|https://link.springer.com/article/10.1007/s00291-022-00699-4
OR Spectrum|A lexicographic maximin approach to the selective assessment routing problem|https://link.springer.com/article/10.1007/s00291-022-00687-8
OR Spectrum|Two-step Shapley-solidarity value for cooperative games with coalition structure|https://link.springer.com/article/10.1007/s00291-022-00694-9
OR Spectrum|Sequential claim games|https://link.springer.com/article/10.1007/s00291-023-00711-5
OR Spectrum|Inventory management with advance demand information and flexible shipment consolidation|https://link.springer.com/article/10.1007/s00291-022-00686-9
OR Spectrum|Relevance of dynamic variables in multicategory choice models|https://link.springer.com/article/10.1007/s00291-022-00690-z
OR Spectrum|How to design a multi-stage tournament when some results are carried over?|https://link.springer.com/article/10.1007/s00291-022-00671-2
OR Spectrum|Minimizing setups and waste when printing labels of consumer goods|https://link.springer.com/article/10.1007/s00291-021-00661-w
OR Spectrum|Integrated zone picking and vehicle routing operations with restricted intermediate storage|https://link.springer.com/article/10.1007/s00291-021-00664-7
OR Spectrum|Derivatives of feed-forward neural networks and their application in real-time market risk management|https://link.springer.com/article/10.1007/s00291-022-00672-1
OR Spectrum|Generating greenhouse gas cutting incentives when allocating carbon dioxide emissions to shipments in road freight transportation|https://link.springer.com/article/10.1007/s00291-022-00675-y
OR Spectrum|Optimal chance-constrained pension fund management through dynamic stochastic control|https://link.springer.com/article/10.1007/s00291-022-00673-0
OR Spectrum|Dynamic service area sizing in urban delivery|https://link.springer.com/article/10.1007/s00291-022-00666-z
OR Spectrum|Live shopping promotions: which categories should a retailer discount to shoppers already in the store?|https://link.springer.com/article/10.1007/s00291-022-00685-w
OR Spectrum|Multi-criteria optimization in industry|https://link.springer.com/article/10.1007/s00291-022-00679-8
OR Spectrum|New solution procedures for the order picker routing problem in U-shaped pick areas with a movable depot|https://link.springer.com/article/10.1007/s00291-021-00663-8
OR Spectrum|A partition-based branch-and-bound algorithm for the project duration problem with partially renewable resources and general temporal constraints|https://link.springer.com/article/10.1007/s00291-021-00654-9
OR Spectrum|A branch-and-Benders-cut algorithm for a bi-objective stochastic facility location problem|https://link.springer.com/article/10.1007/s00291-020-00616-7
OR Spectrum|The bi-objective multimodal car-sharing problem|https://link.springer.com/article/10.1007/s00291-021-00631-2
OR Spectrum|Multicriteria asset allocation in practice|https://link.springer.com/article/10.1007/s00291-021-00641-0
OR Spectrum|Analysis of semi-open queueing networks using lost customers approximation with an application to robotic mobile fulfilment systems|https://link.springer.com/article/10.1007/s00291-021-00662-9
OR Spectrum|Bin packing with lexicographic objectives for loading weight- and volume-constrained trucks in a direct-shipping system|https://link.springer.com/article/10.1007/s00291-021-00628-x
OR Spectrum|Stochastic mixed model sequencing with multiple stations using reinforcement learning and probability quantiles|https://link.springer.com/article/10.1007/s00291-021-00652-x
OR Spectrum|Optimization of capacity expansion in potential-driven networks including multiple looping: a comparison of modelling approaches|https://link.springer.com/article/10.1007/s00291-021-00648-7
OR Spectrum|Optimal bidding functions for renewable energies in sequential electricity markets|https://link.springer.com/article/10.1007/s00291-021-00646-9
OR Spectrum|An ALNS algorithm for the static dial-a-ride problem with ride and waiting time minimization|https://link.springer.com/article/10.1007/s00291-021-00656-7
