journal_title|article_title|article_link
PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science|VOX2BIM+ - A Fast and Robust Approach for Automated Indoor Point Cloud Segmentation and Building Model Generation|https://link.springer.com/article/10.1007/s41064-023-00243-1
PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science|Automation Strategies for the Photogrammetric Reconstruction of Pipelines|https://link.springer.com/article/10.1007/s41064-023-00244-0
PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science|Semantic Real-Time Mapping with UAVs|https://link.springer.com/article/10.1007/s41064-023-00242-2
PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science|A Globally Applicable Method for NDVI Estimation from Sentinel-1 SAR Backscatter Using a Deep Neural Network and the SEN12TP Dataset|https://link.springer.com/article/10.1007/s41064-023-00238-y
PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science|Uncovering Early Traces of Bark Beetle Induced Forest Stress via Semantically Enriched Sentinel-2 Data and Spectral Indices|https://link.springer.com/article/10.1007/s41064-023-00240-4
PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science|Automatic Detection of Specific Constructions on a Large Scale Using Deep Learning in Very High Resolution Airborne Imagery|https://link.springer.com/article/10.1007/s41064-023-00237-z
PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science|Editorial|https://link.springer.com/article/10.1007/s41064-023-00241-3
PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science|Application of UAS-Based Remote Sensing in Estimating Winter Wheat Phenotypic Traits and Yield During the Growing Season|https://link.springer.com/article/10.1007/s41064-022-00229-5
PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science|Assessment of TanDEM-X DEM 2020 Data in Temperate and Boreal Forests and Their Application to Canopy Height Change|https://link.springer.com/article/10.1007/s41064-023-00235-1
PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science|Multi-temporal UAV Imaging-Based Mapping of Chlorophyll Content in Potato Crop|https://link.springer.com/article/10.1007/s41064-022-00218-8
PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science|Optimised U-Net for Land Use–Land Cover Classification Using Aerial Photography|https://link.springer.com/article/10.1007/s41064-023-00233-3
