journal_title|article_title|article_link
Qualitative Sociology|Privileged but not in Power: How Asian American Tech Workers use Racial Strategies to Deflect and Confront Race and Racism|https://link.springer.com/article/10.1007/s11133-022-09527-1
Qualitative Sociology|“Horrible Slime Stories” When Serving Victims: The Labor of Role-taking and Secondary Trauma Exposure|https://link.springer.com/article/10.1007/s11133-022-09528-0
Qualitative Sociology|“Welcome to the Revolution”: Promoting Generational Renewal in Argentina’s Ni Una Menos|https://link.springer.com/article/10.1007/s11133-023-09530-0
Qualitative Sociology|“It’s the Seeing and Feeling”: How Embodied and Conceptual Knowledges Relate in Pipeline Engineering Work|https://link.springer.com/article/10.1007/s11133-022-09520-8
Qualitative Sociology|Code Ethnography and the Materiality of Power in Internet Governance|https://link.springer.com/article/10.1007/s11133-022-09517-3
Qualitative Sociology|Diagnosis as Subculture: Subversions of Health and Medical Knowledges in the Orthorexia Recovery Community on Instagram|https://link.springer.com/article/10.1007/s11133-022-09518-2
Qualitative Sociology|Latency and Crisis: Mutual Aid Activism in the Covid-19 Pandemic|https://link.springer.com/article/10.1007/s11133-022-09513-7
Qualitative Sociology|‘It Isn't Charity because We've Paid into it’: Social Citizenship and the Moral Economy of Welfare Recipients in the Wake of 2012 UK Welfare Reform Act|https://link.springer.com/article/10.1007/s11133-021-09505-z
Qualitative Sociology|What is Qualitative in Research|https://link.springer.com/article/10.1007/s11133-021-09497-w
Qualitative Sociology|Anarchy’s Neighborhoods: the Formation of a Quadriplex Urban Ecology|https://link.springer.com/article/10.1007/s11133-021-09474-3
Qualitative Sociology|Textbooks, Postcards, and the Public Consolidation of Nationalism in Latin America|https://link.springer.com/article/10.1007/s11133-020-09467-8
Qualitative Sociology|The Archives Made Me Do It|https://link.springer.com/article/10.1007/s11133-020-09459-8
Qualitative Sociology|GangstaLife: Fusing Urban Ethnography with Netnography in Gang Studies|https://link.springer.com/article/10.1007/s11133-020-09445-0
Qualitative Sociology|Striving for Consensus: How Panels Evaluate Artistic Productions|https://link.springer.com/article/10.1007/s11133-019-09439-7
Qualitative Sociology|“For a Younger Crowd”: Place, Belonging, and Exclusion among Older Adults Facing Neighborhood Change|https://link.springer.com/article/10.1007/s11133-019-09441-z
Qualitative Sociology|Verbalizing Sensations: Making Sense of Embodied Sexual Experiences|https://link.springer.com/article/10.1007/s11133-019-09426-y
Qualitative Sociology|The Vicious Cycle in the Bolsa Família Program’s Implementation: Discretionality and the Challenge of Social Rights Consolidation in Brazil|https://link.springer.com/article/10.1007/s11133-019-09429-9
Qualitative Sociology|What is Qualitative in Qualitative Research|https://link.springer.com/article/10.1007/s11133-019-9413-7
Qualitative Sociology|Analyzing the Role of Women in Italian Mafias: the Case of the Neapolitan Camorra|https://link.springer.com/article/10.1007/s11133-018-9389-8
Qualitative Sociology|Vicarious Group Trauma among British Jews|https://link.springer.com/article/10.1007/s11133-016-9337-4
Qualitative Sociology|Silencing to Give Voice: Backstage Preparations in the Undocumented Youth Movement in Los Angeles|https://link.springer.com/article/10.1007/s11133-016-9333-8
Qualitative Sociology|Debating the Burqa in France: the Antipolitics of Islamic Revival|https://link.springer.com/article/10.1007/s11133-011-9192-2
Qualitative Sociology|A Galilean Moment in Social Theory? Language, Culture and their Emergent Properties|https://link.springer.com/article/10.1007/s11133-010-9180-y
Qualitative Sociology|“This Ain’t My School!” Criminality, Control, and Contradictions in Institutional Responses to School Truancy|https://link.springer.com/article/10.1007/s11133-010-9181-x
Qualitative Sociology|Caged Morality: Moral Worlds, Subculture, and Stratification Among Middle-Class Cage-Fighters|https://link.springer.com/article/10.1007/s11133-010-9175-8
Qualitative Sociology|The Problem of Embodiment in the Sociology of Knowledge: Afterword to the Special Issue on Knowledge in Practice|https://link.springer.com/article/10.1007/s11133-010-9173-x
Qualitative Sociology|“Public Policy is Like Having a Vaudeville Act”: Languages of Duty and Difference among Think Tank-Affiliated Policy Experts|https://link.springer.com/article/10.1007/s11133-010-9166-9
Qualitative Sociology|Beyond the Head: The Practical Work of Curating Contemporary Art|https://link.springer.com/article/10.1007/s11133-010-9164-y
Qualitative Sociology|Producing Precarity: The Temporary Staffing Agency in the Labor Market|https://link.springer.com/article/10.1007/s11133-010-9149-x
Qualitative Sociology|Importing Western Childhoods into a Chinese State-Run Orphanage|https://link.springer.com/article/10.1007/s11133-010-9151-3
Qualitative Sociology|Creating Community: Latina Nannies in a West Los Angeles Park|https://link.springer.com/article/10.1007/s11133-009-9129-1
Qualitative Sociology|“They’re Coming to America”: Immigration, Settlement, and Citizenship|https://link.springer.com/article/10.1007/s11133-009-9127-3
Qualitative Theory of Dynamical Systems|SIR Model with Vaccination: Bifurcation Analysis|https://link.springer.com/article/10.1007/s12346-023-00802-2
Qualitative Theory of Dynamical Systems|Existence of Solutions to Nonlinear Fourth-Order Beam Equation|https://link.springer.com/article/10.1007/s12346-023-00789-w
Qualitative Theory of Dynamical Systems|Phenomenology of an In-host Model of Hepatitis C|https://link.springer.com/article/10.1007/s12346-023-00790-3
Qualitative Theory of Dynamical Systems|Uncountable Family of 0-Rigid Continua that are Homeomorphic to Their Inverse Limits|https://link.springer.com/article/10.1007/s12346-023-00777-0
Qualitative Theory of Dynamical Systems|On Local and Nonlocal Discrete p-Laplacian Equations via Clark’s Theorem|https://link.springer.com/article/10.1007/s12346-023-00767-2
Qualitative Theory of Dynamical Systems|Strong Pairs of Periodic Segments|https://link.springer.com/article/10.1007/s12346-023-00771-6
Qualitative Theory of Dynamical Systems|Continuous Dependence in a Problem of Convergence of Random Iteration|https://link.springer.com/article/10.1007/s12346-023-00763-6
Qualitative Theory of Dynamical Systems|Qualitative Behaviour of Stochastic Integro-differential Equations with Random Impulses|https://link.springer.com/article/10.1007/s12346-022-00714-7
Qualitative Theory of Dynamical Systems|Exactly Solvable Quadratic Differential Equation Systems Through Generalized Inversion|https://link.springer.com/article/10.1007/s12346-023-00738-7
Qualitative Theory of Dynamical Systems|On a Certain Class of IFSs and Their Attractors|https://link.springer.com/article/10.1007/s12346-022-00688-6
Qualitative Theory of Dynamical Systems|Power Series Solutions of Non-linear q-Difference Equations and the Newton–Puiseux Polygon|https://link.springer.com/article/10.1007/s12346-022-00656-0
Qualitative Theory of Dynamical Systems|On Unbounded Motions in a Real Analytic Bouncing ball Problem|https://link.springer.com/article/10.1007/s12346-022-00644-4
Qualitative Theory of Dynamical Systems|Abelian Integrals and Non-generic Turning Points|https://link.springer.com/article/10.1007/s12346-022-00609-7
Qualitative Theory of Dynamical Systems|An Optimal Thirty-Second-Order Iterative Method for Solving Nonlinear Equations and a Conjecture|https://link.springer.com/article/10.1007/s12346-022-00572-3
Qualitative Theory of Dynamical Systems|Simultaneous Bifurcation of Limit Cycles and Critical Periods|https://link.springer.com/article/10.1007/s12346-021-00546-x
Qualitative Theory of Dynamical Systems|Truncated Local Uniformization of Formal Integrable Differential Forms|https://link.springer.com/article/10.1007/s12346-021-00549-8
Qualitative Theory of Dynamical Systems|Escaping Orbits Are also Rare in the Almost Periodic Fermi–Ulam Ping-Pong|https://link.springer.com/article/10.1007/s12346-021-00545-y
Qualitative Theory of Dynamical Systems|Compression–Expansion Fixed Point Theorems for Decomposable Maps and Applications to Discontinuous \(\phi \)-Laplacian problems|https://link.springer.com/article/10.1007/s12346-021-00505-6
Qualitative Theory of Dynamical Systems|Metric Versus Topological Receptive Entropy of Semigroup Actions|https://link.springer.com/article/10.1007/s12346-021-00485-7
Qualitative Theory of Dynamical Systems|On the existence of the Hutchinson measure for generalized iterated function systems|https://link.springer.com/article/10.1007/s12346-020-00420-2
