journal_title|article_title|article_link
Race and Social Problems|Local TV News Coverage of Racial Disparities in COVID-19 During the First Wave of the Pandemic, March–June 2020|https://link.springer.com/article/10.1007/s12552-022-09372-5
Race and Social Problems|Racial Discrimination, Black Identity, and Critical Consciousness in Spain|https://link.springer.com/article/10.1007/s12552-022-09374-3
Race and Social Problems|Raising “Antiracist Disruptors”: Illuminating Socialization Practices that Support Antiracism in Multiracial Households|https://link.springer.com/article/10.1007/s12552-023-09389-4
Race and Social Problems|Do Ethnic-Racial Identity Dimensions Moderate the Relations of Outgroup Discrimination and Ingroup Marginalization to Self-esteem in Black and Latinx Undergraduates?|https://link.springer.com/article/10.1007/s12552-022-09383-2
Race and Social Problems|Values and Attitudes Toward Immigrants Among School Children in Switzerland and Poland|https://link.springer.com/article/10.1007/s12552-022-09357-4
Race and Social Problems|Old Southern Codes in New Legal Bottles? Sexual Harassment, Race, and Masculinity|https://link.springer.com/article/10.1007/s12552-022-09355-6
Race and Social Problems|Educational Attainment Past the Traditional Age of Completion for Two Cohorts of US Adults: Inequalities by Gender and Race/Ethnicity|https://link.springer.com/article/10.1007/s12552-021-09352-1
Race and Social Problems|Social Class also Matters: The Effects of Social Class, Ethnicity, and their Interaction on Prejudice and Discrimination Toward Roma|https://link.springer.com/article/10.1007/s12552-022-09368-1
Race and Social Problems|The Legacies of Tennis Champions Althea Gibson, Arthur Ashe, and the Williams Sisters Show the Persistence of America’s Race Obstacles|https://link.springer.com/article/10.1007/s12552-021-09334-3
Race and Social Problems|What the COVID-19 Pandemic Reveals about Racial Differences in Child Welfare and Child Well-Being: An Introduction to the Special Issue|https://link.springer.com/article/10.1007/s12552-021-09319-2
Race and Social Problems|Exposure to Evidence of White Privilege and Perceptions of Hardships Among White UK Residents|https://link.springer.com/article/10.1007/s12552-019-09262-3
Race and Social Problems|Bullying and Victimization Among Young Elementary School Children: The Role of Child Ethnicity and Ethnic School Composition|https://link.springer.com/article/10.1007/s12552-016-9182-9
Race and Social Problems|Closing the Racial Wealth Gap: Establishing and Sustaining an Initiative|https://link.springer.com/article/10.1007/s12552-016-9165-x
Race and Social Problems|Fractured Identity: A Framework for Understanding Young Asian American Women’s Self-harm and Suicidal Behaviors|https://link.springer.com/article/10.1007/s12552-014-9115-4
Race and Social Problems|Single Parenting and Child Behavior Problems in Kindergarten|https://link.springer.com/article/10.1007/s12552-010-9026-y
Radiation Detection Technology and Methods|Equilibrium electron beam parameters of the High Energy Photon Source|https://link.springer.com/article/10.1007/s41605-022-00374-w
Radiation Detection Technology and Methods|222Rn calibration procedure for water analyses by liquid scintillation counting|https://link.springer.com/article/10.1007/s41605-023-00394-0
Radiation Detection Technology and Methods|Detector development at the Back-n white neutron source|https://link.springer.com/article/10.1007/s41605-022-00379-5
Radiation Detection Technology and Methods|Investigation of spin rotators in CEPC at the Z-pole|https://link.springer.com/article/10.1007/s41605-022-00344-2
Radiation Detection Technology and Methods|Modelling the interaction of the Astro Bio Cube Sat with the Van Allen’s Belt radiative field using Monte Carlo transport codes|https://link.springer.com/article/10.1007/s41605-022-00321-9
Radiation Detection Technology and Methods|The machine protection system for CSNS|https://link.springer.com/article/10.1007/s41605-021-00239-8
Radiation Detection Technology and Methods|Development of a research platform for BEPC II accelerator fault diagnosis|https://link.springer.com/article/10.1007/s41605-020-00180-2
Radiation Detection Technology and Methods|Online monitoring of the center-of-mass energy from real data at BESIII|https://link.springer.com/article/10.1007/s41605-020-00188-8
Radiation Detection Technology and Methods|Arcing-based protection system for the klystron output window of the BEPCII Linac|https://link.springer.com/article/10.1007/s41605-020-00176-y
Radiation Detection Technology and Methods|Digitization modeling of a CGEM detector based on Garfield++ simulation|https://link.springer.com/article/10.1007/s41605-020-00166-0
Radiation Detection Technology and Methods|The design of the superconducting wiggler power supply system for HEPS-TF|https://link.springer.com/article/10.1007/s41605-019-0109-z
Radiation Detection Technology and Methods|Introduction to the detection technology of Ali CMB polarization telescope|https://link.springer.com/article/10.1007/s41605-017-0013-3
Radiation and Environmental Biophysics|Improving radiation dosimetry with an automated micronucleus scoring system: correction of automated scoring errors|https://link.springer.com/article/10.1007/s00411-023-01030-7
Radiation and Environmental Biophysics|UN Sustainable Development Goals: establishment of an electronic ‘collection’ of papers published in Radiation and Environmental Biophysics|https://link.springer.com/article/10.1007/s00411-023-01028-1
Radiation and Environmental Biophysics|Vancouver call for action to strengthen expertise in radiological protection worldwide|https://link.springer.com/article/10.1007/s00411-023-01024-5
Radiation and Environmental Biophysics|Space radiation quality factor for Galactic Cosmic Rays and typical space mission scenarios using a microdosimetric approach|https://link.springer.com/article/10.1007/s00411-023-01023-6
Radiation and Environmental Biophysics|The relationship of the efficiency of energy conversion into growth as an indicator for the determination of the optimal dose for mutation breeding with the appearance of chromosomal abnormalities and incomplete mitosis after gamma irradiation of kernels of Triticum turgidum ssp. durum L.|https://link.springer.com/article/10.1007/s00411-023-01026-3
Radiation and Environmental Biophysics|Transfer of elements from soil to earthworms and ground beetles in boreal forest|https://link.springer.com/article/10.1007/s00411-023-01027-2
Radiation and Environmental Biophysics|Correction to: Out‑of‑field effects: lessons learned from partial body exposure|https://link.springer.com/article/10.1007/s00411-022-01006-z
Radiation and Environmental Biophysics|Personal dose equivalent Hp(0.07) during 68Ga-DOTA-TATE production procedures|https://link.springer.com/article/10.1007/s00411-022-01015-y
Radiation and Environmental Biophysics|Comparison and multi-model inference of excess risks models for radiation-related solid cancer|https://link.springer.com/article/10.1007/s00411-022-01013-0
Radiation and Environmental Biophysics|Chromosomal radiosensitivity of human breast carcinoma cells and blood lymphocytes following photon and proton exposures|https://link.springer.com/article/10.1007/s00411-023-01016-5
Radiation and Environmental Biophysics|Lung cancer incidence attributable to residential radon exposure in Finland|https://link.springer.com/article/10.1007/s00411-022-01004-1
Radiation and Environmental Biophysics|Dosimetric evaluation study of IMRT and VMAT techniques for prostate cancer based on different multileaf collimator designs|https://link.springer.com/article/10.1007/s00411-022-01011-2
Radiation and Environmental Biophysics|Relative biological effectiveness of low-energy X-rays (25 kV) in mutant p53 cancer cells|https://link.springer.com/article/10.1007/s00411-022-01014-z
Radiation and Environmental Biophysics|Concepts of association between cancer and ionising radiation: accounting for specific biological mechanisms|https://link.springer.com/article/10.1007/s00411-022-01012-1
Radiation and Environmental Biophysics|Correction to: Out‑of‑field effects: lessons learned from partial body exposure|https://link.springer.com/article/10.1007/s00411-022-01003-2
Radiation and Environmental Biophysics|Obituary: Prof. Dr. Albrecht M. Kellerer (1935–2022)|https://link.springer.com/article/10.1007/s00411-022-01001-4
Radiation and Environmental Biophysics|The 2020 MELODI workshop on the effects of spatial and temporal variation in dose delivery|https://link.springer.com/article/10.1007/s00411-022-01002-3
Radiation and Environmental Biophysics|Radiation dose rate effects: what is new and what is needed?|https://link.springer.com/article/10.1007/s00411-022-00996-0
