journal_title|article_title|article_link
SERIEs|Attitudes towards single parents’ children in private and state-dependent private schools: experimental evidence|https://link.springer.com/article/10.1007/s13209-023-00281-3
SERIEs|Education and internal migration: evidence from a child labor reform in Spain|https://link.springer.com/article/10.1007/s13209-023-00272-4
SERIEs|Housing prices in Spain: convergence or decoupling?|https://link.springer.com/article/10.1007/s13209-023-00275-1
SERIEs|The price effects of reducing payment card interchange fees|https://link.springer.com/article/10.1007/s13209-023-00278-y
SERIEs|Properties of least squares estimator in estimation of average treatment effects|https://link.springer.com/article/10.1007/s13209-023-00279-x
SERIEs|Revisiting the public–private wage gap in Spain: new evidence and interpretation|https://link.springer.com/article/10.1007/s13209-023-00277-z
SERIEs|Schumpeter meets Goldilocks: the scarring effects of firm destruction|https://link.springer.com/article/10.1007/s13209-023-00273-3
SERIEs|Correction: The aggregate effects of government income transfers shocks: EU evidence|https://link.springer.com/article/10.1007/s13209-023-00274-2
SERIEs|The aggregate effects of government income transfers shocks: EU evidence|https://link.springer.com/article/10.1007/s13209-022-00271-x
SERIEs|Minimum age requirements and the role of the school choice set|https://link.springer.com/article/10.1007/s13209-022-00267-7
SERIEs|Born this way: the effect of an unexpected child benefit at birth on longer-term educational outcomes|https://link.springer.com/article/10.1007/s13209-022-00270-y
SERIEs|A connections model with decreasing returns link-formation technology|https://link.springer.com/article/10.1007/s13209-022-00266-8
SERIEs|On the identification of the effect of education on health: a comment on Fonseca et al. (2020)|https://link.springer.com/article/10.1007/s13209-022-00260-0
SERIEs|Spillover dynamics effects between risk-neutral equity and Treasury volatilities|https://link.springer.com/article/10.1007/s13209-022-00264-w
SERIEs|Macroeconomic and distributive effects of increasing taxes in Spain|https://link.springer.com/article/10.1007/s13209-022-00269-5
SERIEs|New empirical insights into conflicting claims problems|https://link.springer.com/article/10.1007/s13209-022-00265-9
SERIEs|Correction: Two extensions of consumer surplus|https://link.springer.com/article/10.1007/s13209-022-00268-6
SERIEs|Two extensions of consumer surplus|https://link.springer.com/article/10.1007/s13209-021-00245-5
SERIEs|The impact of different data sources on the level and structure of income inequality|https://link.springer.com/article/10.1007/s13209-021-00258-0
SERIEs|Introducing an Austrian backpack in Spain|https://link.springer.com/article/10.1007/s13209-022-00263-x
SERIEs|Introduction to the special issue in honor of Juan Jose Dolado|https://link.springer.com/article/10.1007/s13209-022-00262-y
SERIEs|A tale of three cities: climate heterogeneity|https://link.springer.com/article/10.1007/s13209-021-00254-4
SERIEs|Temping fates in Spain: hours and employment in a dual labor market during the Great Recession and COVID-19|https://link.springer.com/article/10.1007/s13209-021-00257-1
SERIEs|Automation and sectoral reallocation|https://link.springer.com/article/10.1007/s13209-021-00240-w
SERIEs|Higher education decisions and macroeconomic conditions at age eighteen|https://link.springer.com/article/10.1007/s13209-021-00252-6
SERIEs|Dynamic factor models: Does the specification matter?|https://link.springer.com/article/10.1007/s13209-021-00248-2
SERIEs|Work and children in Spain: challenges and opportunities for equality between men and women|https://link.springer.com/article/10.1007/s13209-021-00243-7
SERIEs|From He-Cession to She-Stimulus? The labor market impact of fiscal policy across gender|https://link.springer.com/article/10.1007/s13209-021-00250-8
SERIEs|Primary elections and electoral outcomes: evidence from the Spanish Socialist Party|https://link.springer.com/article/10.1007/s13209-021-00246-4
SERIEs|So different yet so alike: micro and macro labour market outcomes in Germany and Spain|https://link.springer.com/article/10.1007/s13209-021-00249-1
SERIEs|Gender distribution across topics in the top five economics journals: a machine learning approach|https://link.springer.com/article/10.1007/s13209-021-00256-2
SERIEs|Lost in recessions: youth employment and earnings in Spain|https://link.springer.com/article/10.1007/s13209-021-00244-6
SERIEs|Internship contracts in Spain: a stepping stone or a hurdle towards job stability?|https://link.springer.com/article/10.1007/s13209-022-00261-z
SERIEs|Moment tests of independent components|https://link.springer.com/article/10.1007/s13209-021-00247-3
SERIEs|Price competition and nominal illusion: experimental evidence and a behavioural model|https://link.springer.com/article/10.1007/s13209-021-00235-7
SERIEs|Decoupling synthetic control methods to ensure stability, accuracy and meaningfulness|https://link.springer.com/article/10.1007/s13209-021-00242-8
SERIEs|Inequality and psychological well-being in times of COVID-19: evidence from Spain|https://link.springer.com/article/10.1007/s13209-021-00255-3
SERIEs|Redistribution of tax resources: a cooperative game theory approach|https://link.springer.com/article/10.1007/s13209-021-00253-5
SERIEs|The child penalty: evidence from Spain|https://link.springer.com/article/10.1007/s13209-021-00241-9
SERIEs|Seasonal adjustment of the Spanish sales daily data|https://link.springer.com/article/10.1007/s13209-021-00251-7
SERIEs|Forecasting Spanish unemployment with Google Trends and dimension reduction techniques|https://link.springer.com/article/10.1007/s13209-021-00231-x
SERIEs|Incentives, ability and disutility of effort|https://link.springer.com/article/10.1007/s13209-021-00236-6
SERIEs|The distribution of wealth in Spain and the USA: the role of socioeconomic factors|https://link.springer.com/article/10.1007/s13209-021-00232-w
SERIEs|Economic policy uncertainty and investment in Spain|https://link.springer.com/article/10.1007/s13209-021-00237-5
SERIEs|Love is blind: partisan alignment and political corruption in Spain|https://link.springer.com/article/10.1007/s13209-021-00228-6
SERIEs|The economics of the energy transition|https://link.springer.com/article/10.1007/s13209-021-00238-4
