journal_title|article_title|article_link
TEST|A general class of shock models with dependent inter-arrival times|https://link.springer.com/article/10.1007/s11749-023-00867-w
TEST|Comments on: Nonparametric estimation in mixture cure models with covariates|https://link.springer.com/article/10.1007/s11749-023-00862-1
TEST|Comments on: Nonparametric estimation in mixture cure models with covariates|https://link.springer.com/article/10.1007/s11749-023-00856-z
TEST|Correction: Novel specification tests for synchronous additive concurrent model formulation based on martingale difference divergence|https://link.springer.com/article/10.1007/s11749-023-00863-0
TEST|Novel specification tests for synchronous additive concurrent model formulation based on martingale difference divergence|https://link.springer.com/article/10.1007/s11749-023-00857-y
TEST|On functional logistic regression: some conceptual issues|https://link.springer.com/article/10.1007/s11749-022-00836-9
TEST|Correct specification of design matrices in linear mixed effects models: tests with graphical representation|https://link.springer.com/article/10.1007/s11749-022-00830-1
TEST|Understanding complex predictive models with ghost variables|https://link.springer.com/article/10.1007/s11749-022-00826-x
TEST|Bandwidth selection for statistical matching and prediction|https://link.springer.com/article/10.1007/s11749-022-00838-7
TEST|Non-linear INAR(1) processes under an alternative geometric thinning operator|https://link.springer.com/article/10.1007/s11749-023-00849-y
TEST|Small area estimation of average compositions under multivariate nested error regression models|https://link.springer.com/article/10.1007/s11749-023-00847-0
TEST|Sharp inequalities of Bienaymé–Chebyshev and Gauß  type for possibly asymmetric intervals around the mean|https://link.springer.com/article/10.1007/s11749-022-00844-9
TEST|Copula modelling with penalized complexity priors: the bivariate case|https://link.springer.com/article/10.1007/s11749-022-00843-w
TEST|Correction to: Testing conditional multivariate rank correlations: the effect of institutional quality on factors influencing competitiveness|https://link.springer.com/article/10.1007/s11749-022-00823-0
TEST|Testing conditional multivariate rank correlations: the effect of institutional quality on factors influencing competitiveness|https://link.springer.com/article/10.1007/s11749-022-00806-1
TEST|Precision matrix estimation using penalized Generalized Sylvester matrix equation|https://link.springer.com/article/10.1007/s11749-022-00807-0
TEST|Copula-based bivariate finite mixture regression models with an application for insurance claim count data|https://link.springer.com/article/10.1007/s11749-022-00814-1
TEST|Bayes factors for peri-null hypotheses|https://link.springer.com/article/10.1007/s11749-022-00819-w
TEST|On sums of dependent random lifetimes under the time-transformed exponential model|https://link.springer.com/article/10.1007/s11749-022-00805-2
TEST|Correction to: Second-order and local characteristics of network intensity functions|https://link.springer.com/article/10.1007/s11749-021-00791-x
TEST|On finite mixtures of Discretized Beta model for ordered responses|https://link.springer.com/article/10.1007/s11749-022-00800-7
TEST|Some results on the Gaussian Markov Random Field construction problem based on the use of invariant subgraphs|https://link.springer.com/article/10.1007/s11749-022-00804-3
TEST|Testing marginal homogeneity in Hilbert spaces with applications to stock market returns|https://link.springer.com/article/10.1007/s11749-022-00802-5
TEST|Tractable circula densities from Fourier series|https://link.springer.com/article/10.1007/s11749-021-00790-y
TEST|Weight smoothing for nonprobability surveys|https://link.springer.com/article/10.1007/s11749-021-00795-7
TEST|Comments on: Hybrid semiparametric Bayesian networks|https://link.springer.com/article/10.1007/s11749-022-00815-0
TEST|Comments on: Hybrid semiparametric Bayesian networks|https://link.springer.com/article/10.1007/s11749-022-00818-x
TEST|Comments on: Hybrid semiparametric Bayesian networks|https://link.springer.com/article/10.1007/s11749-022-00816-z
TEST|Rejoinder on: Hybrid semiparametric Bayesian networks|https://link.springer.com/article/10.1007/s11749-022-00821-2
TEST|Comments on: hybrid semiparametric Bayesian networks|https://link.springer.com/article/10.1007/s11749-022-00817-y
TEST|Stochastic monotonicity of dependent variables given their sum|https://link.springer.com/article/10.1007/s11749-021-00789-5
TEST|Spatial distribution of invasive species: an extent of occurrence approach|https://link.springer.com/article/10.1007/s11749-021-00783-x
TEST|Hybrid semiparametric Bayesian networks|https://link.springer.com/article/10.1007/s11749-022-00812-3
TEST|A new inferential approach for response-adaptive clinical trials: the variance-stabilized bootstrap|https://link.springer.com/article/10.1007/s11749-021-00777-9
TEST|A measurement error Rao–Yu model for regional prevalence estimation over time using uncertain data obtained from dependent survey estimates|https://link.springer.com/article/10.1007/s11749-021-00776-w
TEST|QANOVA: quantile-based permutation methods for general factorial designs|https://link.springer.com/article/10.1007/s11749-021-00758-y
TEST|Specification testing in semi-parametric transformation models|https://link.springer.com/article/10.1007/s11749-021-00756-0
TEST|Robust multivariate estimation based on statistical depth filters|https://link.springer.com/article/10.1007/s11749-021-00757-z
TEST|D-optimal designs for Poisson regression with synergetic interaction effect|https://link.springer.com/article/10.1007/s11749-020-00752-w
TEST|Functional marked point processes: a natural structure to unify spatio-temporal frameworks and to analyse dependent functional data|https://link.springer.com/article/10.1007/s11749-020-00730-2
