journal_title|article_title|article_link
Universal Access in the Information Society|Barriers and wellbeing-oriented enablers of intergenerational innovation in the digital age|https://link.springer.com/article/10.1007/s10209-021-00844-w
Universal Access in the Information Society|The use of accessibility metadata in e-learning environments: a systematic literature review|https://link.springer.com/article/10.1007/s10209-021-00851-x
Universal Access in the Information Society|Designing accessible visual programming tools for children with autism spectrum condition|https://link.springer.com/article/10.1007/s10209-021-00842-y
Universal Access in the Information Society|Investigating socially assistive systems from system design and evaluation: a systematic review|https://link.springer.com/article/10.1007/s10209-021-00852-w
Universal Access in the Information Society|Tailoring assistive smart glasses according to pathologies of visually impaired individuals: an exploratory investigation on social needs and difficulties experienced by visually impaired individuals|https://link.springer.com/article/10.1007/s10209-021-00857-5
Universal Access in the Information Society|Gestural interaction and reading skills: a case study of people with Down syndrome|https://link.springer.com/article/10.1007/s10209-021-00855-7
Universal Access in the Information Society|Constraining peripheral perception in instant messaging during software development by continuous work context extraction|https://link.springer.com/article/10.1007/s10209-021-00862-8
Universal Access in the Information Society|Visualising user–website interaction: description and evaluation of a teaching method|https://link.springer.com/article/10.1007/s10209-021-00839-7
Universal Access in the Information Society|A user-based information rating scale to evaluate the design of technology-based supports for autism|https://link.springer.com/article/10.1007/s10209-023-00995-y
Universal Access in the Information Society|Information and communication technology use by students with disabilities in higher education during the COVID-19 pandemic|https://link.springer.com/article/10.1007/s10209-023-00997-w
Universal Access in the Information Society|Same film, different audio descriptions: describing foreign films from a functional perspective|https://link.springer.com/article/10.1007/s10209-023-00998-9
Universal Access in the Information Society|Machine translation from signed to spoken languages: state of the art and challenges|https://link.springer.com/article/10.1007/s10209-023-00992-1
Universal Access in the Information Society|Designing user interfaces for content simplification aimed at people with cognitive impairments|https://link.springer.com/article/10.1007/s10209-023-00986-z
Universal Access in the Information Society|A multimethod synthesis of Covid-19 education research: the tightrope between covidization and meaningfulness|https://link.springer.com/article/10.1007/s10209-023-00989-w
Universal Access in the Information Society|A mobile e-learning application for enhancement of basic mathematical skills in visually impaired children|https://link.springer.com/article/10.1007/s10209-023-00990-3
Universal Access in the Information Society|Empirical evaluation of Easy Language recommendations: a systematic literature review from journal research in Catalan, English, and Spanish|https://link.springer.com/article/10.1007/s10209-023-00975-2
Universal Access in the Information Society|The impact of reading fluency level on interactive information retrieval|https://link.springer.com/article/10.1007/s10209-021-00826-y
Universal Access in the Information Society|Technology-enhanced and game based learning for children with special needs: a systematic mapping study|https://link.springer.com/article/10.1007/s10209-021-00824-0
