journal_title|article_title|article_link
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Are Mediterranean Nonprofits Adopting the Social Enterprise Model?|https://link.springer.com/article/10.1007/s11266-023-00576-w
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Assessing the ‘Why’ in Volunteering for Refugees: Exploring Volunteer Motivations|https://link.springer.com/article/10.1007/s11266-023-00574-y
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Nonprofits for Cohesive Cities: Neighborhood Characteristics, Organizational Practices, and their Effects on Social and Systemic Integration|https://link.springer.com/article/10.1007/s11266-023-00571-1
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Exploring the Effects of Volunteering on the Social, Mental, and Physical Health and Well-being of Volunteers: An Umbrella Review|https://link.springer.com/article/10.1007/s11266-023-00573-z
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|The Mediating Role of Migrant Community-Based Organizations: Challenges and Coping Strategies|https://link.springer.com/article/10.1007/s11266-023-00572-0
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Beyond the “NGOization” of Civil Society: A Framework for Sustainable Community Led Development in Conflict Settings|https://link.springer.com/article/10.1007/s11266-023-00568-w
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|The Complex Relationship between the Board and Web Transparency in Nonprofit Organizations|https://link.springer.com/article/10.1007/s11266-023-00566-y
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Immigrant Volunteering: A Form of Citizenship from Below|https://link.springer.com/article/10.1007/s11266-022-00454-x
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Creation of Work Integration Social Enterprises (WISEs) by Social Action Organizations: Proposal of a Model for Decision-Making|https://link.springer.com/article/10.1007/s11266-021-00447-2
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Motives of Peer Support Volunteers with Experiences of Mental and Addictive Disorders: An Innovative Approach in the Context of Employment Promotion in Germany|https://link.springer.com/article/10.1007/s11266-022-00476-5
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Sports and Cultural Volunteering: Competitive or Complementary Activities?|https://link.springer.com/article/10.1007/s11266-022-00453-y
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Kinship Idioms and Care-Control Dynamics in Hungarian Co-ethnic Philanthropy|https://link.springer.com/article/10.1007/s11266-022-00460-z
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Resources that Help Sustain Environmental Volunteer Activist Leaders|https://link.springer.com/article/10.1007/s11266-023-00561-3
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Charitable Giving in Times of Covid-19: Do Crises Forward the Better or the Worse in Individuals?|https://link.springer.com/article/10.1007/s11266-023-00558-y
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|The Institutional Grammar: A Method for Coding Institutions and its Potential for Advancing Third Sector Research|https://link.springer.com/article/10.1007/s11266-021-00423-w
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Interviewing Elite Donors: Gaining Access, Developing Rapport and Dealing with the Dazzle|https://link.springer.com/article/10.1007/s11266-021-00390-2
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Computational Social Science for Nonprofit Studies: Developing a Toolbox and Knowledge Base for the Field|https://link.springer.com/article/10.1007/s11266-021-00414-x
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Comprehensive INGO Accountability to Strengthen Perceived Program Effectiveness: A Logical Thing?|https://link.springer.com/article/10.1007/s11266-023-00556-0
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations|Philanthropy and Socio-economic Development: The Role of Large Indigenous Voluntary Organizations in Bridging Social Divides in Pakistan|https://link.springer.com/article/10.1007/s11266-022-00554-8
