journal_title|article_title|article_link
WMU Journal of Maritime Affairs|Guest editorial|https://link.springer.com/article/10.1007/s13437-023-00314-5
WMU Journal of Maritime Affairs|Formative assessment in maritime simulator-based higher education|https://link.springer.com/article/10.1007/s13437-023-00313-6
WMU Journal of Maritime Affairs|Integrating motivated goal achievement in maritime simulator training|https://link.springer.com/article/10.1007/s13437-023-00309-2
WMU Journal of Maritime Affairs|A human-centred design approach for the development and conducting of maritime cyber resilience training|https://link.springer.com/article/10.1007/s13437-023-00304-7
WMU Journal of Maritime Affairs|Theorizing seafarers’ participation and learning in an evolving maritime workplace: an activity theory perspective|https://link.springer.com/article/10.1007/s13437-023-00311-8
WMU Journal of Maritime Affairs|Reviewing simulator-based training and assessment in maritime education: a topic modelling approach for tracing conceptual developments|https://link.springer.com/article/10.1007/s13437-023-00307-4
WMU Journal of Maritime Affairs|Developing human factors design guidelines for marine electronics — the case of S-mode|https://link.springer.com/article/10.1007/s13437-023-00317-2
WMU Journal of Maritime Affairs|Organisational structure configurations, their application and contribution to business performance in Greek shipping companies|https://link.springer.com/article/10.1007/s13437-023-00315-4
WMU Journal of Maritime Affairs|Identifying essential skills and competencies towards building a training framework for future operators of autonomous ships: a qualitative study|https://link.springer.com/article/10.1007/s13437-023-00310-9
WMU Journal of Maritime Affairs|Comparative analysis of charter party clauses versus marine insurance contractual terms: present legal status and future trends|https://link.springer.com/article/10.1007/s13437-022-00292-0
WMU Journal of Maritime Affairs|Autonomous shipping — an analysis of the maritime stakeholder perspectives|https://link.springer.com/article/10.1007/s13437-022-00290-2
WMU Journal of Maritime Affairs|Investigating the introduction of e-navigation and S-100 into bridge related operations: the impact over seafarers|https://link.springer.com/article/10.1007/s13437-022-00286-y
WMU Journal of Maritime Affairs|Design and implementation of AI chatbot for COLREGs training|https://link.springer.com/article/10.1007/s13437-022-00284-0
WMU Journal of Maritime Affairs|Estimating hydrogen usage of a Crew Transport Vessel fleet for Offshore Windfarm maintenance|https://link.springer.com/article/10.1007/s13437-023-00300-x
WMU Journal of Maritime Affairs|Managing sustainable practices and logistics value to improve customer loyalty: importers vs. freight forwarders|https://link.springer.com/article/10.1007/s13437-023-00299-1
WMU Journal of Maritime Affairs|Uncrewed autonomous marine vessels test the limits of maritime safety frameworks|https://link.springer.com/article/10.1007/s13437-022-00295-x
WMU Journal of Maritime Affairs|Enhancement of MF R-Mode ranging accuracy by exploiting measurement-based error mitigation techniques|https://link.springer.com/article/10.1007/s13437-022-00293-z
WMU Journal of Maritime Affairs|Development of a mathematical model to predict the health impact and duration of SARS-CoV-2 outbreaks on board cargo vessels|https://link.springer.com/article/10.1007/s13437-022-00291-1
WMU Journal of Maritime Affairs|An overview of sociotechnical research on maritime energy efficiency|https://link.springer.com/article/10.1007/s13437-022-00263-5
WMU Journal of Maritime Affairs|Human-centred risk assessment for a land-based control interface for an autonomous vessel|https://link.springer.com/article/10.1007/s13437-022-00278-y
WMU Journal of Maritime Affairs|Autonomous maritime operations and the influence of situational awareness within maritime navigation|https://link.springer.com/article/10.1007/s13437-022-00264-4
WMU Journal of Maritime Affairs|Autonomous ships and the collision avoidance regulations: a licensed deck officer survey|https://link.springer.com/article/10.1007/s13437-022-00269-z
WMU Journal of Maritime Affairs|Validation of copula-based weather generator for maintenance model of offshore wind farm|https://link.springer.com/article/10.1007/s13437-021-00255-x
WMU Journal of Maritime Affairs|Simulation model for energy consumption and acoustic underwater communication of autonomous underwater vehicles|https://link.springer.com/article/10.1007/s13437-021-00253-z
WMU Journal of Maritime Affairs|Market-based measures and their impact on green shipping technologies|https://link.springer.com/article/10.1007/s13437-021-00258-8
WMU Journal of Maritime Affairs|A fuzzy ontology: on the relevance of ecocentrism in marine environmental ethics|https://link.springer.com/article/10.1007/s13437-021-00254-y
WMU Journal of Maritime Affairs|Assessing the impact of sulfur cap on bunkering spot selection in the ARA region|https://link.springer.com/article/10.1007/s13437-021-00257-9
WMU Journal of Maritime Affairs|K-means clustering for SAT-AIS data analysis|https://link.springer.com/article/10.1007/s13437-021-00241-3
WMU Journal of Maritime Affairs|Regulatory framework analysis for the unmanned inland waterway vessel|https://link.springer.com/article/10.1007/s13437-021-00237-z
WMU Journal of Maritime Affairs|COVID-19: Chittagong Port and aftermath|https://link.springer.com/article/10.1007/s13437-021-00234-2
WMU Journal of Maritime Affairs|The continuum of simulator-based maritime training and education|https://link.springer.com/article/10.1007/s13437-021-00242-2
WMU Journal of Maritime Affairs|Maritime sector at verge of change: learning and competence needs in Finnish maritime cluster|https://link.springer.com/article/10.1007/s13437-021-00228-0
WMU Journal of Maritime Affairs|Systems of environmental innovation: sectoral and technological perspectives on ballast water treatment systems|https://link.springer.com/article/10.1007/s13437-021-00226-2
WMU Journal of Maritime Affairs|Pedagogical dilemmas in dynamic assessment situations: perspectives on video data from simulator-based competence tests|https://link.springer.com/article/10.1007/s13437-020-00210-2
WMU Journal of Maritime Affairs|Correction to: America’s Marine Highway stakeholders: a system-scale analysis of influence in decision-making|https://link.springer.com/article/10.1007/s13437-020-00214-y
