journal_title|article_title|article_link
ZDM – Mathematics Education|Mathematics education research on language and on communication including some distinctions: Where are we now?|https://link.springer.com/article/10.1007/s11858-023-01497-0
ZDM – Mathematics Education|Teachers’ practices and resources in the Hungarian “Guided Discovery” approach to teaching mathematics: presenting and representing “series of problems”|https://link.springer.com/article/10.1007/s11858-023-01481-8
ZDM – Mathematics Education|An anthropological point of view: exploring the Chinese and Japanese issues of translation about teaching resources|https://link.springer.com/article/10.1007/s11858-023-01477-4
ZDM – Mathematics Education|Resources in translation: towards a conceptual and technical apparatus|https://link.springer.com/article/10.1007/s11858-022-01392-0
ZDM – Mathematics Education|Teaching the concept of zero in a Malawi primary school: illuminating the language and resource challenge|https://link.springer.com/article/10.1007/s11858-023-01473-8
ZDM – Mathematics Education|Language as a resource for teachers describing mathematics classroom teaching and learning: a comparative approach|https://link.springer.com/article/10.1007/s11858-023-01476-5
ZDM – Mathematics Education|The multimodality of lesson guides and the communication of social relations|https://link.springer.com/article/10.1007/s11858-023-01479-2
ZDM – Mathematics Education|What is mathematics teaching talk for? A response based on three sites of practice in mathematics education|https://link.springer.com/article/10.1007/s11858-022-01452-5
ZDM – Mathematics Education|Characterizing external visualization in mathematics education research: a scoping review|https://link.springer.com/article/10.1007/s11858-023-01494-3
ZDM – Mathematics Education|Making university mathematics matter for secondary teacher preparation|https://link.springer.com/article/10.1007/s11858-023-01484-5
ZDM – Mathematics Education|Preparing prospective secondary teachers to teach mathematical reasoning and proof: the case of the role of examples in proving|https://link.springer.com/article/10.1007/s11858-023-01493-4
ZDM – Mathematics Education|Strengthening mathematical orientation: how university mathematics courses can gain relevance for pre-service teachers|https://link.springer.com/article/10.1007/s11858-023-01492-5
ZDM – Mathematics Education|Empirical research on teacher competence in mathematics lesson planning: recent developments|https://link.springer.com/article/10.1007/s11858-023-01487-2
ZDM – Mathematics Education|Supporting adults to become numerate citizens: a study of adult numeracy provision in Ireland|https://link.springer.com/article/10.1007/s11858-023-01480-9
ZDM – Mathematics Education|Supporting mathematics and science teachers in implementing intercultural learning|https://link.springer.com/article/10.1007/s11858-023-01478-3
ZDM – Mathematics Education|Ways of thinking in STEM-based problem solving|https://link.springer.com/article/10.1007/s11858-023-01474-7
ZDM – Mathematics Education|I value the problem, but I don’t think my students will: preservice teachers’ judgments of task value and self-efficacy for modelling, word, and intramathematical problems|https://link.springer.com/article/10.1007/s11858-022-01412-z
ZDM – Mathematics Education|Using vignettes to investigate mathematics teachers’ beliefs for promoting cognitive engagement in secondary mathematics classroom practice|https://link.springer.com/article/10.1007/s11858-022-01431-w
ZDM – Mathematics Education|Understanding the interplay between targeted motivation interventions and motivational teaching practices in mathematics classrooms|https://link.springer.com/article/10.1007/s11858-022-01446-3
ZDM – Mathematics Education|The reciprocal relationship among Chinese senior secondary students’ intrinsic and extrinsic motivation and cognitive engagement in learning mathematics: a three-wave longitudinal study|https://link.springer.com/article/10.1007/s11858-022-01465-0
ZDM – Mathematics Education|Motivational states in an undergraduate mathematics course: relations between facets of individual interest, task values, basic needs, and effort|https://link.springer.com/article/10.1007/s11858-022-01406-x
ZDM – Mathematics Education|The role of epistemic emotions in undergraduate students’ proof construction|https://link.springer.com/article/10.1007/s11858-022-01413-y
ZDM – Mathematics Education|Student values and wellbeing in mathematics education: perspectives of Chinese primary students|https://link.springer.com/article/10.1007/s11858-022-01418-7
ZDM – Mathematics Education|Measuring emotions in mathematics: the Achievement Emotions Questionnaire—Mathematics (AEQ-M)|https://link.springer.com/article/10.1007/s11858-022-01425-8
ZDM – Mathematics Education|Emotions and motivation in mathematics education: Where we are today and where we need to go|https://link.springer.com/article/10.1007/s11858-022-01463-2
ZDM – Mathematics Education|Tracing mathematics engagement in the first year of high school: relationships between prior experience, observed support, and task-level emotion and motivation|https://link.springer.com/article/10.1007/s11858-022-01432-9
ZDM – Mathematics Education|Anxiety in the mathematics classroom: reciprocal relations with control and value, and relations with subsequent achievement|https://link.springer.com/article/10.1007/s11858-022-01390-2
ZDM – Mathematics Education|Motivational climate in mathematics classrooms: teacher self-efficacy for student engagement, student- and teacher-reported emotional support and student interest|https://link.springer.com/article/10.1007/s11858-022-01430-x
ZDM – Mathematics Education|Comprehension of argumentation in mathematical text: what is the role of interest?|https://link.springer.com/article/10.1007/s11858-022-01445-4
ZDM – Mathematics Education|Boys’ motivation profiles in mathematics: relations with contextual factors, wellbeing and engagement in a boys-only school|https://link.springer.com/article/10.1007/s11858-022-01464-1
ZDM – Mathematics Education|Prospective Secondary Teachers’ Emergent Knowledge and Beliefs: Inquiry-Oriented Differential Equations Contributing to Teacher Preparation|https://link.springer.com/article/10.1007/s11858-023-01469-4
ZDM – Mathematics Education|Analysing mathematical modelling tasks in light of citizenship education using the COVID-19 pandemic as a case study|https://link.springer.com/article/10.1007/s11858-022-01440-9
ZDM – Mathematics Education|Intelligent tutoring systems for word problem solving in COVID-19 days: could they have been (part of) the solution?|https://link.springer.com/article/10.1007/s11858-022-01396-w
ZDM – Mathematics Education|Strategies implemented by South African teachers to ensure continuing mathematics education during COVID-19|https://link.springer.com/article/10.1007/s11858-022-01408-9
ZDM – Mathematics Education|Will we ever teach mathematics again in the way we used to before the pandemic?|https://link.springer.com/article/10.1007/s11858-022-01460-5
ZDM – Mathematics Education|First-year university students' self-regulated learning during the COVID-19 pandemic: a qualitative longitudinal study|https://link.springer.com/article/10.1007/s11858-022-01444-5
ZDM – Mathematics Education|Can flipped classroom pedagogy offer promising perspectives for mathematics education on pandemic-related issues? A systematic literature review|https://link.springer.com/article/10.1007/s11858-022-01388-w
ZDM – Mathematics Education|Distance mathematics education in Flanders, Germany, and the Netherlands during the COVID 19 lockdown—the student perspective|https://link.springer.com/article/10.1007/s11858-022-01409-8
ZDM – Mathematics Education|Assessment in mathematics: a study on teachers’ practices in times of pandemic|https://link.springer.com/article/10.1007/s11858-022-01395-x
ZDM – Mathematics Education|Mathematical modelling of exponential growth as a rich learning environment for mathematics classrooms|https://link.springer.com/article/10.1007/s11858-022-01433-8
ZDM – Mathematics Education|Roles of technologies for future teaching in a pandemic: activity, agency, and humans-with-media|https://link.springer.com/article/10.1007/s11858-022-01429-4
ZDM – Mathematics Education|Encountering ideas about teaching and learning mathematics in undergraduate mathematics courses|https://link.springer.com/article/10.1007/s11858-022-01454-3
ZDM – Mathematics Education|Series of problems in Clairaut’s Elements of Geometry: interaction between historical analysis and mathematics education research|https://link.springer.com/article/10.1007/s11858-022-01441-8
ZDM – Mathematics Education|Three past mathematicians’ views on history in mathematics teaching and learning: Poincaré, Klein, and Freudenthal|https://link.springer.com/article/10.1007/s11858-022-01376-0
ZDM – Mathematics Education|History of mathematics in mathematics education: Recent developments in the field|https://link.springer.com/article/10.1007/s11858-022-01442-7
ZDM – Mathematics Education|Analysing the citizenship agenda in Mathematical Literacy school exit assessments|https://link.springer.com/article/10.1007/s11858-022-01448-1
ZDM – Mathematics Education|Generalisation in students with autism spectrum disorder: an exploratory study of strategies|https://link.springer.com/article/10.1007/s11858-022-01415-w
ZDM – Mathematics Education|Developing algebraic activity through conjecturing about relationships|https://link.springer.com/article/10.1007/s11858-022-01420-z
ZDM – Mathematics Education|Structures and representations used by 6th graders when working with quadratic functions|https://link.springer.com/article/10.1007/s11858-022-01423-w
ZDM – Mathematics Education|The role of algebraic thinking in dealing with negative numbers|https://link.springer.com/article/10.1007/s11858-022-01402-1
ZDM – Mathematics Education|Seeds of algebraic thinking: a Knowledge in Pieces perspective on the development of algebraic thinking|https://link.springer.com/article/10.1007/s11858-022-01374-2
ZDM – Mathematics Education|The centrality of student-generated representation in investigating generalizations about the operations|https://link.springer.com/article/10.1007/s11858-022-01379-x
ZDM – Mathematics Education|The role of variables in relational thinking: an interview study with kindergarten and primary school children|https://link.springer.com/article/10.1007/s11858-022-01419-6
ZDM – Mathematics Education|The use of cultural contexts for patterning tasks: supporting young diverse students to identify structures and generalise|https://link.springer.com/article/10.1007/s11858-022-01386-y
ZDM – Mathematics Education|Algebraic reasoning in years 5 and 6: classifying its emergence and progression using reverse fraction tasks|https://link.springer.com/article/10.1007/s11858-022-01426-7
ZDM – Mathematics Education|Variables in early algebra: exploring didactic potentials in programming activities|https://link.springer.com/article/10.1007/s11858-022-01384-0
ZDM – Mathematics Education|Writing and choosing problems for a popular high school mathematics competition|https://link.springer.com/article/10.1007/s11858-022-01351-9
ZDM – Mathematics Education|Perspectives on mathematics competitions and their relationship with mathematics education|https://link.springer.com/article/10.1007/s11858-022-01404-z
ZDM – Mathematics Education|Promoting a set-oriented way of thinking in a U.S. High School discrete mathematics class: a case study|https://link.springer.com/article/10.1007/s11858-022-01337-7
ZDM – Mathematics Education|Teaching and learning discrete mathematics|https://link.springer.com/article/10.1007/s11858-022-01399-7
ZDM – Mathematics Education|Encouraging research on recursive thinking through the lens of a model of the spread of contagious diseases|https://link.springer.com/article/10.1007/s11858-022-01354-6
ZDM – Mathematics Education|Graph theory and combinatorial calculus: an early approach to enhance robust understanding|https://link.springer.com/article/10.1007/s11858-022-01407-w
